trials,nct_id,models,term,estimate,std.error,outcome,outcome_method
34,NCT01809327,rcs,arm_f=_2_uaa10935,-1.59,1.068,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10936,-2.987,1.149,hba1c,locf
34,NCT01809327,rcs,sex,-0.149,0.141,hba1c,locf
34,NCT01809327,rcs,age10 * arm_f=_2_uaa10933,0.363,0.242,hba1c,locf
34,NCT01809327,rcs,age10' * arm_f=_2_uaa10933,-0.918,1.376,hba1c,locf
34,NCT01809327,rcs,age10'' * arm_f=_2_uaa10933,1.095,4.589,hba1c,locf
34,NCT01809327,rcs,age10 * arm_f=_2_uaa10934,0.027,0.272,hba1c,locf
34,NCT01809327,rcs,age10' * arm_f=_2_uaa10934,0.806,1.416,hba1c,locf
34,NCT01809327,rcs,age10'' * arm_f=_2_uaa10934,-2.8,4.575,hba1c,locf
34,NCT01809327,rcs,age10 * arm_f=_2_uaa10935,0.219,0.249,hba1c,locf
34,NCT01809327,rcs,age10' * arm_f=_2_uaa10935,-0.571,1.406,hba1c,locf
34,NCT01809327,rcs,age10'' * arm_f=_2_uaa10935,1.376,4.886,hba1c,locf
34,NCT01809327,rcs,age10 * arm_f=_2_uaa10936,0.555,0.269,hba1c,locf
34,NCT01809327,rcs,age10' * arm_f=_2_uaa10936,-2.237,1.444,hba1c,locf
34,NCT01809327,rcs,age10'' * arm_f=_2_uaa10936,5.506,4.641,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10933 * sex,-0.131,0.199,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10934 * sex,0.056,0.2,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10935 * sex,0.101,0.201,hba1c,locf
34,NCT01809327,rcs,arm_f=_2_uaa10936 * sex,0.208,0.198,hba1c,locf
34,NCT01989754,rcs,Intercept,4.996,0.909,hba1c,locf
34,NCT01989754,rcs,value_1,0.516,0.016,hba1c,locf
34,NCT01989754,rcs,age10,-0.145,0.191,hba1c,locf
34,NCT01989754,rcs,age10',-0.416,0.555,hba1c,locf
34,NCT01989754,rcs,age10'',1.329,1.324,hba1c,locf
34,NCT01989754,rcs,arm_f=_2_uaa10994,-0.209,1.23,hba1c,locf
34,NCT01989754,rcs,sex,-0.131,0.044,hba1c,locf
34,NCT01989754,rcs,age10 * arm_f=_2_uaa10994,-0.128,0.261,hba1c,locf
34,NCT01989754,rcs,age10' * arm_f=_2_uaa10994,0.997,0.764,hba1c,locf
34,NCT01989754,rcs,age10'' * arm_f=_2_uaa10994,-2.468,1.826,hba1c,locf
34,NCT01989754,rcs,arm_f=_2_uaa10994 * sex,0.018,0.062,hba1c,locf
34,NCT02025907,rcs,Intercept,5.468,1.477,hba1c,locf
34,NCT02025907,rcs,value_1,0.582,0.086,hba1c,locf
34,NCT02025907,rcs,age10,-0.423,0.292,hba1c,locf
34,NCT02025907,rcs,age10',1.697,1.407,hba1c,locf
34,NCT02025907,rcs,age10'',-5.138,4.248,hba1c,locf
34,NCT02025907,rcs,arm_f=_2_uaa11013,-2.201,1.892,hba1c,locf
34,NCT02025907,rcs,sex,-0.124,0.204,hba1c,locf
34,NCT02025907,rcs,age10 * arm_f=_2_uaa11013,0.253,0.432,hba1c,locf
34,NCT02025907,rcs,age10' * arm_f=_2_uaa11013,0.033,2.007,hba1c,locf
34,NCT02025907,rcs,age10'' * arm_f=_2_uaa11013,-0.652,5.99,hba1c,locf
34,NCT02025907,rcs,arm_f=_2_uaa11013 * sex,0.046,0.294,hba1c,locf
34,NCT00819091,rcs,Intercept,0.183,1.5,hba1c,locf
34,NCT00819091,rcs,value_1,0.765,0.068,hba1c,locf
34,NCT00819091,rcs,age10,0.417,0.308,hba1c,locf
34,NCT00819091,rcs,age10',-2.599,1.336,hba1c,locf
34,NCT00819091,rcs,age10'',7.224,3.674,hba1c,locf
34,NCT00819091,rcs,arm_f=_2_Linagliptin,0.228,1.794,hba1c,locf
34,NCT00819091,rcs,sex,0.046,0.193,hba1c,locf
34,NCT00819091,rcs,age10 * arm_f=_2_Linagliptin,-0.105,0.408,hba1c,locf
34,NCT00819091,rcs,age10' * arm_f=_2_Linagliptin,-0.052,1.718,hba1c,locf
34,NCT00819091,rcs,age10'' * arm_f=_2_Linagliptin,1.164,4.725,hba1c,locf
34,NCT00819091,rcs,arm_f=_2_Linagliptin * sex,-0.27,0.236,hba1c,locf
34,NCT00800683,rcs,Intercept,3.068,3.074,hba1c,locf
34,NCT00800683,rcs,value_1,0.685,0.084,hba1c,locf
34,NCT00800683,rcs,age10,-0.078,0.661,hba1c,locf
34,NCT00800683,rcs,age10',-0.174,2.387,hba1c,locf
34,NCT00800683,rcs,age10'',0.782,6.037,hba1c,locf
34,NCT00800683,rcs,arm_f=_2_Placebo,0.324,3.659,hba1c,locf
34,NCT00800683,rcs,sex,-0.055,0.224,hba1c,locf
34,NCT00800683,rcs,age10 * arm_f=_2_Placebo,-0.195,0.816,hba1c,locf
34,NCT00800683,rcs,age10' * arm_f=_2_Placebo,0.314,3.026,hba1c,locf
34,NCT00800683,rcs,age10'' * arm_f=_2_Placebo,-0.764,7.727,hba1c,locf
34,NCT00800683,rcs,arm_f=_2_Placebo * sex,0.384,0.325,hba1c,locf
34,NCT00740051,rcs,Intercept,4.046,3.118,hba1c,locf
34,NCT00740051,rcs,value_1,0.343,0.085,hba1c,locf
34,NCT00740051,rcs,age10,0.096,0.676,hba1c,locf
34,NCT00740051,rcs,age10',1.212,2.532,hba1c,locf
34,NCT00740051,rcs,age10'',-4.616,6.745,hba1c,locf
34,NCT00740051,rcs,arm_f=_2_Linagliptin,0.034,3.308,hba1c,locf
34,NCT00740051,rcs,sex,-0.038,0.272,hba1c,locf
34,NCT00740051,rcs,age10 * arm_f=_2_Linagliptin,0.116,0.738,hba1c,locf
34,NCT00740051,rcs,age10' * arm_f=_2_Linagliptin,-2.004,2.841,hba1c,locf
34,NCT00740051,rcs,age10'' * arm_f=_2_Linagliptin,5.968,7.669,hba1c,locf
34,NCT00740051,rcs,arm_f=_2_Linagliptin * sex,-0.076,0.337,hba1c,locf
34,NCT00996658,rcs,Intercept,1.81,2.222,hba1c,locf
34,NCT00996658,rcs,value_1,0.501,0.078,hba1c,locf
34,NCT00996658,rcs,age10,0.427,0.479,hba1c,locf
34,NCT00996658,rcs,age10',-1.343,1.83,hba1c,locf
34,NCT00996658,rcs,age10'',1.841,5.037,hba1c,locf
34,NCT00996658,rcs,arm_f=_2_Linagliptin,0.751,2.419,hba1c,locf
34,NCT00996658,rcs,sex,0.139,0.226,hba1c,locf
34,NCT00996658,rcs,age10 * arm_f=_2_Linagliptin,-0.281,0.539,hba1c,locf
34,NCT00996658,rcs,age10' * arm_f=_2_Linagliptin,1.003,2.145,hba1c,locf
34,NCT00996658,rcs,age10'' * arm_f=_2_Linagliptin,-1.793,5.979,hba1c,locf
34,NCT00996658,rcs,arm_f=_2_Linagliptin * sex,0.035,0.273,hba1c,locf
34,NCT01087502,rcs,Intercept,-2.429,2.57,hba1c,locf
34,NCT01087502,rcs,value_1,0.852,0.05,hba1c,locf
34,NCT01087502,rcs,age10,0.74,0.556,hba1c,locf
34,NCT01087502,rcs,age10',-1.131,1.706,hba1c,locf
34,NCT01087502,rcs,age10'',1.384,4.078,hba1c,locf
34,NCT01087502,rcs,arm_f=_2_Linagliptin,2.63,3.795,hba1c,locf
34,NCT01087502,rcs,sex,-0.093,0.134,hba1c,locf
34,NCT01087502,rcs,age10 * arm_f=_2_Linagliptin,-0.626,0.818,hba1c,locf
34,NCT01087502,rcs,age10' * arm_f=_2_Linagliptin,1.115,2.51,hba1c,locf
34,NCT01087502,rcs,age10'' * arm_f=_2_Linagliptin,-1.626,5.99,hba1c,locf
34,NCT01087502,rcs,arm_f=_2_Linagliptin * sex,-0.11,0.192,hba1c,locf
34,NCT01194830,rcs,Intercept,5.284,1.508,hba1c,locf
34,NCT01194830,rcs,value_1,0.457,0.072,hba1c,locf
34,NCT01194830,rcs,age10,-0.13,0.303,hba1c,locf
34,NCT01194830,rcs,age10',0.48,1.356,hba1c,locf
34,NCT01194830,rcs,age10'',-1.401,3.857,hba1c,locf
34,NCT01194830,rcs,arm_f=_2_Linagliptin,-0.855,2.042,hba1c,locf
34,NCT01194830,rcs,sex,-0.732,0.214,hba1c,locf
34,NCT01194830,rcs,age10 * arm_f=_2_Linagliptin,0.067,0.465,hba1c,locf
34,NCT01194830,rcs,age10' * arm_f=_2_Linagliptin,-1.608,2.062,hba1c,locf
34,NCT01194830,rcs,age10'' * arm_f=_2_Linagliptin,5.274,5.819,hba1c,locf
34,NCT01194830,rcs,arm_f=_2_Linagliptin * sex,0.69,0.31,hba1c,locf
34,NCT02182830,rcs,Intercept,1.442,2.08,hba1c,locf
34,NCT02182830,rcs,value_1,0.745,0.072,hba1c,locf
34,NCT02182830,rcs,age10,0.194,0.446,hba1c,locf
34,NCT02182830,rcs,age10',-1.552,1.747,hba1c,locf
34,NCT02182830,rcs,age10'',4.604,4.581,hba1c,locf
34,NCT02182830,rcs,arm_f=_2_Empagliflozin 10-25mg,-1.159,2.527,hba1c,locf
34,NCT02182830,rcs,sex,0.026,0.206,hba1c,locf
34,NCT02182830,rcs,age10 * arm_f=_2_Empagliflozin 10-25mg,0.099,0.581,hba1c,locf
34,NCT02182830,rcs,age10' * arm_f=_2_Empagliflozin 10-25mg,0.492,2.469,hba1c,locf
34,NCT02182830,rcs,age10'' * arm_f=_2_Empagliflozin 10-25mg,-1.965,6.922,hba1c,locf
34,NCT02182830,rcs,arm_f=_2_Empagliflozin 10-25mg * sex,-0.102,0.296,hba1c,locf
34,NCT02453555,rcs,Intercept,3.123,1.578,hba1c,locf
34,NCT02453555,rcs,value_1,0.394,0.064,hba1c,locf
34,NCT02453555,rcs,age10,0.244,0.341,hba1c,locf
34,NCT02453555,rcs,age10',-0.407,1.292,hba1c,locf
34,NCT02453555,rcs,age10'',0.89,3.341,hba1c,locf
34,NCT02453555,rcs,arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,1.454,2.006,hba1c,locf
34,NCT02453555,rcs,sex,-0.063,0.181,hba1c,locf
34,NCT02453555,rcs,age10 * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,-0.43,0.443,hba1c,locf
34,NCT02453555,rcs,age10' * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,1.588,1.618,hba1c,locf
34,NCT02453555,rcs,age10'' * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,-4.121,4.167,hba1c,locf
34,NCT02453555,rcs,arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg * sex,-0.004,0.221,hba1c,locf
34,NCT00763451,rcs,Intercept,2.958,1.41,hba1c,locf
34,NCT00763451,rcs,value_1,0.361,0.049,hba1c,locf
34,NCT00763451,rcs,age10,0.434,0.301,hba1c,locf
34,NCT00763451,rcs,age10',-2.476,1.208,hba1c,locf
34,NCT00763451,rcs,age10'',6.87,3.248,hba1c,locf
34,NCT00763451,rcs,arm_f=_2_Lixisenatide 1-step titration,0.83,1.958,hba1c,locf
34,NCT00763451,rcs,arm_f=_2_Lixisenatide 2-step titration,1.381,1.696,hba1c,locf
34,NCT00763451,rcs,sex,-0.292,0.147,hba1c,locf
34,NCT00763451,rcs,age10 * arm_f=_2_Lixisenatide 1-step titration,-0.229,0.438,hba1c,locf
34,NCT00763451,rcs,age10' * arm_f=_2_Lixisenatide 1-step titration,0.669,1.75,hba1c,locf
34,NCT00763451,rcs,age10'' * arm_f=_2_Lixisenatide 1-step titration,-1.901,4.836,hba1c,locf
34,NCT00763451,rcs,age10 * arm_f=_2_Lixisenatide 2-step titration,-0.373,0.381,hba1c,locf
34,NCT00763451,rcs,age10' * arm_f=_2_Lixisenatide 2-step titration,1.478,1.608,hba1c,locf
34,NCT00763451,rcs,age10'' * arm_f=_2_Lixisenatide 2-step titration,-4.43,4.567,hba1c,locf
34,NCT00763451,rcs,arm_f=_2_Lixisenatide 1-step titration * sex,0.226,0.21,hba1c,locf
34,NCT00763451,rcs,arm_f=_2_Lixisenatide 2-step titration * sex,0.234,0.208,hba1c,locf
34,NCT00866658,rcs,Intercept,3.953,1.376,hba1c,locf
34,NCT00866658,rcs,value_1,0.635,0.069,hba1c,locf
34,NCT00866658,rcs,age10,-0.177,0.275,hba1c,locf
34,NCT00866658,rcs,age10',-0.091,1.152,hba1c,locf
34,NCT00866658,rcs,age10'',0.479,3.143,hba1c,locf
34,NCT00866658,rcs,arm_f=_2_Lixisenatide 2-step titration,-2.768,1.666,hba1c,locf
34,NCT00866658,rcs,sex,0.081,0.146,hba1c,locf
34,NCT00866658,rcs,age10 * arm_f=_2_Lixisenatide 2-step titration,0.402,0.379,hba1c,locf
34,NCT00866658,rcs,age10' * arm_f=_2_Lixisenatide 2-step titration,-0.788,1.595,hba1c,locf
34,NCT00866658,rcs,age10'' * arm_f=_2_Lixisenatide 2-step titration,1.236,4.346,hba1c,locf
34,NCT00866658,rcs,arm_f=_2_Lixisenatide 2-step titration * sex,-0.01,0.208,hba1c,locf
34,NCT01169779,rcs,Intercept,1.806,0.734,hba1c,locf
34,NCT01169779,rcs,value_1,0.759,0.054,hba1c,locf
34,NCT01169779,rcs,age10,-0.04,0.146,hba1c,locf
34,NCT01169779,rcs,age10',-0.141,0.739,hba1c,locf
34,NCT01169779,rcs,age10'',0.545,2.198,hba1c,locf
34,NCT01169779,rcs,arm_f=_2_Lixisenatide,-1.406,0.912,hba1c,locf
34,NCT01169779,rcs,sex,-0.136,0.119,hba1c,locf
34,NCT01169779,rcs,age10 * arm_f=_2_Lixisenatide,0.232,0.21,hba1c,locf
34,NCT01169779,rcs,age10' * arm_f=_2_Lixisenatide,-0.553,1.061,hba1c,locf
34,NCT01169779,rcs,age10'' * arm_f=_2_Lixisenatide,1.097,3.206,hba1c,locf
34,NCT01169779,rcs,arm_f=_2_Lixisenatide * sex,-0.204,0.166,hba1c,locf
34,NCT01632163,rcs,Intercept,3.279,1.631,hba1c,locf
34,NCT01632163,rcs,value_1,0.602,0.09,hba1c,locf
34,NCT01632163,rcs,age10,-0.032,0.325,hba1c,locf
34,NCT01632163,rcs,age10',0.553,1.378,hba1c,locf
34,NCT01632163,rcs,age10'',-1.438,3.837,hba1c,locf
34,NCT01632163,rcs,arm_f=_2_Lixisenatide,-0.775,1.815,hba1c,locf
34,NCT01632163,rcs,sex,-0.338,0.179,hba1c,locf
34,NCT01632163,rcs,age10 * arm_f=_2_Lixisenatide,0.063,0.413,hba1c,locf
34,NCT01632163,rcs,age10' * arm_f=_2_Lixisenatide,-1.288,1.89,hba1c,locf
34,NCT01632163,rcs,age10'' * arm_f=_2_Lixisenatide,4.895,5.524,hba1c,locf
34,NCT01632163,rcs,arm_f=_2_Lixisenatide * sex,0.505,0.251,hba1c,locf
34,NCT00712673,rcs,Intercept,3.088,1.133,hba1c,locf
34,NCT00712673,rcs,value_1,0.424,0.04,hba1c,locf
34,NCT00712673,rcs,age10,0.271,0.247,hba1c,locf
34,NCT00712673,rcs,age10',-1.861,1.148,hba1c,locf
34,NCT00712673,rcs,age10'',5.309,3.38,hba1c,locf
34,NCT00712673,rcs,arm_f=_2_Lixisenatide evening,1.558,1.354,hba1c,locf
34,NCT00712673,rcs,arm_f=_2_Lixisenatide morning,0.692,1.539,hba1c,locf
34,NCT00712673,rcs,sex,-0.083,0.149,hba1c,locf
34,NCT00712673,rcs,age10 * arm_f=_2_Lixisenatide evening,-0.418,0.305,hba1c,locf
34,NCT00712673,rcs,age10' * arm_f=_2_Lixisenatide evening,2.282,1.387,hba1c,locf
34,NCT00712673,rcs,age10'' * arm_f=_2_Lixisenatide evening,-6.038,4.02,hba1c,locf
34,NCT00712673,rcs,age10 * arm_f=_2_Lixisenatide morning,-0.216,0.347,hba1c,locf
34,NCT00712673,rcs,age10' * arm_f=_2_Lixisenatide morning,1.165,1.523,hba1c,locf
34,NCT00712673,rcs,age10'' * arm_f=_2_Lixisenatide morning,-3.811,4.375,hba1c,locf
34,NCT00712673,rcs,arm_f=_2_Lixisenatide evening * sex,-0.126,0.194,hba1c,locf
34,NCT00712673,rcs,arm_f=_2_Lixisenatide morning * sex,0.053,0.196,hba1c,locf
34,NCT00713830,rcs,Intercept,5.116,1.014,hba1c,locf
34,NCT00713830,rcs,value_1,0.5,0.038,hba1c,locf
34,NCT00713830,rcs,age10,-0.237,0.21,hba1c,locf
34,NCT00713830,rcs,age10',0.272,0.86,hba1c,locf
34,NCT00713830,rcs,age10'',-0.241,2.356,hba1c,locf
34,NCT00713830,rcs,arm_f=_2_Lixisenatide,-0.897,1.149,hba1c,locf
34,NCT00713830,rcs,sex,-0.19,0.113,hba1c,locf
34,NCT00713830,rcs,age10 * arm_f=_2_Lixisenatide,0.11,0.257,hba1c,locf
34,NCT00713830,rcs,age10' * arm_f=_2_Lixisenatide,-0.179,1.054,hba1c,locf
34,NCT00713830,rcs,age10'' * arm_f=_2_Lixisenatide,-0.313,2.899,hba1c,locf
34,NCT00713830,rcs,arm_f=_2_Lixisenatide * sex,0.188,0.138,hba1c,locf
34,NCT00715624,rcs,Intercept,6.13,1.578,hba1c,locf
34,NCT00715624,rcs,value_1,0.628,0.06,hba1c,locf
34,NCT00715624,rcs,age10,-0.681,0.337,hba1c,locf
34,NCT00715624,rcs,age10',1.123,1.385,hba1c,locf
34,NCT00715624,rcs,age10'',-2.185,3.795,hba1c,locf
34,NCT00715624,rcs,arm_f=_2_Lixisenatide,-3.544,1.951,hba1c,locf
34,NCT00715624,rcs,sex,-0.013,0.176,hba1c,locf
34,NCT00715624,rcs,age10 * arm_f=_2_Lixisenatide,0.664,0.437,hba1c,locf
34,NCT00715624,rcs,age10' * arm_f=_2_Lixisenatide,-0.557,1.758,hba1c,locf
34,NCT00715624,rcs,age10'' * arm_f=_2_Lixisenatide,0.047,4.766,hba1c,locf
