trials,nct_id,nct_id2,models,row,col,r,outcome,outcome_method
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10457,age10' * arm_f=_2_uaa10457,-0.879,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,age10'' * arm_f=_2_uaa10457,0.518,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,age10'' * arm_f=_2_uaa10457,-0.009,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,age10'' * arm_f=_2_uaa10457,-0.588,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',age10'' * arm_f=_2_uaa10457,0.717,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',age10'' * arm_f=_2_uaa10457,-0.73,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10457,-0.422,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,age10'' * arm_f=_2_uaa10457,-0.737,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,age10'' * arm_f=_2_uaa10457,-0.074,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10457,0.446,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10457,-0.535,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10456,age10'' * arm_f=_2_uaa10457,0.542,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10457,age10'' * arm_f=_2_uaa10457,0.79,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10457,age10'' * arm_f=_2_uaa10457,-0.979,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,arm_f=_2_uaa10456 * sex,0.103,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,arm_f=_2_uaa10456 * sex,0.003,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,arm_f=_2_uaa10456 * sex,-0.066,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',arm_f=_2_uaa10456 * sex,0.071,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',arm_f=_2_uaa10456 * sex,-0.073,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,arm_f=_2_uaa10456 * sex,-0.104,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,arm_f=_2_uaa10456 * sex,-0.085,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,arm_f=_2_uaa10456 * sex,-0.709,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,arm_f=_2_uaa10456 * sex,0.034,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,arm_f=_2_uaa10456 * sex,-0.036,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10456,arm_f=_2_uaa10456 * sex,0.033,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10457,arm_f=_2_uaa10456 * sex,0.05,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10457,arm_f=_2_uaa10456 * sex,-0.053,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10457,arm_f=_2_uaa10456 * sex,0.053,hba1c,locf
34,NCT00968812,NCT00968812,rcs,Intercept,arm_f=_2_uaa10457 * sex,0.098,hba1c,locf
34,NCT00968812,NCT00968812,rcs,value_1,arm_f=_2_uaa10457 * sex,0.018,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10,arm_f=_2_uaa10457 * sex,-0.065,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10',arm_f=_2_uaa10457 * sex,0.071,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'',arm_f=_2_uaa10457 * sex,-0.072,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456,arm_f=_2_uaa10457 * sex,-0.085,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10457,arm_f=_2_uaa10457 * sex,-0.109,hba1c,locf
34,NCT00968812,NCT00968812,rcs,sex,arm_f=_2_uaa10457 * sex,-0.71,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10456,arm_f=_2_uaa10457 * sex,0.049,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10456,arm_f=_2_uaa10457 * sex,-0.053,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10456,arm_f=_2_uaa10457 * sex,0.054,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10 * arm_f=_2_uaa10457,arm_f=_2_uaa10457 * sex,0.039,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10' * arm_f=_2_uaa10457,arm_f=_2_uaa10457 * sex,-0.038,hba1c,locf
34,NCT00968812,NCT00968812,rcs,age10'' * arm_f=_2_uaa10457,arm_f=_2_uaa10457 * sex,0.038,hba1c,locf
34,NCT00968812,NCT00968812,rcs,arm_f=_2_uaa10456 * sex,arm_f=_2_uaa10457 * sex,0.505,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,value_1,-0.103,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10,-0.99,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10,-0.022,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10',0.925,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10',0.027,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10',-0.953,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10'',-0.876,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10'',-0.025,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10'',0.908,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10'',-0.991,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,arm_f=_2_uaa10512,-0.743,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,arm_f=_2_uaa10512,-0.022,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,arm_f=_2_uaa10512,0.747,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',arm_f=_2_uaa10512,-0.699,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',arm_f=_2_uaa10512,0.662,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,arm_f=_2_uaa10514,-0.725,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,arm_f=_2_uaa10514,-0.007,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,arm_f=_2_uaa10514,0.728,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',arm_f=_2_uaa10514,-0.681,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',arm_f=_2_uaa10514,0.645,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,arm_f=_2_uaa10514,0.547,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,sex,-0.052,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,sex,0.026,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,sex,0.014,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',sex,-0.005,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',sex,0.002,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,sex,0.037,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,sex,0.036,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10 * arm_f=_2_uaa10512,0.74,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10 * arm_f=_2_uaa10512,0.02,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10 * arm_f=_2_uaa10512,-0.749,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10 * arm_f=_2_uaa10512,0.713,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',age10 * arm_f=_2_uaa10512,-0.68,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,age10 * arm_f=_2_uaa10512,-0.997,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,age10 * arm_f=_2_uaa10512,-0.545,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,age10 * arm_f=_2_uaa10512,-0.011,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10' * arm_f=_2_uaa10512,-0.687,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10' * arm_f=_2_uaa10512,-0.017,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10' * arm_f=_2_uaa10512,0.707,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10' * arm_f=_2_uaa10512,-0.742,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',age10' * arm_f=_2_uaa10512,0.735,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,age10' * arm_f=_2_uaa10512,0.928,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,age10' * arm_f=_2_uaa10512,0.505,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,age10' * arm_f=_2_uaa10512,0.003,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,age10' * arm_f=_2_uaa10512,-0.949,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10'' * arm_f=_2_uaa10512,0.647,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10'' * arm_f=_2_uaa10512,0.015,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10'' * arm_f=_2_uaa10512,-0.67,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10'' * arm_f=_2_uaa10512,0.731,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',age10'' * arm_f=_2_uaa10512,-0.738,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10512,-0.875,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,age10'' * arm_f=_2_uaa10512,-0.476,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,age10'' * arm_f=_2_uaa10512,-0.002,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10512,0.901,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10512,-0.99,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10 * arm_f=_2_uaa10514,0.722,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10 * arm_f=_2_uaa10514,0.007,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10 * arm_f=_2_uaa10514,-0.728,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10 * arm_f=_2_uaa10514,0.694,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',age10 * arm_f=_2_uaa10514,-0.661,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,age10 * arm_f=_2_uaa10514,-0.544,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,age10 * arm_f=_2_uaa10514,-0.997,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,age10 * arm_f=_2_uaa10514,-0.011,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,age10 * arm_f=_2_uaa10514,0.545,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,age10 * arm_f=_2_uaa10514,-0.515,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10512,age10 * arm_f=_2_uaa10514,0.488,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10' * arm_f=_2_uaa10514,-0.668,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10' * arm_f=_2_uaa10514,-0.009,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10' * arm_f=_2_uaa10514,0.687,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10' * arm_f=_2_uaa10514,-0.721,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',age10' * arm_f=_2_uaa10514,0.714,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,age10' * arm_f=_2_uaa10514,0.504,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,age10' * arm_f=_2_uaa10514,0.931,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,age10' * arm_f=_2_uaa10514,0.004,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,age10' * arm_f=_2_uaa10514,-0.514,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,age10' * arm_f=_2_uaa10514,0.535,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10512,age10' * arm_f=_2_uaa10514,-0.527,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10514,age10' * arm_f=_2_uaa10514,-0.951,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,age10'' * arm_f=_2_uaa10514,0.631,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,age10'' * arm_f=_2_uaa10514,0.01,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,age10'' * arm_f=_2_uaa10514,-0.653,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',age10'' * arm_f=_2_uaa10514,0.712,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',age10'' * arm_f=_2_uaa10514,-0.719,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10514,-0.476,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,age10'' * arm_f=_2_uaa10514,-0.88,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,age10'' * arm_f=_2_uaa10514,-0.002,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10514,0.489,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10514,-0.528,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10512,age10'' * arm_f=_2_uaa10514,0.53,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10514,age10'' * arm_f=_2_uaa10514,0.905,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10514,age10'' * arm_f=_2_uaa10514,-0.991,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,arm_f=_2_uaa10512 * sex,0.034,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,arm_f=_2_uaa10512 * sex,0.014,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,arm_f=_2_uaa10512 * sex,-0.011,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',arm_f=_2_uaa10512 * sex,0.004,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',arm_f=_2_uaa10512 * sex,-0.002,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,arm_f=_2_uaa10512 * sex,-0.053,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,arm_f=_2_uaa10512 * sex,-0.026,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,arm_f=_2_uaa10512 * sex,-0.709,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,arm_f=_2_uaa10512 * sex,0.017,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,arm_f=_2_uaa10512 * sex,-0.013,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10512,arm_f=_2_uaa10512 * sex,0.012,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10514,arm_f=_2_uaa10512 * sex,0.008,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10514,arm_f=_2_uaa10512 * sex,-0.003,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10514,arm_f=_2_uaa10512 * sex,0.002,hba1c,locf
34,NCT01032629,NCT01032629,rcs,Intercept,arm_f=_2_uaa10514 * sex,0.036,hba1c,locf
34,NCT01032629,NCT01032629,rcs,value_1,arm_f=_2_uaa10514 * sex,-0.007,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10,arm_f=_2_uaa10514 * sex,-0.01,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10',arm_f=_2_uaa10514 * sex,0.004,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'',arm_f=_2_uaa10514 * sex,-0.002,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512,arm_f=_2_uaa10514 * sex,-0.026,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10514,arm_f=_2_uaa10514 * sex,-0.049,hba1c,locf
34,NCT01032629,NCT01032629,rcs,sex,arm_f=_2_uaa10514 * sex,-0.71,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10512,arm_f=_2_uaa10514 * sex,0.008,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10512,arm_f=_2_uaa10514 * sex,-0.003,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10512,arm_f=_2_uaa10514 * sex,0.001,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10 * arm_f=_2_uaa10514,arm_f=_2_uaa10514 * sex,0.014,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10' * arm_f=_2_uaa10514,arm_f=_2_uaa10514 * sex,-0.007,hba1c,locf
34,NCT01032629,NCT01032629,rcs,age10'' * arm_f=_2_uaa10514,arm_f=_2_uaa10514 * sex,0.006,hba1c,locf
34,NCT01032629,NCT01032629,rcs,arm_f=_2_uaa10512 * sex,arm_f=_2_uaa10514 * sex,0.504,hba1c,locf
34,NCT01106625,NCT01106625,rcs,Intercept,value_1,-0.243,hba1c,locf
34,NCT01106625,NCT01106625,rcs,Intercept,age10,-0.972,hba1c,locf
34,NCT01106625,NCT01106625,rcs,value_1,age10,0.03,hba1c,locf
34,NCT01106625,NCT01106625,rcs,Intercept,age10',0.866,hba1c,locf
34,NCT01106625,NCT01106625,rcs,value_1,age10',-0.022,hba1c,locf
34,NCT01106625,NCT01106625,rcs,age10,age10',-0.919,hba1c,locf
