round_review,cmpr,nct_id,arm_id_unq,drug_code,ltr,mono,dual,triple,drug_regime,drug_regime_simplify,data_type,n,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,mandatory_ancillary1,,
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10685,A10BG_A10BH05,DE,,,,dual,dual,ipd,74,linagliptin,5,milligram,od,glitazone,NA,NA,NA,NA,,
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10686,A10BA02_A10BF,CM,,,,dual,dual,ipd,60,metformin,500,milligram,od,alpha glucosidase inhibitor,NA,NA,NA,NA,,
1,"BE,BM,CE,CM,DE,EF,EM",NCT01204294,uaa10687,A10BA02_A10BB,BM,,BM,,dual,dual,ipd,63,metformin,500,milligram,od,sulfonylurea,NA,NA,NA,NA,,
2,"AB,AB,B,B",NCT02489968,uaa11145,A10BK03,B,,B,,dual,dual,ipd,108,empagliflozin,10,milligram,od,NA,NA,NA,NA,NA,,
2,"AB,AB,B,B",NCT02489968,uaa11146,A10BK03,B,,B,,dual,dual,ipd,116,empagliflozin,25,milligram,od,NA,NA,NA,NA,NA,,
2,"AB,AB,B,B",NCT02489968,uaa11147,A10BH05_A10BK03,AB,,AB,,dual,dual,ipd,107,empagliflozin,10,milligram,od,linagliptin,5,milligram,od,NA,,
2,"AB,AB,B,B",NCT02489968,uaa11148,A10BH05_A10BK03,AB,,AB,,dual,dual,ipd,116,empagliflozin,25,milligram,od,linagliptin,5,milligram,od,NA,,
1,"A,AB,B",NCT00135330,uaa10049,A10BJ01,B,,B,,dual|triple+,triple,agg,35,exenatide,10,microgram,bd,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT00135330,uaa10050,A10BG02_A10BJ01,AB,,,AB,dual|triple+,triple,agg,36,exenatide,10,microgram,bd,rosiglitazone,4,milligram,bd,metformin,,
1,"A,AB,B",NCT00135330,uaa10051,A10BG02,A,,A,A,dual|triple+,triple,agg,34,rosiglitazone,4,milligram,bd,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT01606007,uaa10812,A10BK01,B,,B,,dual|triple+,triple,ipd,170,dapagliflozin,10,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT01606007,uaa10813,A10BH03_A10BK01,AB,,,AB,dual|triple+,triple,ipd,172,dapagliflozin,10,milligram,od,saxagliptin,5,milligram,od,metformin,,
1,"A,AB,B",NCT01606007,uaa10814,A10BH03,A,,A,A,dual|triple+,triple,ipd,173,saxagliptin,5,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02229396,uaa11086,A10BK01,B,,B,,dual|triple+,triple,agg,230,dapagliflozin,10,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02229396,uaa11087,A10BJ01_A10BK01,AB,,,AB,dual|triple+,triple,agg,228,dapagliflozin,10,milligram,od,exenatide,2,milligram,weekly,metformin,,
1,"A,AB,B",NCT02229396,uaa11088,A10BJ01,A,,A,A,dual|triple+,triple,agg,227,exenatide,2,milligram,weekly,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02324842,unq_updaa10010,A10BK02,B,,B,,dual|triple+,triple,agg,15,canagliflozin,300,mg,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02324842,unq_updaa10011,A10BJ02_A10BK02,AB,,,AB,dual|triple+,triple,agg,15,canagliflozin,300,mg,od,liraglutide,1.8,mg,od,metformin,,
1,"A,AB,B",NCT02324842,unq_updaa10012,A10BJ02,A,,A,A,dual|triple+,triple,agg,15,liraglutide,1.8,mg,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02607306,uaa11179,A10A,A,,A,A,dual|triple+,triple,agg,271,insulin degludec,as per bm,units,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02607306,uaa11180,A10A_A10BJ02,AB,,,AB,dual|triple+,triple,agg,275,liraglutide,as per bm,milligram,od,insulin_degludec,as per bm,od,NA,metformin,,
1,"A,AB,B",NCT02607306,uaa11181,A10BJ02,B,,B,,dual|triple+,triple,agg,273,liraglutide,1.8,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02681094,uaa11197,A10BK01,B,,B,,dual|triple+,triple,ipd,292,dapagliflozin,5,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT02681094,uaa11198,A10BH03_A10BK01,AB,,,AB,dual|triple+,triple,ipd,291,dapagliflozin,5,milligram,od,saxagliptin,5,milligram,od,metformin,,
1,"A,AB,B",NCT02681094,uaa11199,A10BH03,A,,A,B,dual|triple+,triple,ipd,293,saxagliptin,5,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT03172494,uaa11308,A10A,A,,A,A,dual|triple+,triple,agg,167,insulin degludec,as per bm,units,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT03172494,uaa11309,A10A_A10BJ02,AB,,,AB,dual|triple+,triple,agg,341,liraglutide,0.36,milligram,od,insulin degludec,as per bm,units,od,metformin,,
1,"A,AB,B",NCT03172494,uaa11310,A10BJ02,B,,B,,dual|triple+,triple,agg,151,liraglutide,1.8,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT03798054,updab0071,A10A,A,,A,A,dual|triple+,triple,agg,350,insulin_glargine,as per bm,units,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT03798054,updab0072,A10BJ03,B,,B,,dual|triple+,triple,agg,177,lixisenatide,5,microgram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B",NCT03798054,updab0073,A10A_A10BJ03,AB,,,AB,dual|triple+,triple,agg,351,lixisenatide,5,microgram,od,insulin_glargine,5,units,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10115,A10BH04,B,,B,,dual|triple+,triple,agg,123,alogliptin,25,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10116,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,130,alogliptin,12.5,milligram,od,pioglitazone,15,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10117,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,385,alogliptin,12.5,milligram,od,pioglitazone,15|30|45,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10118,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,128,alogliptin,12.5,milligram,od,pioglitazone,30,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10119,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,127,alogliptin,12.5,milligram,od,pioglitazone,45,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10120,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,127,alogliptin,25,milligram,od,pioglitazone,15,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10121,A10BG03_A10BH04,AB,,,AB,dual|triple+,triple,agg,377,alogliptin,25,milligram,od,pioglitazone,15|30|45,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10122,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,124,alogliptin,25,milligram,od,pioglitazone,30,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10123,A10BG03_A10BH04,AB,,,,dual|triple+,triple,agg,126,alogliptin,25,milligram,od,pioglitazone,45,milligram,od,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10124,A10BG03,A,,,,dual|triple+,triple,agg,127,pioglitazone,15,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10125,A10BG03,A,,,A,dual|triple+,triple,agg,376,pioglitazone,15|30|45,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10126,A10BG03,A,,,,dual|triple+,triple,agg,123,pioglitazone,30,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10127,A10BG03,A,,,,dual|triple+,triple,agg,126,pioglitazone,45,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,A,A,A,AB,AB,AB,AB,AB,AB,AB,AB,B,P",NCT00328627,uaa10128,placebo,P,,P,,dual|triple+,triple,agg,126,placebo,NA,NA,NA,NA,NA,NA,NA,metformin,,
1,"A,BC,C",NCT02471404,uaa11141,A10BK01,C,,C,C,dual|triple+,triple,ipd,297,dapagliflozin,10,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,BC,C",NCT02471404,uaa11142,A10BH03_A10BK01,BC,,,BC,dual|triple+,triple,ipd,304,dapagliflozin,10,milligram,od,saxagliptin,5,milligram,od,metformin,,
1,"A,BC,C",NCT02471404,uaa11143,A10BB12,A,,A,,dual|triple+,triple,ipd,301,glimepiride,1,milligram,od,NA,NA,NA,NA,metformin,,
1,"AB,B,P",NCT02613897,unq_updaa10026,A10BK01,B,,B,B,dual|triple+,triple,agg,22,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,,
1,"AB,B,P",NCT02613897,unq_updaa10027,A10BH03_A10BK01,AB,,,AB,dual|triple+,triple,agg,22,dapagliflozin,10,mg,od,saxagliptin,5,mg,od,NA,,
1,"AB,B,P",NCT02613897,unq_updaa10028,placebo,P,,P,,dual|triple+,triple,agg,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,"ABCD,ABCD,ABD,ABD,C",NCT02099110,uaa11047,A10BK__09,ABD,,ABD,,dual|triple+,triple,agg,248,ertugliflozin,15,milligram,od,NA,NA,NA,NA,metformin,,
1,"ABCD,ABCD,ABD,ABD,C",NCT02099110,uaa11048,A10BH01_A10BK__09,ABCD,,,ABCD,dual|triple+,triple,agg,244,ertugliflozin,15,milligram,od,sitagliptin,100,milligram,od,metformin,,
1,"ABCD,ABCD,ABD,ABD,C",NCT02099110,uaa11049,A10BK__09,ABD,,,,dual|triple+,triple,agg,250,ertugliflozin,5,milligram,od,NA,NA,NA,NA,metformin,,
1,"ABCD,ABCD,ABD,ABD,C",NCT02099110,uaa11050,A10BH01_A10BK__09,ABCD,,,,dual|triple+,triple,agg,243,ertugliflozin,5,milligram,od,sitagliptin,100,milligram,od,metformin,,
1,"ABCD,ABCD,ABD,ABD,C",NCT02099110,uaa11051,A10BH01,C,,C,C,dual|triple+,triple,agg,247,sitagliptin,100,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B,P",NCT03361098,updab0055,A10BJ01,A,,A,A,dual|triple+,triple,agg,17,exenatide,10,microgram,bd,NA,NA,NA,NA,metformin,,
1,"A,AB,B,P",NCT03361098,updab0056,A10BK01,B,,B,,dual|triple+,triple,agg,16,dapagliflozin,10,mg,od,NA,NA,NA,NA,metformin,,
1,"A,AB,B,P",NCT03361098,updab0057,A10BJ01_A10BK01,AB,,,AB,dual|triple+,triple,agg,15,exenatide,10,microgram,bd,dapagliflozin,10,mg,od,metformin,,
1,"A,AB,B,P",NCT03361098,updab0058,placebo,P,,,,dual|triple+,triple,agg,15,NA,NA,NA,NA,NA,NA,NA,NA,metformin,,
1,"A,BC",NCT02284893,uaa11104,A10BH03_A10BK01,BC,,,BC,dual|triple+,triple,ipd,209,dapagliflozin,10,milligram,od,saxagliptin,5,milligram,od,metformin,,
1,"A,BC",NCT02284893,uaa11105,A10BH01,A,,,A,dual|triple+,triple,ipd,206,sitagliptin,100,milligram,od,NA,NA,NA,NA,metformin,,
1,"A,BC",NCT02551874,unq_updaa10023,A10BH03_A10BK01,BC,,,BC,dual|triple+,triple,agg,324,dapagliflozin,10,mg,od,saxagliptin,5,mg,od,metformin,,
1,"A,BC",NCT02551874,unq_updaa10024,A10A,A,,,A,dual|triple+,triple,agg,319,insulin_glargine,as per bm,units,od,NA,NA,NA,NA,metformin,,
1,"A,AB,C",NCT04196231,updab0091,A10A,A,,,,dual|triple+,triple,agg,101,aspart| lispro|,NA,NA,NA,NA,NA,NA,NA,insulin_basal,,
1,"A,AB,C",NCT04196231,updab0092,A10A_A10BJ,AB,,AB,,dual|triple+,triple,agg,102,liraglutide| lixisenatide | glulisine,NA,NA,NA,NA,NA,NA,NA,insulin_basal,,
1,"A,AB,C",NCT04196231,updab0093,A10BK,C,,C,,dual|triple+,triple,agg,102,canagliflozin| dapagliflozin |empagliflozin,NA,NA,NA,NA,NA,NA,NA,insulin_basal,,
1,"AC,B",NCT02787551,unq_updaa10033,A10BJ,B,,,B,dual|triple+,triple,agg,257,liraglutide|exenatide|albiglutide|dulaglutide,NA,NA,NA,NA,NA,NA,NA,metformin,,
1,"AC,B",NCT02787551,unq_updaa10034,A10A_A10BJ03,AC,,,AC,dual|triple+,triple,agg,257,lixisenatide,5,microgram,od,insulin_glargine,10,units,od,metformin,,
2,"A,AB",NCT02058160,uaa11032,A10A,A,,,A,dual|triple+,triple,agg,364,insulin glargine,as per bm,units,NA,NA,NA,NA,NA,metformin,,
2,"A,AB",NCT02058160,uaa11033,A10A_A10BJ03,AB,,,AB,dual|triple+,triple,agg,364,lixisenatide,as per bm,microgram,od,insulin glargine,as per bm,units,od,metformin,,
2,"A,AB",NCT02773368,unq_updaa10030,A10A,A,,,A,dual|triple+,triple,agg,210,insulin_glargine,as per bm,units,od,NA,NA,NA,NA,sglt2i_any,,
2,"A,AB",NCT02773368,unq_updaa10031,A10A_A10BJ02,AB,,,AB,dual|triple+,triple,agg,210,liraglutide,0.36,mg,od,insulin_degludec,10,units,id,sglt2i_any,,
2,"A,AB,AB",NCT01519674,uaa10786,A10A,A,,,A,dual|triple+,triple,agg,183,insulin aspart,as per bm,units,bd,NA,NA,NA,NA,metformin,,
2,"A,AB,AB",NCT01519674,uaa10787,A10A_A10BH01,AB,,,AB,dual|triple+,triple,agg,189,sitagliptin,100,milligram,od,insulin aspart,as per bm,units,bd,metformin,,
2,"A,AB,AB",NCT01519674,uaa10788,A10A_A10BH01,AB,,,AB,dual|triple+,triple,agg,187,sitagliptin,100,milligram,od,insulin aspart,as per bm,units,od,metformin,,
2,"AB,AC",NCT03819790,updab0076,A10A_A10BB09,AB,,,AB,dual|triple+,triple,agg,53,insulin_glargine,as per bm,units,od,gliclazide,60,mg,od,metformin,,
2,"AB,AC",NCT03819790,updab0077,A10A_A10BJ03,AC,,,AC,dual|triple+,triple,agg,51,lixisenatide,5,microgram,od,insulin_glargine,15,units,od,metformin,,
1,"B,BM,BM,M,M,P",NCT00103857,uaa10028,A10BA02,M,,M,,mono|dual,dual,agg,177,metformin,1000,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00103857,uaa10029,A10BA02,M,,,,mono|dual,dual,agg,178,metformin,500,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00103857,uaa10030,placebo,P,P,,,mono|dual,dual,agg,165,placebo,NA,NA,NA,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00103857,uaa10031,A10BA02_A10BH01,BM,,BM,,mono|dual,dual,agg,178,sitagliptin,50,milligram,bd,metformin,1000,milligram,bd,NA,,
1,"B,BM,BM,M,M,P",NCT00103857,uaa10032,A10BA02_A10BH01,BM,,,,mono|dual,dual,agg,183,sitagliptin,50,milligram,bd,metformin,500,milligram,bd,NA,,
1,"B,BM,BM,M,M,P",NCT00103857,uaa10033,A10BH01,B,B,,,mono|dual,dual,agg,175,sitagliptin,100,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00798161,uaa10361,A10BH05,B,B,,,mono|dual,dual,ipd,141,linagliptin,5,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00798161,uaa10362,A10BA02_A10BH05,BM,,BM,,mono|dual,dual,ipd,139,linagliptin,2.5,milligram,od,metformin,1000,milligram,bd,NA,,
1,"B,BM,BM,M,M,P",NCT00798161,uaa10363,A10BA02_A10BH05,BM,,,,mono|dual,dual,ipd,139,linagliptin,2.5,milligram,od,metformin,500,milligram,bd,NA,,
1,"B,BM,BM,M,M,P",NCT00798161,uaa10364,A10BA02,M,,M,,mono|dual,dual,ipd,145,metformin,1000,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00798161,uaa10365,A10BA02,M,,,,mono|dual,dual,ipd,140,metformin,500,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT00798161,uaa10366,placebo,P,P,,,mono|dual,dual,ipd,63,placebo,NA,NA,NA,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT01076088,uaa10541,A10BA02,M,,,,mono|dual,dual,agg,116,metformin,500,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT01076088,uaa10542,A10BA02,M,,M,,mono|dual,dual,agg,117,metformin,850,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT01076088,uaa10543,placebo,P,P,,,mono|dual,dual,agg,117,placebo,NA,NA,NA,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M,M,P",NCT01076088,uaa10544,A10BA02_A10BH01,BM,,,,mono|dual,dual,agg,118,sitagliptin,50,milligram,od,metformin,500,milligram,bd,NA,,
1,"B,BM,BM,M,M,P",NCT01076088,uaa10545,A10BA02_A10BH01,BM,,BM,,mono|dual,dual,agg,114,sitagliptin,50,milligram,od,metformin,850,milligram,bd,NA,,
1,"B,BM,BM,M,M,P",NCT01076088,uaa10546,A10BH01,B,B,,,mono|dual,dual,agg,113,sitagliptin,100,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,M",NCT00643851,uaa10259,A10BK01,B,B,,,mono|dual,dual,agg,196,dapagliflozin,5,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,M",NCT00643851,uaa10260,A10BA02_A10BK01,BM,,BM,,mono|dual,dual,agg,185,dapagliflozin,5,milligram,od,metformin,500,milligram,od,NA,,
1,"B,BM,M",NCT00643851,uaa10261,A10BA02,M,M,M,,mono|dual,dual,agg,195,metformin,500,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,M",NCT00859898,uaa10407,A10BK01,B,B,,,mono|dual,dual,agg,216,dapagliflozin,10,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,M",NCT00859898,uaa10408,A10BA02_A10BK01,BM,,BM,,mono|dual,dual,agg,202,dapagliflozin,10,milligram,od,metformin,500,milligram,od,NA,,
1,"B,BM,M",NCT00859898,uaa10409,A10BA02,M,M,M,,mono|dual,dual,agg,203,metformin,500,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,M",NCT02273050,uaa11100,A10BA02,M,M,M,,mono|dual,dual,agg,204,metformin,500,milligram,od,NA,NA,NA,NA,NA,,
1,"B,BM,M",NCT02273050,uaa11101,A10BA02_A10BH03,BM,,BM,,mono|dual,dual,agg,209,saxagliptin,5,milligram,od,metformin,500,milligram,od,NA,,
1,"B,BM,M",NCT02273050,uaa11102,A10BH03,B,B,,,mono|dual,dual,agg,212,saxagliptin,5,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10332,A10BG03,A,,,,mono|dual,dual,agg,163,pioglitazone,15,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10333,A10BG03,A,,,,mono|dual,dual,agg,181,pioglitazone,30,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10334,A10BG03,A,A,A,,mono|dual,dual,agg,171,pioglitazone,45,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10335,A10BG03_A10BH01,AB,,,,mono|dual,dual,agg,179,sitagliptin,100,milligram,od,pioglitazone,15,milligram,od,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10336,A10BG03_A10BH01,AB,,,,mono|dual,dual,agg,173,sitagliptin,100,milligram,od,pioglitazone,30,milligram,od,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10337,A10BG03_A10BH01,AB,,AB,,mono|dual,dual,agg,188,sitagliptin,100,milligram,od,pioglitazone,45,milligram,od,NA,,
1,"A,A,A,AB,AB,AB,B",NCT00722371,uaa10338,A10BH01,B,B,,,mono|dual,dual,agg,172,sitagliptin,100,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10652,A10BH05,B,B,,,mono|dual,dual,agg,130,linagliptin,5,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10653,A10BG03_A10BH05,AB,,,,mono|dual,dual,agg,120,linagliptin,5,milligram,od,pioglitazone,15,milligram,od,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10654,A10BG03_A10BH05,AB,,,,mono|dual,dual,agg,125,linagliptin,5,milligram,od,pioglitazone,30,milligram,od,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10655,A10BG03_A10BH05,AB,,AB,,mono|dual,dual,agg,126,linagliptin,5,milligram,od,pioglitazone,45,milligram,od,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10656,A10BG03,A,,,,mono|dual,dual,agg,124,pioglitazone,15,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10657,A10BG03,A,,,,mono|dual,dual,agg,134,pioglitazone,30,milligram,od,NA,NA,NA,NA,NA,,
1,"A,A,A,AB,AB,AB,B",NCT01183013,uaa10658,A10BG03,A,A,A,,mono|dual,dual,agg,134,pioglitazone,45,milligram,od,NA,NA,NA,NA,NA,,
1,"A,AB,AB,B",NCT00101803,ac0050,A10BG03,A,A,A,,mono|dual,dual,agg,161,pioglitazone,30,milligram,od,NA,NA,NA,NA,NA,,
1,"A,AB,AB,B",NCT00101803,ac0051,A10BG03_A10BH02,AB,,,,mono|dual,dual,agg,144,vildagliptin,50,milligram,od,pioglitazone,15,milligram,od,NA,,
1,"A,AB,AB,B",NCT00101803,ac0052,A10BG03_A10BH02,AB,,AB,,mono|dual,dual,agg,148,vildagliptin,100,milligram,od,pioglitazone,30,milligram,od,NA,,
1,"A,AB,AB,B",NCT00101803,ac0053,A10BH02,B,B,,,mono|dual,dual,agg,154,vildagliptin,100,milligram,od,NA,NA,NA,NA,NA,,
1,"A,AB,AB,B",NCT00395512,uaa10159,A10BH04,B,B,,,mono|dual,dual,agg,160,alogliptin,25,milligram,od,NA,NA,NA,NA,NA,,
1,"A,AB,AB,B",NCT00395512,uaa10160,A10BG03_A10BH04,AB,,,,mono|dual,dual,agg,158,alogliptin,12.5,milligram,od,pioglitazone,30,milligram,od,NA,,
1,"A,AB,AB,B",NCT00395512,uaa10161,A10BG03_A10BH04,AB,,AB,,mono|dual,dual,agg,158,alogliptin,25,milligram,od,pioglitazone,30,milligram,od,NA,,
1,"A,AB,AB,B",NCT00395512,uaa10162,A10BG03,A,A,A,,mono|dual,dual,agg,153,pioglitazone,30,milligram,od,NA,NA,NA,NA,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10882,A10BK03,B,,,,mono|dual,dual,ipd,168,empagliflozin,10,milligram,od,NA,NA,NA,NA,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10883,A10BK03,B,B,,,mono|dual,dual,ipd,167,empagliflozin,25,milligram,od,NA,NA,NA,NA,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10884,A10BA02_A10BK03,BM,,BM,,mono|dual,dual,ipd,167,empagliflozin,12.5,milligram,bd,metformin,1000,milligram,bd,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10885,A10BA02_A10BK03,BM,,,,mono|dual,dual,ipd,165,empagliflozin,12.5,milligram,bd,metformin,500,milligram,bd,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10886,A10BA02_A10BK03,BM,,,,mono|dual,dual,ipd,165,empagliflozin,5,milligram,bd,metformin,1000,milligram,bd,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10887,A10BA02_A10BK03,BM,,,,mono|dual,dual,ipd,167,empagliflozin,5,milligram,bd,metformin,500,milligram,bd,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10888,A10BA02,M,M,M,,mono|dual,dual,ipd,169,metformin,1000,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,B,BM,BM,BM,BM,M,M",NCT01719003,uaa10889,A10BA02,M,,,,mono|dual,dual,ipd,170,metformin,500,milligram,bd,NA,NA,NA,NA,NA,,
1,"B,BM,BM,M",NCT00327015,uaa10109,A10BA02,M,M,M,,mono|dual,dual,agg,313,metformin,500,milligram,od,NA,NA,NA,NA,NA,,
