ancillary_id,trial_id,drug_regime,mandatory_yn,mandatory_ancillary1,manadatory_and_or,mandatory_ancillary2,mandatory_ancillary3,mandatory_ancillary4,mandatory_ancillary5,mandatory_ancillary6,min_oad_number,optional_yn,optional_ancillary1,optional_and_or,optional_ancillary2,optional_ancillary3,optional_ancillary4,optional_ancillary5,optional_ancillary6,optional_ancillary7,any_oad_exceptions,max_oad_number,notes,mandatory_and_or2,ancillary_notes
anc0077,NCT02330406,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,0,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,any optionals except glp1a and dpp4i.. Insulin allowed,NA,NA
anc0189,UMIN000022858,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,optional any except dpp4i. insulin allowed,NA,NA
anc0190,UMIN000022804,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,sglt2i|tzd,NA,"optional any except sglt2i, pio. insulin allowed",NA,NA
anc0194,NCT01394341,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,su,NA,"optional insulin, oads excluding su",NA,NA
anc0213,UMIN000018445,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,"optional oads excpet ddp4i, or insulin (not glp1ra)",NA,NA
anc0217,NCT01018173,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,NA,NA,"optional standard of care antidiabetics, no glp1ra",NA,NA
anc0230,NCT00765830,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,NA,NA,"untreated, insulin, oral antidiabetic drugs (OADs allowed",NA,NA
anc0054,NCT00894868,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i |tzd,NA,"if pt was on su, dose of intervention drug was halfed",NA,NA
anc0193,NCT02956811,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,"optional conventional treatment except sglt2i, insulin allowed but down titrated to avoid hypos",NA,NA
anc0218,TCTR20180424002,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,optional standard treatment except sglt2i,NA,NA
anc0198,NCT02660047,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,metformin,and_or,insulin_any,sulfonylurea_any,NA,NA,NA,NA,NA,NA,optional metformin and/or insulin and/or SU,NA,NA
ana137,NCT01031680,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,rosiglitazone,NA,could be on either insulin or multiple oads or combination,NA,NA
ana139,NCT01042977,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,rosiglitazone,NA,could be on either insulin or multiple oads or combination,NA,NA
ana141,NCT01064414,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,rosiglitazone,NA,"could be on mono or combi therapy of insulin, mf, su, dpp4, alpha, glp1,pio",NA,NA
ana156,NCT01107886,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,could be on either insulin or one or mulitple oadsor  combination (not dpp4i or glp1a),NA,NA
ana161,NCT01131676,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,pioglitazone,NA,"could be on mono or combi therapy of insulin, any other agents except pio in Japan",NA,NA
ana201,NCT01406717,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,any single or combination apart from glp1a/dpp4,NA,NA
ana237,NCT01720446,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,2,NA,NA,NA
ana256,NCT01897532,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,"any standard regime, no DPP4i or GLP1ra allowed",NA,NA
ana277,NCT02061969,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,NA,NA,NA
ana327,NCT02692716,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,NA,NA,NA
ana60,NCT00614939,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,metformin|dpp4i,NA,NA,NA,NA
ana230,NCT01698775,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,or,insulin_any,NA,NA,NA,NA,NA,dpp4i|tzd,NA,either insulin alone or mono or dual oad,NA,NA
ana153,NCT01106651,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,rosiglitazone,NA,could be on either insulin or one or mulitple oads orglp1a  combination,NA,NA
ana168,NCT01164501,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,any single or combination apart from sglt2i,NA,NA
ana263,NCT01986855,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,metformin|tzd|sglt2i,NA,NA,NA,NA
ana264,NCT01986881,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,NA,NA,NA
ana265,NCT01989754,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,glinide|sglt2i,NA,NA,NA,NA
ana278,NCT02065791,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,NA,NA,NA
ana335,NCT02836873,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,NA,NA,NA
ana360,NCT03242018,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,NA,NA,NA
ana361,NCT03242252,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,NA,NA,NA
ana164,NCT01144338,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,NA,3|2 with insulin,NA,NA,NA
ana165,NCT01147250,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,dpp4i,NA,NA,NA,NA
ana308,NCT02465515,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana194,NCT01370005,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_any,glp1ra_any,NA,NA,NA,NA,sglt2i,NA,"allowed to be on any oad, insulin or glp1a or combo",NA,NA
anc0177,UMIN000009544,triple+,y,sitagliptin,and,glimepiride,NA,NA,NA,NA,NA,y,metformin,and_or,insulin_any,NA,NA,NA,NA,NA,NA,NA,"mand sitagliptin and glimepiride,  optional metformin and insulin",NA,NA
anc0203,UMIN000007051,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,metformin,and_or,insulin_basal,pioglitazone,NA,NA,NA,NA,NA,NA,"optional metformin, pioglitazone, insulin (rapid insulin discontinued)",NA,NA
ana173,NCT01179048,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_basal,NA,NA,NA,NA,NA,dpp4i,NA,NA,NA,NA
ana304,NCT02413398,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_basal,NA,NA,NA,NA,NA,sglt2i,NA,NA,NA,NA
ana200,NCT01394952,mono|dual|triple+,n,NA,NA,NA,NA,NA,NA,NA,NA,y,any_oad,and_or,insulin_basal,NA,NA,NA,NA,NA,dpp4i,2,NA,NA,NA
ana181,NCT01204294,dual,n,NA,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,multidrug arms,NA,NA
ana310,NCT02489968,dual,n,NA,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,multidrug arms,NA,NA
ana193,NCT01368081,dual,y,metformin,or,sulphonylurea_any,tzd_any,dpp4i_any,alpha_any,glinide_any,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
ana349,NCT03015220,dual,y,sulphonylurea_any,or,sglt2i_any,tzd_any,alpha_any,glinide_any,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana171,NCT01177384,dual,y,acarbose,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0104,UMIN000009525,dual,y,acarbose,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand acarbose,NA,NA
anc0174,JapicCTI-101352,dual,y,any_oad,NA,NA,NA,NA,NA,NA,1,n,NA,NA,NA,NA,NA,NA,NA,NA,sglt2i|glinide,1,"mand one of SU, metofmrin, tzd, alpha, dpp4i",NA,NA
anc0175,UMIN000023487,dual,y,any_oad,NA,NA,NA,NA,NA,NA,1,n,NA,NA,NA,NA,NA,NA,NA,NA,sglt2i,1,mand single agent oad excpet sglti2 (no insulin or glp1ra allowed),NA,NA
ana301,NCT02354222,dual,y,canagliflozin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana76,NCT00680745,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0013,NCT00099944,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0028,NCT00318422,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all else washed out,NA,NA
anc0030,NCT00325117,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0034,NCT00363519,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0068,NCT01357252,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0110,UMIN000004674,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand glimepiride monotherapy,NA,NA
anc0111,NCT01649466,dual,y,glimepiride,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand glimepriide monotherapy,NA,NA
ana17,NCT00286468,dual,y,glyburide,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana25,NCT00313313,dual,y,glyburide,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana212,NCT01572740,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana279,NCT02081599,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana288,NCT02220920,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana300,NCT02324569,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana318,NCT02589639,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana340,NCT02906709,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0012,NCT00099931,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0023,NCT00138606,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0053,NCT00854035,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anc0113,NCT02176681,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand insulin alone,NA,NA
anc0120,JapicCTI-132348,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand insulin monotherapy,NA,NA
anc0121,NCT01521962,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand insulin monotherapy,NA,NA
anc0122,UMIN000008155,dual,y,insulin_any,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand insulin monotherapy,NA,NA
anc0105,UMIN000010769,dual,y,insulin_basal,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mand basal insulin, all else discontinued",NA,NA
anc0179,UMIN000004678,dual,y,insulin_biphasic,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand twice daily insulin,NA,NA
anc0108,UMIN000010199,dual,y,insulin_csii,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand csii insulin,NA,NA
anc0115,ChiCTR-PPR-15007045,dual,y,insulin_csii,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand insulin csii,NA,NA
anc0116,ChiCTR-TRC-14005224,dual,y,insulin_csii,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mand insulin csii, otherwise naÃ¯ve",NA,NA
ana316,NCT02577016,dual,y,ipragliflozin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana306,NCT02453555,dual,y,linagliptin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana317,NCT02589626,dual,y,liraglutide,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana100,NCT00838903,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana105,NCT00855166,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana106,NCT00856284,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana110,NCT00875394,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana113,NCT00885378,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana114,NCT00915772,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500mg mand mf in each arm, some arms have more mf as per arm info",NA,NA
ana12,NCT00121667,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana122,NCT00968812,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana126,NCT00976937,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana132,NCT01006603,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana15,NCT00286442,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana150,NCT01095666,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana154,NCT01106677,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana169,NCT01167881,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana184,NCT01215097,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana185,NCT01217892,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana190,NCT01296412,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana207,NCT01512108,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana209,NCT01528254,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana221,NCT01624259,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana226,NCT01652729,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana228,NCT01682759,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana241,NCT01755156,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana242,NCT01766778,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana245,NCT01778049,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana250,NCT01822548,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana251,NCT01841697,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana253,NCT01882907,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana257,NCT01907854,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana262,NCT01973231,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana266,NCT01999218,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana268,NCT02007278,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana269,NCT02008682,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana27,NCT00318461,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana270,NCT02024477,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana272,NCT02033889,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana275,NCT02058147,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana294,NCT02243176,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana298,NCT02288273,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana30,NCT00337610,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana314,NCT02564926,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana322,NCT02630706,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana323,NCT02648204,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana325,NCT02682563,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana326,NCT02683746,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana329,NCT02730377,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana332,NCT02769481,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana333,NCT02791490,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana337,NCT02863328,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana344,NCT02924064,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ana346,NCT02926950,dual,y,metformin,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
