unique_id,comp_id,trial_id,comparison_label,arm_id,arm_label,treat_or_ref
83,updcompb0042,NCT04233801,empagliflozin_25_placebo,updac0036,empagliflozin,treatment
84,updcompb0042,NCT04233801,empagliflozin_25_placebo,updac0037,placebo,reference
85,updcompb0043,NCT04632862,enavogliflozin_placebo,updac0003,enavogliflozin,treatment
86,updcompb0043,NCT04632862,enavogliflozin_placebo,updac0004,placebo,reference
87,updcompb0044,NCT04634500,enavogliflozin_dapagliflozin,updac0064,dapagliflozin,reference
88,updcompb0044,NCT04634500,enavogliflozin_dapagliflozin,updac0065,enavogliflozin,treatment
89,updcompb0045,NCT04654390,enavogliflozin_dapagliflozin,updac0001,enavogliflozin,treatment
90,updcompb0045,NCT04654390,enavogliflozin_dapagliflozin,updac0002,dapagliflozin,reference
91,updcompb0046,ChiCTR2100054678,empagliflozin_placebo,updac0103,empagliflozin,treatment
92,updcompb0046,ChiCTR2100054678,empagliflozin_placebo,updac0104,placebo,reference
93,updcompb0047,"2017-001,454-33",exenatide_dapagliflozin_placebo,updac0125,exenatide_dapagliflozin,treatment
94,updcompb0047,"2017-001,454-33",exenatide_dapagliflozin_placebo,updac0126,placebo,reference
95,updcompb0048,NCT03496298,efpeglenatide_placebo,unq_updaa10067,efpeglenatide,treatment
96,updcompb0048,NCT03496298,efpeglenatide_placebo,unq_updaa10070,placebo,reference
97,updcompb0049,NCT03521934,sotagliflozin_placebo,unq_updaa10073,sotagliflozin,treatment
98,updcompb0049,NCT03521934,sotagliflozin_placebo,unq_updaa10072,placebo,reference
