result_id,trial_id,analysis_population,arm_id_unq,comp_id,outcome_harm_label,result_description,result_type,ancova,result,dispersion_type,dispersion,units_label,timepoint,timepoint_units,source,arm_id_subgroup
updresb00317,CTRI/2017/02/007766,NA,updac0110,NA,hba1c,endpoint,mean,n,6.42,sd,0.84,percentage,24,weeks,manual_extraction,NA
updresb00318,CTRI/2017/07/009121,mitt,updac0111,NA,hba1c,change from baseline,LS mean change,n,-0.68,se,0.087,percentage,24,weeks,manual_extraction,NA
updresb00319,CTRI/2017/07/009121,mitt,updac0112,NA,hba1c,change from baseline,LS mean change,n,-0.73,se,0.083,percentage,24,weeks,manual_extraction,NA
updresb00320,CTRI/2017/07/009121,mitt,updac0113,NA,hba1c,change from baseline,LS mean change,n,-0.62,se,0.109,percentage,24,weeks,manual_extraction,NA
updresb00324,CTRI/2017/07/009121,mitt,NA,updcompb0003,hba1c,between treament difference in mean change,LS mean difference,n,-0.07,95%ci,"-0.33,0.2",percentage,24,weeks,manual_extraction,NA
updresb00325,CTRI/2017/07/009121,mitt,NA,updcompb0004,hba1c,between treament difference in mean change,LS mean difference,n,-0.11,95%ci,"-0.37,0.15",percentage,24,weeks,manual_extraction,NA
updresb00681,EudraCT 2017-000240-17,NA,updac0236,NA,hba1c,change from baseline,mean change,n,-12.7,sd,10.4,mmol/mol,12,weeks,manual_extraction,NA
updresb00682,EudraCT 2017-000240-17,NA,updac0237,NA,hba1c,change from baseline,mean change,n,0.8,sd,17.3,mmol/mol,12,weeks,manual_extraction,NA
updresb00580,Hawler Medical University records of the clinical trials: No.276,NA,updac0229,NA,hba1c,baseline,mean,n,9.4,sd,1.1,percentage,0,weeks,manual_extraction,NA
updresb00581,Hawler Medical University records of the clinical trials: No.276,NA,updac0229,NA,hba1c,endpoint,mean,n,7.1,sd,0.9,percentage,12,weeks,manual_extraction,NA
updresb00582,Hawler Medical University records of the clinical trials: No.276,NA,updac0230,NA,hba1c,baseline,mean,n,9.2,sd,1.1,percentage,0,weeks,manual_extraction,NA
updresb00583,Hawler Medical University records of the clinical trials: No.276,NA,updac0230,NA,hba1c,endpoint,mean,n,7.8,sd,1.2,percentage,12,weeks,manual_extraction,NA
updresb00584,Hawler Medical University records of the clinical trials: No.276,NA,updac0231,NA,hba1c,baseline,mean,n,9.1,sd,1.3,percentage,0,weeks,manual_extraction,NA
updresb00585,Hawler Medical University records of the clinical trials: No.276,NA,updac0231,NA,hba1c,endpoint,mean,n,7.2,sd,1,percentage,12,weeks,manual_extraction,NA
updresb00342,IRCT20090905002417N23,NA,updac0127,NA,hba1c,baseline,mean,n,7.28,sd,1.63,percentage,0,months,manual_extraction,NA
updresb00343,IRCT20090905002417N23,NA,updac0127,NA,hba1c,endpoint,mean,n,7.13,sd,1.2,percentage,6,months,manual_extraction,NA
updresb00346,IRCT20090905002417N23,NA,updac0128,NA,hba1c,baseline,mean,n,7.35,sd,1.41,percentage,0,months,manual_extraction,NA
updresb00347,IRCT20090905002417N23,NA,updac0128,NA,hba1c,endpoint,mean,n,7.27,sd,1.92,percentage,6,months,manual_extraction,NA
updresb00354,IRCT20190122042450N3,itt,updac0129,NA,hba1c,baseline,mean,n,8.08,sd,0.92,percentage,0,weeks,manual_extraction,NA
updresb00355,IRCT20190122042450N3,itt,updac0129,NA,hba1c,endpoint,mean,n,7.66,sd,0.86,percentage,24,weeks,manual_extraction,NA
updresb00356,IRCT20190122042450N3,itt,updac0130,NA,hba1c,baseline,mean,n,8.23,sd,0.79,percentage,0,weeks,manual_extraction,NA
updresb00357,IRCT20190122042450N3,itt,updac0130,NA,hba1c,endpoint,mean,n,7.25,sd,0.94,percentage,24,weeks,manual_extraction,NA
updresb00358,IRCT20190122042450N3,itt,updac0131,NA,hba1c,baseline,mean,n,7.96,sd,0.62,percentage,0,weeks,manual_extraction,NA
updresb00359,IRCT20190122042450N3,itt,updac0131,NA,hba1c,endpoint,mean,n,7.95,sd,0.96,percentage,24,weeks,manual_extraction,NA
updresb00360,IRCT20190412043247N2,itt,updac0132,NA,hba1c,baseline,mean,n,8.05,sd,0.97,percentage,0,weeks,manual_extraction,NA
updresb00362,IRCT20190412043247N2,itt,updac0133,NA,hba1c,baseline,mean,n,7.75,sd,0.94,percentage,0,weeks,manual_extraction,NA
updresb00364,IRCT20190412043247N2,itt,updac0132,NA,hba1c,endpoint,mean,n,7.35,sd,1.04,percentage,26,weeks,manual_extraction,NA
updresb00366,IRCT20190412043247N2,itt,updac0133,NA,hba1c,endpoint,mean,n,7.82,sd,0.91,percentage,26,weeks,manual_extraction,NA
updresb00367,IRCT20190412043247N2,itt,NA,updcompb0005,hba1c,between treatment difference in adjusted mean change,adjusted mean difference,y,-0.65,95%ci,"-0.83,-0.48",percentage,26,weeks,manual_extraction,NA
updresb00368,IRCT20200722048176N1,NA,updac0135,NA,hba1c,endpoint,mean,n,7.66,sd,1.57,percentage,12,weeks,manual_extraction,NA
updresb00373,IRCT20201028049174N1,NA,updac0136,NA,hba1c,baseline,mean,y,7.89,not specified,0.39,percentage,0,months,manual_extraction,NA
updresb00374,IRCT20201028049174N1,NA,updac0136,NA,hba1c,endpoint,mean,y,7.37,not specified,0.61,percentage,3,months,manual_extraction,NA
updresb00375,IRCT20201028049174N1,NA,updac0137,NA,hba1c,baseline,mean,y,7.79,not specified,0.3,percentage,0,months,manual_extraction,NA
updresb00376,IRCT20201028049174N1,NA,updac0137,NA,hba1c,endpoint,mean,y,7.8,not specified,0.67,percentage,3,months,manual_extraction,NA
updresb00562,IRSCTN 2013L01573,NA,updac0224,NA,hba1c,baseline,mean,n,8.31,sd,0.74,percentage,0,weeks,manual_extraction,NA
updresb00563,IRSCTN 2013L01573,NA,updac0225,NA,hba1c,baseline,mean,n,8.48,sd,0.44,percentage,0,weeks,manual_extraction,NA
updresb00564,IRSCTN 2013L01573,NA,updac0226,NA,hba1c,baseline,mean,n,8.52,sd,0.6,percentage,0,weeks,manual_extraction,NA
updresb00565,IRSCTN 2013L01573,NA,updac0224,NA,hba1c,endpoint,mean,n,7.01,sd,0.7,percentage,24,weeks,manual_extraction,NA
updresb00566,IRSCTN 2013L01573,NA,updac0225,NA,hba1c,endpoint,mean,n,7.58,sd,0.53,percentage,24,weeks,manual_extraction,NA
updresb00567,IRSCTN 2013L01573,NA,updac0226,NA,hba1c,endpoint,mean,n,8.82,sd,0.68,percentage,24,weeks,manual_extraction,NA
updresb00377,JapicCTI-111507,NA,updac0138,NA,hba1c,change from baseline,mean change,y,-0.63,not reported,NA,percentage,52,weeks,manual_extraction,NA
updresb00382,JapicCTI-111507,NA,NA,updcompb0006,hba1c,between treament difference in mean change,mean difference,y,-0.88,not reported,NA,percentage,24,weeks,manual_extraction,NA
updresb00384,jRCTs031180159,NA,updac0141,NA,hba1c,change from baseline,mean change,n,-0.73,sd,0.75,percentage,24,weeks,manual_extraction,NA
updresb00387,jRCTs031180205,fas,updac0142,NA,hba1c,change from baseline,mean change,n,-0.51,sd,0.61,percentage,52,weeks,manual_extraction,NA
updresb00388,jRCTs031180205,fas,updac0143,NA,hba1c,change from baseline,mean change,n,-0.43,sd,0.76,percentage,52,weeks,manual_extraction,NA
updresb00546,KCT0005169,fas,updac0221,NA,hba1c,change from baseline,mean change,n,-0.8,sd,0.6,percentage,24,weeks,manual_extraction,NA
updresb00548,KCT0005169,fas,updac0220,NA,hba1c,change from baseline,mean change,n,-0.9,sd,0.6,percentage,24,weeks,manual_extraction,NA
updresb00550,KCT0005169,fas,NA,updcompb0013,hba1c,between treatment difference in mean change,mean difference,n,-0.17,95%ci,"-0.41,0.07",percentage,24,weeks,manual_extraction,NA
updresb00060,NCT02106104,NA,updab0003,NA,hba1c,change from baseline,mean change,n,-0.65,sem,0.1,percentage,8,weeks,manual_extraction,NA
updresb00061,NCT02106104,NA,updab0004,NA,hba1c,change from baseline,mean change,n,-0.45,sem,0.09,percentage,8,weeks,manual_extraction,NA
updresb00062,NCT02106104,NA,NA,updcompb0017,hba1c,between treament difference in mean change,mean difference,n,0.17,95%ci,"-0.03,0.36",percentage,8,weeks,manual_extraction,NA
updresb00606,NCT02145611,NA,updab0005,NA,hba1c,baseline,mean,n,7.9,sd,0.9,percentage,0,weeks,manual_extraction,NA
updresb00607,NCT02145611,NA,updab0005,NA,hba1c,endpoint,mean,n,7.5,sd,1.4,percentage,12,weeks,manual_extraction,NA
updresb00608,NCT02145611,NA,updab0006,NA,hba1c,baseline,mean,n,8.3,sd,1,percentage,0,weeks,manual_extraction,NA
updresb00609,NCT02145611,NA,updab0006,NA,hba1c,endpoint,mean,n,8,sd,1.34,percentage,12,weeks,manual_extraction,NA
updresb00064,NCT02194595,NA,updab0009,NA,hba1c,baseline adjusted mean,mean,y,6.6,se,0.09,percentage,20,weeks,manual_extraction,NA
updresb00066,NCT02194595,NA,updab0010,NA,hba1c,baseline adjusted mean,mean,y,6.7,se,0.1,percentage,20,weeks,manual_extraction,NA
updresb00068,NCT02194595,NA,updab0011,NA,hba1c,baseline adjusted mean,mean,y,6.6,se,0.1,percentage,20,weeks,manual_extraction,NA
updresb00005,NCT02235298,itt,unq_updaa10007,NA,hba1c,baseline,mean,n,6.9,sd,0.9,percentage,0,weeks,manual_extraction,NA
updresb00006,NCT02235298,itt,unq_updaa10007,NA,hba1c,endpoint,mean,n,6.4,sd,0.6,percentage,24,weeks,manual_extraction,NA
updresb00007,NCT02235298,itt,unq_updaa10008,NA,hba1c,baseline,mean,n,6.7,sd,0.8,percentage,0,weeks,manual_extraction,NA
updresb00008,NCT02235298,itt,unq_updaa10008,NA,hba1c,endpoint,mean,n,6.7,sd,0.9,percentage,24,weeks,manual_extraction,NA
updresb00013,NCT02433678,NA,unq_updaa10018,NA,hba1c,baseline,mean,n,6.9,se,0.1,percentage,0,weeks,manual_extraction,NA
updresb00014,NCT02433678,NA,unq_updaa10018,NA,hba1c,endpoint,mean,n,6.6,se,0.1,percentage,12,weeks,manual_extraction,NA
updresb00015,NCT02433678,NA,unq_updaa10019,NA,hba1c,baseline,mean,n,6.7,se,0.2,percentage,0,weeks,manual_extraction,NA
updresb00016,NCT02433678,NA,unq_updaa10019,NA,hba1c,endpoint,mean,n,6.8,se,0.2,percentage,12,weeks,manual_extraction,NA
updresb00018,NCT02433678,NA,NA,updcompb0018,hba1c,between treatment difference in adjusted mean change,mean change,n,-0.4,95%ci,"-0.7,-0.1",percentage,12,weeks,manual_extraction,NA
updresb00070,NCT02477865,NA,updab0012,NA,hba1c,change from baseline,LS mean change,y,-1.02,95%ci,"-1.21,-0.83",percentage,24,weeks,manual_extraction,NA
updresb00071,NCT02477865,NA,updab0013,NA,hba1c,change from baseline,LS mean change,y,-1.34,95%ci,"-1.54,-1.15",percentage,24,weeks,manual_extraction,NA
updresb00074,NCT02477969,fas,updab0015,NA,hba1c,change from baseline,LS mean change,y,-1.16,se,0.08,percentage,24,weeks,manual_extraction,NA
updresb00075,NCT02477969,fas,updab0016,NA,hba1c,change from baseline,LS mean change,y,-1.14,se,0.08,percentage,24,weeks,manual_extraction,NA
updresb00080,NCT02480465,fas,updab0018,NA,hba1c,change from baseline,mean,n,-0.85878,p value,<0.0001,percentage,24,weeks,manual_extraction,NA
updresb00081,NCT02480465,fas,updab0019,NA,hba1c,change from baseline,mean,n,-0.779,p value,<0.0001,percentage,24,weeks,manual_extraction,NA
updresb00082,NCT02501616,NA,updab0020,NA,hba1c,change from baseline,median change,n,-0.5,IQR,"-0.8,0",percentage,8,weeks,manual_extraction,NA
updresb00083,NCT02501616,NA,updab0021,NA,hba1c,change from baseline,median change,n,-0.5,IQR,"-0.8,-0.2",percentage,8,weeks,manual_extraction,NA
updresb00019,NCT02613897,NA,unq_updaa10026,NA,hba1c,baseline,mean,n,8.9,sem,0.2,percentage,0,weeks,manual_extraction,NA
updresb00020,NCT02613897,NA,unq_updaa10026,NA,hba1c,endpoint,mean,n,7.5,sem,0.2,percentage,16,weeks,manual_extraction,NA
updresb00021,NCT02613897,NA,unq_updaa10026,NA,hba1c,change from baseline,mean change,n,-1.4,sem,0.2,percentage,16,weeks,manual_extraction,NA
updresb00025,NCT02613897,NA,unq_updaa10027,NA,hba1c,baseline,mean,n,9,sem,0.2,percentage,0,weeks,manual_extraction,NA
updresb00026,NCT02613897,NA,unq_updaa10027,NA,hba1c,endpoint,mean,n,7,sem,0.2,percentage,16,weeks,manual_extraction,NA
updresb00027,NCT02613897,NA,unq_updaa10027,NA,hba1c,change from baseline,mean change,n,-2,sem,0.3,percentage,16,weeks,manual_extraction,NA
updresb00031,NCT02613897,NA,unq_updaa10028,NA,hba1c,baseline,mean,n,8.7,sem,0.3,percentage,0,weeks,manual_extraction,NA
updresb00032,NCT02613897,NA,unq_updaa10028,NA,hba1c,endpoint,mean,n,8.8,sem,0.4,percentage,16,weeks,manual_extraction,NA
updresb00035,NCT02613897,NA,unq_updaa10028,NA,hba1c,change from baseline,mean change,n,0.1,sem,0.3,percentage,16,weeks,manual_extraction,NA
updresb00088,NCT02649465,NA,updab0022,NA,hba1c,change from baseline,median change,n,-1,IQR,"-2,-0.2",percentage,48,weeks,manual_extraction,NA
updresb00089,NCT02649465,NA,updab0023,NA,hba1c,change from baseline,median change,n,-1,IQR,"-1.9,-0.1",percentage,48,weeks,manual_extraction,NA
updresb00090,NCT02655770,NA,updab0024,NA,hba1c,change from baseline,mean change,n,-0.65,sd,0.73,percentage,18,weeks,manual_extraction,NA
updresb00091,NCT02655770,NA,updab0025,NA,hba1c,change from baseline,mean change,n,-0.18,sd,0.51,percentage,18,weeks,manual_extraction,NA
updresb00092,NCT02655770,NA,NA,updcompb0019,hba1c,between treament difference in mean change,median difference,n,-0.47,IQR,"-0.88,0.06",percentage,18,weeks,manual_extraction,NA
updresb00096,NCT02690883,fas,updab0026,NA,hba1c,change from baseline,mean change,n,-1.78,se,0.24,percentage,24,weeks,manual_extraction,NA
updresb00097,NCT02690883,fas,updab0027,NA,hba1c,change from baseline,mean change,n,-1.56,se,0.23,percentage,24,weeks,manual_extraction,NA
updresb00098,NCT02690883,fas,NA,updcompb0020,hba1c,between treament difference in mean change,mean difference,n,0.21,95%ci,"-0.4,0.82",percentage,24,weeks,manual_extraction,NA
updresb00105,NCT02752113,NA,updab0030,NA,hba1c,change from baseline,mean change,y,-0.4,sd,0.7,percentage,12,weeks,manual_extraction,NA
updresb00106,NCT02752113,NA,updab0031,NA,hba1c,change from baseline,mean change,y,-0.8,sd,0.57,percentage,12,weeks,manual_extraction,NA
updresb00115,NCT02798744,NA,updab0032,NA,hba1c,change from baseline,beta coefficient,n,-0.03,95%ci,"-0.46,0.4",percentage,24,weeks,manual_extraction,NA
updresb00116,NCT02798744,NA,updab0033,NA,hba1c,change from baseline,beta coefficient,n,-0.33,95%ci,"-0.57,-0.08",percentage,24,weeks,manual_extraction,NA
updresb00117,NCT02798744,NA,updab0034,NA,hba1c,change from baseline,beta coefficient,n,-0.35,95%ci,"-0.5,-0.2",percentage,24,weeks,manual_extraction,NA
updresb00118,NCT02798744,NA,updab0035,NA,hba1c,change from baseline,beta coefficient,n,-0.02,95%ci,"-0.28,0.24",percentage,24,weeks,manual_extraction,NA
updresb00123,NCT02798744,NA,NA,updcompb0022,hba1c,between treament difference in mean change,beta coefficient,n,-0.38,95%ci,"-0.74,-0.02",percentage,24,weeks,manual_extraction,NA
updresb00125,NCT02851745,NA,updab0036,NA,hba1c,baseline,mean,y,6.4,sd,0.7,percentage,0,weeks,manual_extraction,NA
updresb00126,NCT02851745,NA,updab0036,NA,hba1c,endline,mean,y,6,sd,0.6,percentage,48,weeks,manual_extraction,NA
updresb00127,NCT02851745,NA,updab0037,NA,hba1c,baseline,mean,y,6.5,sd,0.8,percentage,0,weeks,manual_extraction,NA
updresb00128,NCT02851745,NA,updab0037,NA,hba1c,endpoint,mean,y,6.3,sd,0.9,percentage,48,weeks,manual_extraction,NA
updresb00620,NCT02875821,NA,updab0039,NA,hba1c,change from baseline,adjusted mean change,y,-0.1,sd,0.2,percentage,24,weeks,manual_extraction,NA
updresb00133,NCT02887677,itt,updab0040,NA,hba1c,baseline,mean,n,7.75,sd,0.57,percentage,0,weeks,manual_extraction,NA
updresb00134,NCT02887677,itt,updab0040,NA,hba1c,endpoint,mean,n,7.18,sd,0.64,percentage,12,weeks,manual_extraction,NA
updresb00135,NCT02887677,itt,updab0041,NA,hba1c,baseline,mean,n,7.75,sd,0.42,percentage,0,weeks,manual_extraction,NA
updresb00136,NCT02887677,itt,updab0041,NA,hba1c,endpoint,mean,n,7.66,sd,0.71,percentage,12,weeks,manual_extraction,NA
updresb00037,NCT02889510,NA,unq_updaa10036,NA,hba1c,change from baseline,mean change,n,-0.9,95%ci,"-1.1, -0.7",percentage,7,weeks,manual_extraction,NA
updresb00038,NCT02889510,NA,unq_updaa10037,NA,hba1c,change from baseline,mean change,n,0.2,95%ci,"0, -0.5",percentage,7,weeks,manual_extraction,NA
updresb00039,NCT02889510,NA,NA,updcompb0023,hba1c,between treatment mean difference,mean difference,n,-1.2,95%ci,"-1.5,-0.9",percentage,7,weeks,manual_extraction,NA
updresb00138,NCT02914691,NA,NA,updcompb0024,hba1c,between treatment difference in adjusted mean change,coefficient,n,-0.7,ci,"-0.9,-0.4",percentage,12,weeks,manual_extraction,NA
updresb00281,NCT02932436,itt,NA,updcompb0025,hba1c,between treatment difference in adjusted mean change,beta estimate,n,-0.43,95%ci,"-0.62,-0.23",percentage,12,weeks,manual_extraction,NA
updresb00040,NCT02973477,NA,NA,updcompb0026,hba1c,between treatment difference in adjusted mean change,coefficient,n,0.04,95%ci,0.01-0.08,percentage,12,weeks,manual_extraction,NA
updresb00610,NCT02998970,itt,updab0044,NA,hba1c,change from baseline,mean change,n,-0.4,sd,1,percentage,6,months,manual_extraction,NA
updresb00614,NCT02998970,itt,updab0045,NA,hba1c,change from baseline,mean change,n,-0.3,sd,0.9,percentage,6,months,manual_extraction,NA
updresb00615,NCT02998970,itt,NA,updcompb0027,hba1c,between treatment difference in adjusted mean change,adjusted mean difference,y,-0.2,95%ci,"-0.5,0.2",percentage,6,months,manual_extraction,NA
updresb00139,NCT02999841,NA,updab0046,NA,hba1c,change from baseline,adjusted mean change,y,-1.4,sd,0.7,percentage,6,months,manual_extraction,NA
updresb00140,NCT02999841,NA,updab0047,NA,hba1c,change from baseline,adjusted mean change,y,-1.32,sd,0.61,percentage,6,months,manual_extraction,NA
updresb00143,NCT03151343,NA,updab0048,NA,hba1c,change from baseline,mean change,y,-0.68,95%ci,"-0.86,-0.49",percentage,13,weeks,manual_extraction,NA
updresb00145,NCT03151343,NA,updab0049,NA,hba1c,change from baseline,mean change,y,0.08,95%ci,"-0.11,0.27",percentage,13,weeks,manual_extraction,NA
updresb00147,NCT03159052,fas,NA,updcompb0028,hba1c,between treament difference in mean change,LS mean difference,y,-0.94,95%ci,"-1.13,-0.75",percentage,24,weeks,manual_extraction,NA
updresb00148,NCT03159052,fas,NA,updcompb0029,hba1c,between treament difference in mean change,LS mean difference,y,-0.91,95%ci,"-1.11,-0.72",percentage,24,weeks,manual_extraction,NA
updresb00042,NCT03231709,fas,unq_updaa10047,NA,hba1c,baseline,mean,n,7.41,sd,0.84,percentage,0,weeks,manual_extraction,NA
updresb00043,NCT03231709,fas,unq_updaa10047,NA,hba1c,endpoint,mean,n,7.45,sd,0.814,percentage,8,weeks,manual_extraction,NA
updresb00044,NCT03231709,fas,unq_updaa10051,NA,hba1c,baseline,mean,n,7.34,sd,0.63,percentage,0,weeks,manual_extraction,NA
updresb00045,NCT03231709,fas,unq_updaa10051,NA,hba1c,endpoint,mean,n,7.47,sd,0.773,percentage,8,weeks,manual_extraction,NA
updresb00046,NCT03315143,itt,unq_updaa10052,NA,hba1c,change from baseline,LS mean change,n,-0.17,95%ci,"-0.21, -0.14",percentage,14,months,manual_extraction,NA
