unique_id,comp_id,trial_id,comparison_label,arm_id,arm_label,treat_or_ref
0047,updcompb0024,NCT02914691,dapagliflozin_placebo,updab0042,dapagliflozin,treatment
0048,updcompb0024,NCT02914691,dapagliflozin_placebo,updab0043,placebo,reference
0049,updcompb0025,NCT02932436,empagliflozin_placebo,updac0062,empagliflozin,treatment
0050,updcompb0025,NCT02932436,empagliflozin_placebo,updac0063,placebo,reference
0051,updcompb0026,NCT02973477,dapagliflozin_glimepiride,unq_updaa10042,dapagliflozin,treatment
0052,updcompb0026,NCT02973477,dapagliflozin_glimepiride,unq_updaa10043,glimepiride,reference
0053,updcompb0027,NCT02998970,empagliflozin_placebo,updab0044,empagliflozin,treatment
0054,updcompb0027,NCT02998970,empagliflozin_placebo,updab0045,placebo,reference
0055,updcompb0028,NCT03159052,henagliflozin_10_placebo,updab0050,henagliflozin,treatment
0056,updcompb0028,NCT03159052,henagliflozin_10_placebo,updab0052,placebo,reference
0057,updcompb0029,NCT03159052,henagliflozin_5_placebo,updab0051,henagliflozin,treatment
0058,updcompb0029,NCT03159052,henagliflozin_5_placebo,updab0052,placebo,reference
0059,updcompb0030,NCT03315143,sotagliflozin_placebo,unq_updaa10052,placebo,reference
0060,updcompb0030,NCT03315143,sotagliflozin_placebo,unq_updaa10053,sotagliflozin,treatment
0061,updcompb0031,NCT03338855,dapagliflozin_placebo,unq_updaa10055,dapagliflozin,treatment
0062,updcompb0031,NCT03338855,dapagliflozin_placebo,unq_updaa10057,placebo,reference
0063,updcompb0032,NCT03387683,dapagliflozin_placebo,unq_updaa10064,dapagliflozin,treatment
0064,updcompb0032,NCT03387683,dapagliflozin_placebo,unq_updaa10065,placebo,reference
0065,updcompb0033,NCT03436693,canagliflozin_placebo,updab0059,canagliflozin,treatment
0066,updcompb0033,NCT03436693,canagliflozin_placebo,updab0060,placebo,reference
0067,updcompb0034,NCT03449654,liraglutide_placebo,updab0061,liraglutide,treatment
0068,updcompb0034,NCT03449654,liraglutide_placebo,updab0062,placebo,reference
0069,updcompb0035,NCT03458715,empagliflozin_linagliptin,updab0063,linagliptin,reference
0070,updcompb0035,NCT03458715,empagliflozin_linagliptin,updab0064,empagliflozin,treatment
0071,updcompb0036,NCT03508323,teneligliptin_placebo,updab0065,teneligliptin,treatment
0072,updcompb0036,NCT03508323,teneligliptin_placebo,updab0066,placebo,reference
0073,updcompb0037,NCT03590626,dulaglutide_placebo,updab0067,dulaglutide,treatment
0074,updcompb0037,NCT03590626,dulaglutide_placebo,updab0068,placebo,reference
0075,updcompb0038,NCT03794336,alogliptin_acarbose,updab0069,acarbose,reference
0076,updcompb0038,NCT03794336,alogliptin_acarbose,updab0070,alogliptin,treatment
0077,updcompb0039,NCT03798054,lixisenatide_placebo,updab0071,insulin_glargine,reference
0078,updcompb0039,NCT03798054,lixisenatide_placebo,updab0073,lixisenatide_insulin_glargine,treatment
0079,updcompb0040,NCT03798080,lixisenatide_placebo,updab0074,insulin_glargine,reference
0080,updcompb0040,NCT03798080,lixisenatide_placebo,updab0075,lixisenatide_insulin_glargine,treatment
0081,updcompb0041,NCT04233801,empagliflozin_10_placebo,updac0035,empagliflozin,treatment
0082,updcompb0041,NCT04233801,empagliflozin_10_placebo,updac0037,placebo,reference
0083,updcompb0042,NCT04233801,empagliflozin_25_placebo,updac0036,empagliflozin,treatment
0084,updcompb0042,NCT04233801,empagliflozin_25_placebo,updac0037,placebo,reference
0085,updcompb0043,NCT04632862,enavogliflozin_placebo,updac0003,enavogliflozin,treatment
0086,updcompb0043,NCT04632862,enavogliflozin_placebo,updac0004,placebo,reference
0087,updcompb0044,NCT04634500,enavogliflozin_dapagliflozin,updac0064,dapagliflozin,reference
0088,updcompb0044,NCT04634500,enavogliflozin_dapagliflozin,updac0065,enavogliflozin,treatment
0089,updcompb0045,NCT04654390,enavogliflozin_dapagliflozin,updac0001,enavogliflozin,treatment
0090,updcompb0045,NCT04654390,enavogliflozin_dapagliflozin,updac0002,dapagliflozin,reference
