nct_id,arm_id_unq,arm_label,outcome,subgroup,level_cat,level_min,level_max,n,events,2_yr_km,4_yr_km,rate_per_1000_pt_yr,hr,hr_lci,hr_uci,p_interaction,
NCT01730534,uaa10896,dapagliflozin,MACE,sex,male,,,5411,,,10,,0.93,0.83,1.05,,
NCT01730534,uaa10897,placebo,MACE,sex,male,,,5327,,,10.7,,,,,,
NCT01730534,total,total,MACE,sex,male,,,,,,,,,,,,
NCT01730534,uaa10896,dapagliflozin,MACE,sex,female,,,3171,,,3.8,,0.93,0.77,1.12,0.99,
NCT01730534,uaa10897,placebo,MACE,sex,female,,,3251,,,4.5,,,,,,
NCT01730534,total,total,MACE,sex,female,,,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,main,,,,7356,839,,,37,0.91,0.83,1,,
NCT01144338,uaa10618,placebo,MACE,main,,,,7396,905,,,40,,,,,
NCT01144338,total,total,MACE,main,,,,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,age,,min,64,4382,413,,,,1.05,0.92,1.21,,
NCT01144338,uaa10618,placebo,MACE,age,,min,64,4421,393,,,,,,,,
NCT01144338,total,total,MACE,age,,min,64,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,age,,65,max,2964,426,,,,0.8,0.71,0.91,,
NCT01144338,uaa10618,placebo,MACE,age,,65,max,2975,512,,,,,,,,
NCT01144338,total,total,MACE,age,,65,max,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,age,,min,74,6747,719,,,,0.93,0.84,1.05,,
NCT01144338,uaa10618,placebo,MACE,age,,min,74,6755,760,,,,,,,,
NCT01144338,total,total,MACE,age,,min,74,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,age,,75,max,609,120,,,,0.82,0.64,1.05,,
NCT01144338,uaa10618,placebo,MACE,age,,75,max,641,145,,,,,,,,
NCT01144338,total,total,MACE,age,,75,max,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,sex,male,,,4562,599,,,,0.94,0.84,1.05,,
NCT01144338,uaa10618,placebo,MACE,sex,male,,,4587,634,,,,,,,,
NCT01144338,total,total,MACE,sex,male,,,,,,,,,,,,
NCT01144338,uaa10617,exenatide,MACE,sex,female,,,2794,240,,,,0.86,0.73,1.03,,
NCT01144338,uaa10618,placebo,MACE,sex,female,,,2809,271,,,,,,,,
NCT01144338,total,total,MACE,sex,female,,,,,,,,,,,,
NCT00790205,uaa10358,placebo,MACE,main,,,,7266,602,,,32.8,,,,,
NCT00790205,uaa10359,sitagliptin,MACE,main,,,,7257,609,,,32.4,0.99,0.89,1.11,,
NCT00790205,total,total,MACE,main,,,,,,,,,,,,,
NCT00968708,uaa10453,alogliptin,MACE,main,,,,2701,305,,,,0.96,,,,
NCT00968708,uaa10454,placebo,MACE,main,,,,2679,316,,,,,,,,
NCT00968708,uaa10455,total,MACE,main,,,,,,,,,,,,,
NCT00968708,uaa10453,alogliptin,MACE,age,,min,64,1728,157,,,,0.91,0.73,1.13,,
NCT00968708,uaa10454,placebo,MACE,age,,min,64,1745,173,,,,,,,,
NCT00968708,uaa10455,total,MACE,age,,min,64,,,,,,,,,,
NCT00968708,uaa10453,alogliptin,MACE,age,,65,max,973,147,,,,0.98,0.78,1.24,0.57,
NCT00968708,uaa10454,placebo,MACE,age,,65,max,934,143,,,,,,,,
NCT00968708,uaa10455,total,MACE,age,,65,max,,,,,,,,,,
NCT00968708,uaa10453,alogliptin,MACE,sex,male,,,1828,197,,,,1.02,0.84,1.24,,
NCT00968708,uaa10454,placebo,MACE,sex,male,,,1823,193,,,,,,,,
NCT00968708,uaa10455,total,MACE,sex,male,,,,,,,,,,,,
NCT00968708,uaa10453,alogliptin,MACE,sex,female,,,873,107,,,,0.87,0.67,1.12,0.338,
NCT00968708,uaa10454,placebo,MACE,sex,female,,,856,122,,,,,,,,
NCT00968708,uaa10455,total,MACE,sex,female,,,,,,,,,,,,
NCT01147250,uaa10620,lixisenatide,MACE,no_results,,,,,,,,,,,,,not MACE3
NCT01147250,uaa10621,placebo,MACE,no_results,,,,,,,,,,,,,not MACE4
NCT01147250,uaa10622,total,MACE,no_results,,,,,,,,,,,,,not MACE5
NCT01179048,uaa10649,liraglutide,MACE,main,,,,4668,608,,,,0.87,0.78,0.97,,
NCT01179048,uaa10650,placebo,MACE,main,,,,4672,694,,,,,,,,
NCT01179048,uaa10651,total,MACE,main,,,,,,,,,,,,,
NCT01179048,uaa10649,liraglutide,MACE,age,,min,59,1197,140,,,,0.78,0.62,0.97,,
NCT01179048,uaa10650,placebo,MACE,age,,min,59,1124,166,,,,,,,,
NCT01179048,uaa10651,total,MACE,age,,min,59,,,,,,,,,,
NCT01179048,uaa10649,liraglutide,MACE,age,,60,max,3471,468,,,,0.9,0.79,1.02,,
NCT01179048,uaa10650,placebo,MACE,age,,60,max,3548,528,,,,,,,,
NCT01179048,uaa10651,total,MACE,age,,60,max,,,,,,,,,,
NCT01179048,uaa10649,liraglutide,MACE,sex,male,,,3011,425,,,,0.86,0.75,0.98,,
NCT01179048,uaa10650,placebo,MACE,sex,male,,,2992,485,,,,,,,,
NCT01179048,uaa10651,total,MACE,sex,male,,,,,,,,,,,,
NCT01179048,uaa10649,liraglutide,MACE,sex,female,,,1657,183,,,,0.88,0.72,1.08,,
NCT01179048,uaa10650,placebo,MACE,sex,female,,,1680,209,,,,,,,,
NCT01179048,uaa10651,total,MACE,sex,female,,,,,,,,,,,,
NCT01243424,uaa10704,glimepiride,MACE,main,,,,3010,362,,,,,,,,
NCT01243424,uaa10705,linagliptin,MACE,main,,,,3023,356,,,,0.98,0.84,1.13,,
NCT01243424,uaa10706,total,MACE,main,,,,,,,,,,,,,
NCT01243424,uaa10704,glimepiride,MACE,age,,min,64,1502,126,,,,,,,,
NCT01243424,uaa10705,linagliptin,MACE,age,,min,64,1556,144,,,,1.11,0.41,0.88,,
NCT01243424,uaa10706,total,MACE,age,,min,64,,,,,,,,,,
NCT01243424,uaa10704,glimepiride,MACE,age,,65,max,1508,236,,,,,,,,
NCT01243424,uaa10705,linagliptin,MACE,age,,65,max,1467,212,,,,0.91,0.76,1.1,,
NCT01243424,uaa10706,total,MACE,age,,65,max,,,,,,,,,,
NCT01243424,uaa10704,glimepiride,MACE,sex,male,,,1781,263,,,,,,,,
NCT01243424,uaa10705,linagliptin,MACE,sex,male,,,1838,250,,,,0.92,0.77,1.09,,
NCT01243424,uaa10706,total,MACE,sex,male,,,,,,,,,,,,
NCT01243424,uaa10704,glimepiride,MACE,sex,female,,,1229,99,,,,,,,,
NCT01243424,uaa10705,linagliptin,MACE,sex,female,,,1185,106,,,,1.11,0.84,1.46,,
NCT01243424,uaa10706,total,MACE,sex,female,,,,,,,,,,,,
NCT01394952,uaa10758,dulaglutide,MACE,main,,,,4949,594,,,,0.88,0.79,0.99,,
NCT01394952,uaa10759,placebo,MACE,main,,,,4952,663,,,,,,,,
NCT01394952,uaa10760,total,MACE,main,,,,,,,,,,,,,
NCT01394952,uaa10758,dulaglutide,MACE,age,,min,66,2635,263,,,,0.86,0.74,1,,
NCT01394952,uaa10759,placebo,MACE,age,,min,66,2602,279,,,,,,,,
NCT01394952,uaa10760,total,MACE,age,,min,66,,,,,,,,,,
NCT01394952,uaa10758,dulaglutide,MACE,age,,67,max,2314,331,,,,0.92,0.78,1.09,,
NCT01394952,uaa10759,placebo,MACE,age,,67,max,2350,384,,,,,,,,
NCT01394952,uaa10760,total,MACE,age,,67,max,,,,,,,,,,
NCT01394952,uaa10758,dulaglutide,MACE,sex,male,,,2643,376,,,,0.9,0.79,1.04,,
NCT01394952,uaa10759,placebo,MACE,sex,male,,,2669,414,,,,,,,,
NCT01394952,uaa10760,total,MACE,sex,male,,,,,,,,,,,,
NCT01394952,uaa10758,dulaglutide,MACE,sex,female,,,2306,218,,,,0.85,0.71,1.02,,
NCT01394952,uaa10759,placebo,MACE,sex,female,,,2283,249,,,,,,,,
NCT01394952,uaa10760,total,MACE,sex,female,,,,,,,,,,,,
NCT01720446,uaa10892,semaglutide,,no_results,,,,,,,,,,,,,
NCT01720446,uaa10893,semaglutide,,no_results,,,,,,,,,,,,,
NCT01720446,uaa10894,semaglutide,,no_results,,,,,,,,,,,,,
NCT01720446,uaa10895,total,,no_results,,,,,,,,,,,,,
NCT01897532,uaa10962,linagliptin,,main,,,,3493,434,,,,1.02,0.89,1.17,,
NCT01897532,uaa10963,placebo,,main,,,,3485,420,,,,,,,,
NCT01897532,uaa10964,total,,main,,,,,,,,,,,,,
NCT01897532,uaa10962,linagliptin,,age,,min,64,1467,154,,,,1.11,0.89,1.4,,
NCT01897532,uaa10963,placebo,,age,,min,64,1501,140,,,,,,,,
NCT01897532,uaa10964,total,,age,,min,64,,,,,,,,,,
NCT01897532,uaa10962,linagliptin,,age,,65,max,2027,280,,,,0.97,0.82,1.15,,
NCT01897532,uaa10963,placebo,,age,,65,max,1984,280,,,,,,,,
NCT01897532,uaa10964,total,,age,,65,max,,,,,,,,,,
NCT01897532,uaa10962,linagliptin,,sex,male,,,2148,282,,,,1.06,0.9,1.25,,
NCT01897532,uaa10963,placebo,,sex,male,,,2242,276,,,,,,,,
NCT01897532,uaa10964,total,,sex,male,,,,,,,,,,,,
NCT01897532,uaa10962,linagliptin,,sex,female,,,1346,152,,,,0.96,0.77,1.21,,
NCT01897532,uaa10963,placebo,,sex,female,,,1243,144,,,,,,,,
NCT01897532,uaa10964,total,,sex,female,,,,,,,,,,,,
NCT01986881,uaa10990,ertugliflozin,,no_results,,,,,,,,,,,,,
NCT01986881,uaa10991,ertugliflozin,,no_results,,,,,,,,,,,,,
NCT01986881,uaa_new_pooled_01986881,ertugliflozin,,main,,,,5493,653,,,,0.97,0.85,1.11,,
NCT01986881,uaa10992,placebo,,main,,,,2745,327,,,,,,,,
NCT01986881,uaa10993,total,,no_results,,,,,,,,,,,,,
NCT01986881,uaa10990,ertugliflozin,,age,,min,64,,,,,,,,,,
NCT01986881,uaa10991,ertugliflozin,,age,,min,64,,,,,,,,,,
NCT01986881,uaa_new_pooled_01986881,ertugliflozin,,age,,min,64,2718,256,,,,0.9,0.73,1.1,,
NCT01986881,uaa10992,placebo,,age,,min,64,1375,139,,,,,,,,
NCT01986881,uaa10993,total,,age,,min,64,,,,,,,,,,
NCT01986881,uaa10990,ertugliflozin,,age,,65,max,,,,,,,,,,
NCT01986881,uaa10991,ertugliflozin,,age,,65,max,,,,,,,,,,
NCT01986881,uaa_new_pooled_01986881,ertugliflozin,,age,,65,max,2775,397,,,,1.03,0.86,1.22,,
NCT01986881,uaa10992,placebo,,age,,65,max,1370,188,,,,,,,,
NCT01986881,uaa10993,total,,age,,65,max,,,,,,,,,,
NCT01986881,uaa10990,ertugliflozin,,sex,male,,,,,,,,,,,,
NCT01986881,uaa10991,ertugliflozin,,sex,male,,,,,,,,,,,,
NCT01986881,uaa_new_pooled_01986881,ertugliflozin,,sex,male,,,3863,512,,,,0.99,0.85,1.15,,
NCT01986881,uaa10992,placebo,,sex,male,,,1901,248,,,,,,,,
NCT01986881,uaa10993,total,,sex,male,,,,,,,,,,,,
NCT01986881,uaa10990,ertugliflozin,,sex,female,,,,,,,,,,,,
NCT01986881,uaa10991,ertugliflozin,,sex,female,,,,,,,,,,,,
NCT01986881,uaa_new_pooled_01986881,ertugliflozin,,sex,female,,,1630,141,,,,0.9,0.68,1.18,,
NCT01986881,uaa10992,placebo,,sex,female,,,844,79,,,,,,,,
NCT01986881,uaa10993,total,,sex,female,,,,,,,,,,,,
NCT02465515,uaa11138,albiglutide,,main,,,,4731,338,,,,0.78,0.68,0.9,,
NCT02465515,uaa11139,placebo,,main,,,,4732,428,,,,,,,,
NCT02465515,uaa11140,total,,no_results,,,,,,,,,,,,,
NCT02465515,uaa11138,albiglutide,,age,,min,64,2385,134,,,,0.66,0.53,0.82,,
NCT02465515,uaa11139,placebo,,age,,min,64,2329,193,,,,,,,,
NCT02465515,uaa11140,total,,age,,min,64,,,,,,,,,,
NCT02465515,uaa11138,albiglutide,,age,,65,74,1771,154,,,,0.97,0.78,1.21,,
NCT02465515,uaa11139,placebo,,age,,65,74,1838,166,,,,,,,,
NCT02465515,uaa11140,total,,age,,65,74,,,,,,,,,,
NCT02465515,uaa11138,albiglutide,,age,,75,max,575,50,,,,0.69,0.48,1,,
NCT02465515,uaa11139,placebo,,age,,75,max,565,69,,,,,,,,
NCT02465515,uaa11140,total,,age,,75,max,,,,,,,,,,
NCT02465515,uaa11138,albiglutide,,sex,male,,,3304,259,,,,0.82,0.69,0.97,,
NCT02465515,uaa11139,placebo,,sex,male,,,3265,308,,,,,,,,
NCT02465515,uaa11140,total,,sex,male,,,,,,,,,,,,
NCT02465515,uaa11138,albiglutide,,sex,female,,,1427,79,,,,0.67,0.5,0.89,,
NCT02465515,uaa11139,placebo,,sex,female,,,1467,120,,,,,,,,
NCT02465515,uaa11140,total,,sex,female,,,,,,,,,,,,
NCT02692716,uaa11206,placebo,,main,,,,1592,76,,,,,,,,
NCT02692716,uaa11207,semaglutide,,main,,,,1591,61,,,,0.79,0.57,1.11,,
NCT02692716,uaa11208,total,,main,,,,,,,,,,,,,
NCT02692716,uaa11206,placebo,,age,,min,64,634,33,,,,,,,,
NCT02692716,uaa11207,semaglutide,,age,,min,64,700,19,,,,0.51,0.29,0.9,,
NCT02692716,uaa11208,total,,age,,min,64,,,,,,,,,,
NCT02692716,uaa11206,placebo,,age,,65,max,958,43,,,,,,,,
NCT02692716,uaa11207,semaglutide,,age,,65,max,891,42,,,,1.04,0.68,1.59,,
NCT02692716,uaa11208,total,,age,,65,max,,,,,,,,,,
NCT02692716,uaa11206,placebo,,sex,male,,,1092,64,,,,,,,,
NCT02692716,uaa11207,semaglutide,,sex,male,,,1084,47,,,,0.72,0.5,1.05,,
NCT02692716,uaa11208,total,,sex,male,,,,,,,,,,,,
NCT02692716,uaa11206,placebo,,sex,female,,,500,12,,,,,,,,
NCT02692716,uaa11207,semaglutide,,sex,female,,,507,14,,,,1.16,0.54,2.51,,
NCT02692716,uaa11208,total,,sex,female,,,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,no_results,,,,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,main,,,,2717,189,,,,0.73,0.58,0.92,,
NCT03496298,unq_updaa10067,efpeglenatide,,no_results,,,,,,,,,,,,,
NCT03496298,unq_updaa10070,placebo,,main,,,,1359,125,,,,,,,,
NCT03496298,unq_updaa10071,total,,no_results,,,,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,age,,min,64,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,age,,min,64,1281,86,,,,0.78,0.56,1.09,,
NCT03496298,unq_updaa10067,efpeglenatide,,age,,min,64,,,,,,,,,,
NCT03496298,unq_updaa10070,placebo,,age,,min,64,673,57,,,,,,,,
NCT03496298,unq_updaa10071,total,,age,,min,64,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,age,,65,max,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,age,,65,max,1436,103,,,,0.69,0.51,0.94,,
NCT03496298,unq_updaa10067,efpeglenatide,,age,,65,max,,,,,,,,,,
NCT03496298,unq_updaa10070,placebo,,age,,65,max,686,68,,,,,,,,
NCT03496298,unq_updaa10071,total,,age,,65,max,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,sex,male,,,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,sex,male,,,1792,142,,,,0.81,0.62,1.06,,
NCT03496298,unq_updaa10067,efpeglenatide,,sex,male,,,,,,,,,,,,
NCT03496298,unq_updaa10070,placebo,,sex,male,,,940,88,,,,,,,,
NCT03496298,unq_updaa10071,total,,sex,male,,,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,sex,female,,,,,,,,,,,,
NCT03496298,unq_updaa10067,efpeglenatide,,sex,female,,,925,47,,,,0.56,0.36,0.86,,
NCT03496298,unq_updaa10067,efpeglenatide,,sex,female,,,,,,,,,,,,
NCT03496298,unq_updaa10070,placebo,,sex,female,,,419,37,,,,,,,,
NCT03496298,unq_updaa10071,total,,sex,female,,,,,,,,,,,,
NCT01131676,uaa10605,empagliflozin,MACE,sex,female,,,1351,123,,,,0.83,0.62,1.11,0.81,
NCT01131676,uaa10607,placebo,MACE,sex,female,,,653,70,,,,1,,,,
NCT01131676,uaa10605,empagliflozin,MACE,sex,male,,,3336,367,,,,0.87,0.73,1.02,,
NCT01131676,uaa10607,placebo,MACE,sex,male,,,1680,212,,,,1,,,,
NCT01131676,uaa10605,empagliflozin,MACE,age,,min,64,2596,251,,,,1.04,0.84,1.29,0.01,
NCT01131676,uaa10607,placebo,MACE,age,,min,64,1297,121,,,,1,,,,
NCT01131676,uaa10605,empagliflozin,MACE,age,,65,max,2091,239,,,,0.71,0.59,0.87,,
NCT01131676,uaa10607,placebo,MACE,age,,65,max,1036,161,,,,1,,,,
