trial_id,arm_id_unq,arm_id_subgroup,arm_id,ctgov_group_code,arm_label,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,result_group_id,design_group_id,note,n_rand,subgroup_name,subgroup_name2,source
2017-003370-13,updac0118,NA,updac0118,NA,insulin_biphasic,biasp30,as per bm,units,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACTRN12616001059459,updac0093,NA,updac0093,NA,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
ACTRN12616001059459,updac0094,NA,updac0094,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1800015296,updac0095,NA,updac0095,NA,liraglutide,liraglutide,0.6,mg,weekly,NA,NA,NA,NA,NA,NA,allowed uptitration as needed,NA,NA,NA,NA
ChiCTR1800015296,updac0096,NA,updac0096,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR-1800015658,updac0078,NA,updac0078,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
ChiCTR-1800015658,updac0079,NA,updac0079,NA,insulin_biphasic,insulin_biphasic,as per bm,units,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1800015822,updac0097,NA,updac0097,NA,dapagliflozin,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1800015822,updac0098,NA,updac0098,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1800019864,updac0099,NA,updac0099,NA,liraglutide,liraglutide,1.2,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1800019864,updac0100,NA,updac0100,NA,dapagliflozin,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1900021861,updac0101,NA,updac0101,NA,sitagliptin,sitagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR1900021861,updac0102,NA,updac0102,NA,pioglitazone,pioglitazone,15,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR2000035091,updac0080,NA,updac0080,NA,liraglutide,liraglutide,1.8,mg,od,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
ChiCTR2000035091,updac0081,NA,updac0081,NA,insulin_glargine,insulin_glargine,as per bm,units,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR2000035091,updac0082,NA,updac0082,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR2000037951,updac0083,NA,updac0083,NA,canagliflozin,canagliflozin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR2000037951,updac0084,NA,updac0084,NA,glimepiride,glimepiride,1,mg,od,NA,NA,NA,NA,NA,NA,allowed uptitration as needed,NA,NA,NA,NA
ChiCTR2100054678,updac0103,NA,updac0103,NA,empagliflozin,empagliflozin,25,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR2100054678,updac0104,NA,updac0104,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR-IPR-14005568,updac0105,NA,updac0105,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
ChiCTR-IPR-14005568,updac0106,NA,updac0106,NA,insulin_biphasic,humalog_mix25,as per bm,units,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR-IPR-15006558,ac0007,NA,ac0007,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,branded,120,NA,NA,NA
ChiCTR-IPR-15006558,ac0008,NA,ac0008,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,generic,120,NA,NA,NA
ChiCTR-IPR-16008578,ac0009,NA,ac0009,NA,liraglutide,liraglutide,1.2,mg,od,NA,NA,NA,NA,NA,NA,section 1 up to 24 weeks only,30,NA,NA,NA
ChiCTR-IPR-16008578,ac0010,NA,ac0010,NA,metformin,metformin,750,mg,bd,NA,NA,NA,NA,NA,NA,section 1 up to 24 weeks only,30,NA,NA,NA
ChiCTR-IPR-17010825,updac0085,NA,updac0085,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR-IPR-17010825,updac0086,NA,updac0086,NA,insulin_glargine,insulin_glargine,as per bm,units,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChiCTR-IPR-17011120,ac0011,NA,ac0011,NA,metformin,metformin,1000,mg,bd,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
ChiCTR-IPR-17011120,ac0012,NA,ac0012,NA,saxagliptin,saxagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
ChiCTR-IPR-17011120,ac0013,NA,ac0013,NA,saxagliptin_metformin,saxagliptin,5,mg,od,metformin,1000,mg,bd,NA,NA,NA,21,NA,NA,NA
ChiCTR-OPC-16008152,ac0014,NA,ac0014,NA,acarbose,acarbose,50,mg,tid,NA,NA,NA,NA,NA,NA,can uptitrate to 100mg if required,18,NA,NA,NA
ChiCTR-OPC-16008152,ac0015,NA,ac0015,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised uptitration,18,NA,NA,NA
ChiCTR-PPR-15007045,ac0016,NA,ac0016,NA,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 weeks only,38,NA,NA,NA
ChiCTR-PPR-15007045,ac0017,NA,ac0017,NA,saxagliptin,saxagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,4 weeks only,31,NA,NA,NA
ChiCTR-TRC-12002676,ac0018,NA,ac0018,NA,insulin_biphasic,insulin_biphasic,as per bm,units,bd,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA
ChiCTR-TRC-12002676,ac0019,NA,ac0019,NA,sitagliptin_insulin_glargine,sitagliptin,100,mg,od,insulin_glargine,as per bm,units,od,NA,NA,NA,33,NA,NA,NA
ChiCTR-TRC-13003858,ac0020,NA,ac0020,NA,saxagliptin,saxagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA
ChiCTR-TRC-13003858,ac0021,NA,ac0021,NA,vildagliptin,vildagliptin,50,mg,bd,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA
ChiCTR-TRC-14005224,ac0022,NA,ac0022,NA,control,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
ChiCTR-TRC-14005224,ac0023,NA,ac0023,NA,sitagliptin,sitagliptin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
CTR20131268,updac0107,NA,updac0107,NA,dapagliflozin,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTR20131268,updac0108,NA,updac0108,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTRI/2017/02/007766,updac0109,NA,updac0109,NA,vildagliptin,vildagliptin,50,mg,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTRI/2017/02/007766,updac0110,NA,updac0110,NA,teneligliptin,teneligliptin,20,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTRI/2017/06/008891,ac0024,NA,ac0024,NA,evogliptin,evogliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA
CTRI/2017/06/008891,ac0025,NA,ac0025,NA,sitagliptin,sitagliptin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA
CTRI/2017/07/009121,updac0111,NA,updac0111,NA,remogliflozin,remogliflozin,100,mg,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTRI/2017/07/009121,updac0112,NA,updac0112,NA,remogliflozin,remogliflozin,250,mg,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTRI/2017/07/009121,updac0113,NA,updac0113,NA,dapagliflozin,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EudraCT 2017-000240-17,updac0236,NA,updac0236,NA,empagliflozin,empagliflozin,25,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EudraCT 2017-000240-17,updac0237,NA,updac0237,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawler Medical University records of the clinical trials: No.276,updac0229,NA,updac0229,NA,canagliflozin,canagliflozin,300,mg,od,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
Hawler Medical University records of the clinical trials: No.276,updac0230,NA,updac0230,NA,sitagliptin,sitagliptin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawler Medical University records of the clinical trials: No.276,updac0231,NA,updac0231,NA,glimepiride,glimepiride,4,mg,od,NA,NA,NA,NA,NA,NA,standardised uptitration to this dose,NA,NA,NA,NA
IRCT20090905002417N23,updac0127,NA,updac0127,NA,linagliptin,linagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20090905002417N23,updac0128,NA,updac0128,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT201306100,updac0242,NA,updac0242,NA,sitagliptin,sitagliptin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT201306100,updac0243,NA,updac0243,NA,pioglitazone,pioglitazone,30,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20190122042450N3,updac0129,NA,updac0129,NA,empagliflozin,empagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20190122042450N3,updac0130,NA,updac0130,NA,pioglitazone,pioglitazone,30,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20190122042450N3,updac0131,NA,updac0131,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20190412043247N2,updac0132,NA,updac0132,NA,empagliflozin,empagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20190412043247N2,updac0133,NA,updac0133,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20200722048176N1,updac0134,NA,updac0134,NA,empagliflozin,empagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20200722048176N1,updac0135,NA,updac0135,NA,linagliptin,linagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20201028049174N1,updac0136,NA,updac0136,NA,sitagliptin,sitagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRCT20201028049174N1,updac0137,NA,updac0137,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRSCTN 2013L01573,updac0224,NA,updac0224,NA,dapagliflozin,dapagliflozin,10,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRSCTN 2013L01573,updac0225,NA,updac0225,NA,saxagliptin,saxagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRSCTN 2013L01573,updac0226,NA,updac0226,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JapicCTI-101351,ac0026,NA,ac0026,NA,tofogliflozin,tofogliflozin,20,mg,od,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA
JapicCTI-101351,ac0027,NA,ac0027,NA,tofogliflozin,tofogliflozin,40,mg,od,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA
JapicCTI-101352,ac0028,NA,ac0028,NA,tofogliflozin,tofogliflozin,20,mg,od,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA
JapicCTI-101352,ac0029,NA,ac0029,NA,tofogliflozin,tofogliflozin,40,mg,od,NA,NA,NA,NA,NA,NA,NA,413,NA,NA,NA
JapicCTI-111507,updac0138,NA,updac0138,NA,luseogliflozin,luseogliflozin,2.5,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JapicCTI-111507,updac0139,NA,updac0139,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JapicCTI-111543,ac0030,NA,ac0030,NA,luseogliflozin,luseogliflozin,2.5,mg,od,NA,NA,NA,NA,NA,NA,study 1 only; can uptitrate to 5mg as needed,95,NA,NA,NA
JapicCTI-111543,ac0031,NA,ac0031,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,study 1 only,50,NA,NA,NA
JapicCTI-111661,ac0032,NA,ac0032,NA,luseogliflozin,luseogliflozin,2.5,mg,od,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA
JapicCTI-111661,ac0033,NA,ac0033,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA
JapicCTI-132348,ac0034,NA,ac0034,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
JapicCTI-132348,ac0035,NA,ac0035,NA,saxagliptin,saxagliptin,5,mg,od,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA
jRCTs031180159,updac0140,NA,updac0140,NA,tofogliflozin,tofogliflozin,20,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jRCTs031180159,updac0141,NA,updac0141,NA,pioglitazone,pioglitazone,15,mg,od,NA,NA,NA,NA,NA,NA,allowed uptitration to 30mg,NA,NA,NA,NA
jRCTs031180205,updac0142,NA,updac0142,NA,ipragliflozin,ipragliflozin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jRCTs031180205,updac0143,NA,updac0143,NA,sitagliptin,sitagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jRCTs071190054,updac0144,NA,updac0144,NA,ipragliflozin,ipragliflozin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jRCTs071190054,updac0145,NA,updac0145,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCT0005169,updac0220,NA,updac0220,NA,teneligliptin,teneligliptin,20,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCT0005169,updac0221,NA,updac0221,NA,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00035984,ab0003,ab0003a,ab0003,NA,placebo,placebo,0.02,ml,bd,NA,NA,NA,NA,NA,NA,NA,NA,0.02ml volume placebo,NA,NA
NCT00035984,ab0003,ab0003b,ab0003,NA,placebo,placebo,0.04,ml,bd,NA,NA,NA,NA,NA,NA,NA,NA,0.04ml volume placebo,NA,NA
NCT00035984,ab0001,NA,ab0001,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised escalation,NA,NA,NA,NA
NCT00035984,ab0002,NA,ab0002,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00039013,ab0007,ab0007a,ab0007,NA,placebo,placebo,NA,ml,bd,NA,NA,NA,NA,NA,NA,NA,NA,low dose,NA,NA
NCT00039013,ab0007,ab0007b,ab0007,NA,placebo,placebo,NA,ml,bd,NA,NA,NA,NA,NA,NA,NA,NA,high dose,NA,NA
NCT00039013,ab0005,NA,ab0005,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised escalation,NA,NA,NA,NA
NCT00039013,ab0006,NA,ab0006,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00039026,ab0011,ab0011a,ab0011,NA,placebo,placebo,NA,ml,bd,NA,NA,NA,NA,NA,NA,NA,NA,low dose,NA,NA
NCT00039026,ab0011,ab0011b,ab0011,NA,placebo,placebo,NA,ml,bd,NA,NA,NA,NA,NA,NA,NA,NA,high dose,NA,NA
NCT00039026,ab0009,NA,ab0009,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised escalation,NA,NA,NA,NA
NCT00039026,ab0010,NA,ab0010,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00082381,uaa10001,NA,aa0005,BG000|EG000|FG000|OG000,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,9599344|9599347|9599349|9599351,NA,NA,NA,NA,NA,NA
NCT00082381,uaa10002,NA,aa0006,BG001|EG001|FG001|OG001,insulin_glargine,insulin glargine,as per bm,units,od,NA,NA,NA,NA,9599345|9599348|9599350|9599352,NA,NA,NA,NA,NA,NA
NCT00082381,uaa10003,NA,aa0007,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9599346,NA,NA,NA,NA,NA,NA
NCT00082407,uaa10004,NA,aa0008,BG000|EG000|FG000|OG000,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,9599353|9599356|9599358|9599360,NA,standardised escalation to this dose,NA,NA,NA,NA
NCT00082407,uaa10005,NA,aa0009,BG001|EG001|FG001|OG001,insulin_aspart,insulin aspart,as per bm,units,bd,NA,NA,NA,NA,9599354|9599357|9599359|9599361,NA,NA,NA,NA,NA,NA
NCT00082407,uaa10006,NA,aa0010,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9599355,NA,NA,NA,NA,NA,NA
NCT00086502,uaa10007,NA,aa0011,BG001|EG001|FG001|OG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9599870|9599873|9599875|9599877,NA,NA,NA,NA,NA,NA
NCT00086502,uaa10008,NA,aa0012,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9599869|9599872|9599874|9599876,NA,NA,NA,NA,NA,NA
NCT00086502,uaa10009,NA,aa0013,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9599871,NA,NA,NA,NA,NA,NA
NCT00086515,uaa10010,NA,aa0014,BG001|EG001|FG001|OG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9599879|9599882|9599884|9599886,NA,NA,NA,NA,NA,NA
NCT00086515,uaa10011,NA,aa0015,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9599878|9599881|9599883|9599885,NA,NA,NA,NA,NA,NA
NCT00086515,uaa10012,NA,aa0016,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9599880,NA,NA,NA,NA,NA,NA
NCT00087516,uaa10013,NA,aa0017|aa0018|aa0019|aa0020,BG002|OG002|OG002|EG002|FG002|OG002|EG003|FG003|OG003,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9599984|9599992|9599995|9599988|9599997|9600000|9599989|9599996|9600001,NA,phase a up to 24 weeks only|phase a up to 24 weeks only|phase a up to 24 weeks only|phase a up to 24 weeks only,NA,NA,NA,NA
NCT00087516,uaa10014,NA,aa0021|aa0022,BG000|OG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9599982|9599990|9599986|9599993|9599998,NA,phase a up to 24 weeks only|phase a up to 24 weeks only,NA,NA,NA,NA
NCT00087516,uaa10015,NA,aa0023|aa0024,BG001|OG001|EG001|FG001|OG001,sitagliptin,sitagliptin,200,milligram,od,NA,NA,NA,NA,9599983|9599991|9599987|9599994|9599999,NA,phase a up to 24 weeks only|phase a up to 24 weeks only,NA,NA,NA,NA
NCT00087516,uaa10016,NA,aa0025,BG003,total,NA,NA,NA,NA,NA,NA,NA,NA,9599985,NA,phase a up to 24 weeks only,NA,NA,NA,NA
NCT00094757,uaa10017,NA,aa0026,BG002|EG002|FG002|OG002,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9601155|9601159|9601162|9601165,NA,NA,NA,NA,NA,NA
NCT00094757,uaa10018,NA,aa0027,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9601153|9601157|9601160|9601163,NA,NA,NA,NA,NA,NA
NCT00094757,uaa10019,NA,aa0028,BG001|EG001|FG001|OG001,sitagliptin,sitagliptin,200,milligram,od,NA,NA,NA,NA,9601154|9601158|9601161|9601164,NA,NA,NA,NA,NA,NA
NCT00094757,uaa10020,NA,aa0029,BG003,total,NA,NA,NA,NA,NA,NA,NA,NA,9601156,NA,NA,NA,NA,NA,NA
NCT00094770,uaa10021,NA,aa0030,BG001|EG001|FG001|OG001,glipizide,glipizide,5,milligram,od,NA,NA,NA,NA,9601167|9601170|9601172|9601174,NA,glipizide can be uptitrated to 20mg,NA,NA,NA,NA
NCT00094770,uaa10022,NA,aa0031,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9601166|9601169|9601171|9601173,NA,NA,NA,NA,NA,NA
NCT00094770,uaa10023,NA,aa0032,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9601168,NA,NA,NA,NA,NA,NA
NCT00097500,uaa10024,NA,aa0033,BG000|EG000|FG000|OG000,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,9601676|9601679|9601681|9601683,NA,standardised escalation to this dose,NA,NA,NA,NA
NCT00097500,uaa10025,NA,aa0034,BG001|EG001|FG001|OG001,insulin_glargine,insulin glargine,as per bm,units,od,NA,NA,NA,NA,9601677|9601680|9601682|9601684,NA,NA,NA,NA,NA,NA
NCT00097500,uaa10026,NA,aa0035,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9601678,NA,NA,NA,NA,NA,NA
NCT00099320,ab0013,NA,ab0013,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,standardised escalation,NA,NA,NA,NA
NCT00099320,ab0014,NA,ab0014,NA,placebo,placebo,NA,NA,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00099619,ab0015,NA,ab0015,NA,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,NA,NA,1st arm in crossover,NA,NA,NA,NA
NCT00099619,ab0016,NA,ab0016,NA,insulin_glargine,insulin_glargine,as per bm,units,od,NA,NA,NA,NA,NA,NA,1st arm in crossover,NA,NA,NA,NA
NCT00099853,ab0017,NA,ab0017,NA,placebo,placebo,NA,NA,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00099853,ab0018,NA,ab0018,NA,vildagliptin,vildagliptin,50,mg,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
