result_id,trial_id,trial_name,data_source,analysis_population,arm_id_unq,comparison_id,arm_description,comparison_label,outcome,outcome_definition,result_description,result_type,result,dispersion_type,dispersion,median_follow_up,max_follow_up,timepoint_unit,notes
mace00200,NCT01144338,EXSCEL,results paper,itt,uaa10618,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1,NA,NA,3.2,7.5,years,NA
mace00202,NCT01144338,EXSCEL,results paper,itt,uaa10617,NA,exenatide,NA,Fatal or nonfatal MI,NA,events per 100 patient-years,rate,2.1,NA,NA,3.2,7.5,years,NA
mace00203,NCT01144338,EXSCEL,results paper,itt,uaa10618,NA,placebo,NA,Fatal or nonfatal MI,NA,events per 100 patient-years,rate,2.1,NA,NA,3.2,7.5,years,NA
mace00205,NCT01144338,EXSCEL,results paper,itt,uaa10617,NA,exenatide,NA,Fatal or nonfatal stroke,NA,events per 100 patient-years,rate,0.8,NA,NA,3.2,7.5,years,NA
mace00206,NCT01144338,EXSCEL,results paper,itt,uaa10618,NA,placebo,NA,Fatal or nonfatal stroke,NA,events per 100 patient-years,rate,0.9,NA,NA,3.2,7.5,years,NA
mace00183,NCT01147250,ELIXA,results paper,itt,NA,compb0152,NA,lixisenatide_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,1.03,95%ci,0.87;1.22,25,47,months,NA
mace00186,NCT01147250,ELIXA,results paper,itt,NA,compb0152,NA,lixisenatide_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,1.12,95%ci,0.79;1.58,25,47,months,NA
mace00189,NCT01147250,ELIXA,results paper,itt,NA,compb0152,NA,lixisenatide_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,0.96,95%ci,0.75;1.23,25,47,months,NA
mace00184,NCT01147250,ELIXA,results paper,itt,uaa10620,NA,lixisenatide,NA,Nonfatal MI,NA,events per 100 patient-years,rate,4.2,NA,NA,25,47,months,NA
mace00185,NCT01147250,ELIXA,results paper,itt,uaa10621,NA,placebo,NA,Nonfatal MI,NA,events per 100 patient-years,rate,4.1,NA,NA,25,47,months,NA
mace00187,NCT01147250,ELIXA,results paper,itt,uaa10620,NA,lixisenatide,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,1,NA,NA,25,47,months,NA
mace00188,NCT01147250,ELIXA,results paper,itt,uaa10621,NA,placebo,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,0.9,NA,NA,25,47,months,NA
mace00190,NCT01147250,ELIXA,results paper,itt,uaa10620,NA,lixisenatide,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1.8,NA,NA,25,47,months,NA
mace00191,NCT01147250,ELIXA,results paper,itt,uaa10621,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1.9,NA,NA,25,47,months,NA
mace00180,NCT01147250,ELIXA,results paper,itt,NA,compb0152,NA,lixisenatide_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",between arm comparison,hazard ratio,1.02,95%ci,0.89;1.17,25,47,months,NA
mace00181,NCT01147250,ELIXA,results paper,itt,uaa10620,NA,lixisenatide,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",events per 100 patient-years,rate,6.4,NA,NA,25,47,months,NA
mace00182,NCT01147250,ELIXA,results paper,itt,uaa10621,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",events per 100 patient-years,rate,6.3,NA,NA,25,47,months,NA
mace00165,NCT01179048,LEADER,results paper,fas,NA,compb0153,NA,liraglutide_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.87,95%ci,0.78;0.97,3.8,5,years,NA
mace00168,NCT01179048,LEADER,results paper,fas,NA,compb0153,NA,liraglutide_placebo,CV mortality,NA,between arm comparison,hazard ratio,0.78,95%ci,0.66;0.93,3.8,5,years,NA
mace00171,NCT01179048,LEADER,results paper,fas,NA,compb0153,NA,liraglutide_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,0.88,95%ci,0.75;1.03,3.8,5,years,NA
mace00174,NCT01179048,LEADER,results paper,fas,NA,compb0153,NA,liraglutide_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,0.89,95%ci,0.72;1.11,3.8,5,years,NA
mace00177,NCT01179048,LEADER,results paper,fas,NA,compb0153,NA,liraglutide_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,0.87,95%ci,0.73;0.97,3.8,5,years,NA
mace00166,NCT01179048,LEADER,results paper,fas,uaa10649,NA,liraglutide,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,3.4,NA,NA,3.8,5,years,NA
mace00167,NCT01179048,LEADER,results paper,fas,uaa10650,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,3.9,NA,NA,3.8,5,years,NA
mace00169,NCT01179048,LEADER,results paper,fas,uaa10649,NA,liraglutide,NA,CV mortality,NA,events per 100 patient-years,rate,1.2,NA,NA,3.8,5,years,NA
mace00170,NCT01179048,LEADER,results paper,fas,uaa10650,NA,placebo,NA,CV mortality,NA,events per 100 patient-years,rate,1.6,NA,NA,3.8,5,years,NA
mace00172,NCT01179048,LEADER,results paper,fas,uaa10649,NA,liraglutide,NA,Nonfatal MI,NA,events per 100 patient-years,rate,1.6,NA,NA,3.8,5,years,NA
mace00173,NCT01179048,LEADER,results paper,fas,uaa10650,NA,placebo,NA,Nonfatal MI,NA,events per 100 patient-years,rate,1.8,NA,NA,3.8,5,years,NA
mace00175,NCT01179048,LEADER,results paper,fas,uaa10649,NA,liraglutide,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,0.9,NA,NA,3.8,5,years,NA
mace00176,NCT01179048,LEADER,results paper,fas,uaa10650,NA,placebo,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,1,NA,NA,3.8,5,years,NA
mace00178,NCT01179048,LEADER,results paper,fas,uaa10649,NA,liraglutide,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1.2,NA,NA,3.8,5,years,NA
mace00179,NCT01179048,LEADER,results paper,fas,uaa10650,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1.4,NA,NA,3.8,5,years,NA
mace00150,NCT01243424,CAROLINA,results paper,treated set,NA,compb0154,NA,linagliptin_glimepiride,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.98,95%ci,0.84;1.14,6.3,8.3,years,NA
mace00153,NCT01243424,CAROLINA,results paper,treated set,NA,compb0154,NA,linagliptin_glimepiride,CV mortality,NA,between arm comparison,hazard ratio,1,95%ci,0.81;1.24,6.3,8.3,years,NA
mace00156,NCT01243424,CAROLINA,results paper,treated set,NA,compb0154,NA,linagliptin_glimepiride,Nonfatal MI,NA,between arm comparison,hazard ratio,1.01,95%ci,0.8;1.28,6.3,8.3,years,NA
mace00159,NCT01243424,CAROLINA,results paper,treated set,NA,compb0154,NA,linagliptin_glimepiride,Nonfatal stroke,NA,between arm comparison,hazard ratio,0.87,95%ci,0.66;1.15,6.3,8.3,years,NA
mace00162,NCT01243424,CAROLINA,results paper,treated set,NA,compb0154,NA,linagliptin_glimepiride,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,1.21,95%ci,0.92;1.59,6.3,8.3,years,NA
mace00151,NCT01243424,CAROLINA,results paper,treated set,uaa10705,NA,linagliptin,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,2.1,NA,NA,6.3,8.3,years,NA
mace00152,NCT01243424,CAROLINA,results paper,treated set,uaa10704,NA,glimepiride,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,2.1,NA,NA,6.3,8.3,years,NA
mace00154,NCT01243424,CAROLINA,results paper,treated set,uaa10705,NA,linagliptin,NA,CV mortality,NA,events per 100 patient-years,rate,0.9,NA,NA,6.3,8.3,years,NA
mace00155,NCT01243424,CAROLINA,results paper,treated set,uaa10704,NA,glimepiride,NA,CV mortality,NA,events per 100 patient-years,rate,0.9,NA,NA,6.3,8.3,years,NA
mace00157,NCT01243424,CAROLINA,results paper,treated set,uaa10705,NA,linagliptin,NA,Nonfatal MI,NA,events per 100 patient-years,rate,0.5,NA,NA,6.3,8.3,years,NA
mace00158,NCT01243424,CAROLINA,results paper,treated set,uaa10704,NA,glimepiride,NA,Nonfatal MI,NA,events per 100 patient-years,rate,0.6,NA,NA,6.3,8.3,years,NA
mace00160,NCT01243424,CAROLINA,results paper,treated set,uaa10705,NA,linagliptin,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,0.5,NA,NA,6.3,8.3,years,NA
mace00161,NCT01243424,CAROLINA,results paper,treated set,uaa10704,NA,glimepiride,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,0.6,NA,NA,6.3,8.3,years,NA
mace00163,NCT01243424,CAROLINA,results paper,treated set,uaa10705,NA,linagliptin,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,0.6,NA,NA,6.3,8.3,years,NA
mace00164,NCT01243424,CAROLINA,results paper,treated set,uaa10704,NA,glimepiride,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,0.5,NA,NA,6.3,8.3,years,NA
mace00135,NCT01394952,REWIND,results paper,itt,NA,compb0155,NA,dulaglutide_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.88,95%ci,0.79;0.99,5.4,8,years,NA
mace00138,NCT01394952,REWIND,results paper,itt,NA,compb0155,NA,dulaglutide_placebo,CV mortality,NA,between arm comparison,hazard ratio,0.91,95%ci,0.78;1.06,5.4,8,years,NA
mace00141,NCT01394952,REWIND,results paper,itt,NA,compb0155,NA,dulaglutide_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,0.96,95%ci,0.79;1.16,5.4,8,years,NA
mace00144,NCT01394952,REWIND,results paper,itt,NA,compb0155,NA,dulaglutide_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,0.76,95%ci,0.61;0.95,5.4,8,years,NA
mace00147,NCT01394952,REWIND,results paper,itt,NA,compb0155,NA,dulaglutide_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,0.93,95%ci,0.77;1.12,5.4,8,years,NA
mace00136,NCT01394952,REWIND,results paper,itt,uaa10758,NA,dulaglutide,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,2.35,NA,NA,5.4,8,years,NA
mace00137,NCT01394952,REWIND,results paper,itt,uaa10759,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 100 patient-years,rate,2.66,NA,NA,5.4,8,years,NA
mace00139,NCT01394952,REWIND,results paper,itt,uaa10758,NA,dulaglutide,NA,CV mortality,NA,events per 100 patient-years,rate,1.22,NA,NA,5.4,8,years,NA
mace00140,NCT01394952,REWIND,results paper,itt,uaa10759,NA,placebo,NA,CV mortality,NA,events per 100 patient-years,rate,1.34,NA,NA,5.4,8,years,NA
mace00142,NCT01394952,REWIND,results paper,itt,uaa10758,NA,dulaglutide,NA,Nonfatal MI,NA,events per 100 patient-years,rate,0.8,NA,NA,5.4,8,years,NA
mace00143,NCT01394952,REWIND,results paper,itt,uaa10759,NA,placebo,NA,Nonfatal MI,NA,events per 100 patient-years,rate,0.84,NA,NA,5.4,8,years,NA
mace00145,NCT01394952,REWIND,results paper,itt,uaa10758,NA,dulaglutide,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,0.52,NA,NA,5.4,8,years,NA
mace00146,NCT01394952,REWIND,results paper,itt,uaa10759,NA,placebo,NA,Nonfatal stroke,NA,events per 100 patient-years,rate,0.69,NA,NA,5.4,8,years,NA
mace00148,NCT01394952,REWIND,results paper,itt,uaa10758,NA,dulaglutide,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,0.83,NA,NA,5.4,8,years,NA
mace00149,NCT01394952,REWIND,results paper,itt,uaa10759,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,0.89,NA,NA,5.4,8,years,NA
mace00120,NCT01455896,FREEDOM CVO,results paper,itt,NA,compb0076,NA,itca650_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,1.24,95%ci,0.90;1.70,1.33,2,years,NA
mace00123,NCT01455896,FREEDOM CVO,results paper,itt,NA,compb0076,NA,itca650_placebo,CV mortality,NA,between arm comparison,hazard ratio,1.22,95%ci,0.7;2.12,1.33,2,years,NA
mace00126,NCT01455896,FREEDOM CVO,results paper,itt,NA,compb0076,NA,itca650_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,1.33,95%ci,0.82;2.17,1.33,2,years,NA
mace00129,NCT01455896,FREEDOM CVO,results paper,itt,NA,compb0076,NA,itca650_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,1,95%ci,0.56;1.79,1.33,2,years,NA
