nct_id,nct_id2,arm_id_unq,base,end,result,n,n_analysed,sd
NCT01558271,NCT01558271,_2_Dulaglutide for 26 weeks blinded then 26 weeks open,8.16,6.71,-1.45,281,281,0.83
NCT01558271,NCT01558271,"_2_Liraglutide 0.3mg first week, 0.6mg second week then 0.9mg remaining",8.09,6.8,-1.3,141,141,0.9
NCT01619059,NCT01619059,_1_PLA PLUS DAPA PLUS MET,7.89,7.63,-0.24,156,154,0.73
NCT01619059,NCT01619059,_2_SAXA PLUS DAPA PLUS MET,7.95,7.32,-0.61,149,146,0.72
NCT01632007,NCT01632007,_1_Placebo,7.97,8.29,0.32,51,51,0.64
NCT01632007,NCT01632007,_2_Alogliptin,8.16,7.74,-0.41,92,92,0.76
NCT01632007,NCT01632007,_2_Trelagliptin,8,7.71,-0.28,102,102,0.73
NCT01632163,NCT01632163,_1_Placebo,8.53,7.98,-0.56,129,129,1.18
NCT01632163,NCT01632163,_2_Lixisenatide,8.54,7.54,-1,122,122,1.27
NCT01648582,NCT01648582,_1_Insulin glargine,8.32,7.53,-0.79,259,259,1.17
NCT01648582,NCT01648582,_2_Dulaglutide 0.75,8.31,7.35,-0.96,257,257,1.14
NCT01648582,NCT01648582,_2_Dulaglutide 1.5,8.45,7.05,-1.4,258,258,1.11
NCT01768559,NCT01768559,_1_insulin,7.76,7.1,-0.66,595,595,0.81
NCT01768559,NCT01768559,_2_Lixisenatide,7.76,7.18,-0.58,297,297,0.79
NCT01798706,NCT01798706,_1_Placebo,8.05,7.97,-0.08,163,163,0.88
NCT01798706,NCT01798706,_2_Lixisenatide,8.05,7.37,-0.68,162,162,0.9
NCT02182830,NCT02182830,_1_Plac SLASH Plac,8.61,8.63,0.02,82,82,1.2
NCT02182830,NCT02182830,_2_10mg SLASH 25mg,8.64,7.97,-0.67,82,82,1.25
NCT02453555,NCT02453555,_1_Linagliptin,8.24,7.65,-0.59,93,93,1.12
NCT02453555,NCT02453555,_2_FDC EmpaLina titr,8.27,7.09,-1.18,182,182,0.8
NCT02750410,NCT02750410,_1_Plc,8.63,7.86,-0.76,39,39,0.9
NCT02750410,NCT02750410,_2_Dula,8.47,7.42,-1.05,120,120,0.72
