nct_id,title,description,outcome_id,units,variable,chosen_outcome,unit_harmonised,id,result_group_id,ctgov_group_code
NCT03987919,Change From Baseline in HbA1c (5 mg),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).,20056626,Percentage of HbA1c,hba1c,1,percent,153929740,40971591,OG001
NCT04039503,Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Baseline Metformin Use (Yes, No) + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).",20002749,Percentage of HbA1c,hba1c,1,percent,153484470,40903450,OG000
NCT04039503,Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Baseline Metformin Use (Yes, No) + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).",20002749,Percentage of HbA1c,hba1c,1,percent,153484471,40903451,OG001
NCT01952145,Change From Baseline in HbA1c (Glycosylated Haemoglobin),Change from baseline in HbA1c after 26 weeks of treatment,20094257,Percentage (%),hba1c,1,percent,154274918,41021151,OG000
NCT01952145,Change From Baseline in HbA1c (Glycosylated Haemoglobin),Change from baseline in HbA1c after 26 weeks of treatment,20094257,Percentage (%),hba1c,1,percent,154274919,41021152,OG001
NCT03861039,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + oral antihyperglycemic medication (OAM) Group 1 + Treatment + Time + Treatment*Time (Type III sum of squares).,20040477,Percentage of HbA1c,hba1c,1,percent,153801333,40950619,OG000
NCT03861039,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + oral antihyperglycemic medication (OAM) Group 1 + Treatment + Time + Treatment*Time (Type III sum of squares).,20040477,Percentage of HbA1c,hba1c,1,percent,153801334,40950620,OG001
NCT03861039,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + oral antihyperglycemic medication (OAM) Group 1 + Treatment + Time + Treatment*Time (Type III sum of squares).,20040477,Percentage of HbA1c,hba1c,1,percent,153801335,40950621,OG002
NCT03861052,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Baseline BMI Group (<25 or >=25 kg/m^2) + Washout of Antidiabetic Medication + Treatment + Time + Treatment*Time (Type III sum of squares).,19913922,percentage of HbA1c,hba1c,1,percent,152744993,40794427,OG000
NCT03861052,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Baseline BMI Group (<25 or >=25 kg/m^2) + Washout of Antidiabetic Medication + Treatment + Time + Treatment*Time (Type III sum of squares).,19913922,percentage of HbA1c,hba1c,1,percent,152744994,40794428,OG001
NCT03861052,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Baseline BMI Group (<25 or >=25 kg/m^2) + Washout of Antidiabetic Medication + Treatment + Time + Treatment*Time (Type III sum of squares).,19913922,percentage of HbA1c,hba1c,1,percent,152744995,40794429,OG002
NCT03861052,Change From Baseline in Hemoglobin A1c (HbA1c),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Baseline BMI Group (<25 or >=25 kg/m^2) + Washout of Antidiabetic Medication + Treatment + Time + Treatment*Time (Type III sum of squares).,19913922,percentage of HbA1c,hba1c,1,percent,152744996,40794430,OG003
NCT03954834,Change From Baseline in Hemoglobin A1c (HbA1c),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Prior Use of oral antihyperglycemic medication (OAM) (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",19921051,Percentage of HbA1c,hba1c,1,percent,152804809,40803746,OG000
NCT03954834,Change From Baseline in Hemoglobin A1c (HbA1c),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Prior Use of oral antihyperglycemic medication (OAM) (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",19921051,Percentage of HbA1c,hba1c,1,percent,152804810,40803747,OG001
NCT03954834,Change From Baseline in Hemoglobin A1c (HbA1c),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Prior Use of oral antihyperglycemic medication (OAM) (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",19921051,Percentage of HbA1c,hba1c,1,percent,152804811,40803748,OG002
NCT03954834,Change From Baseline in Hemoglobin A1c (HbA1c),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Prior Use of oral antihyperglycemic medication (OAM) (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",19921051,Percentage of HbA1c,hba1c,1,percent,152804812,40803749,OG003
NCT03730662,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Pooled Country + Baseline sodium-glucose co-transporter-2 inhibitor (SGLT-2i) use Flag (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",20134617,Percentage of HbA1c,hba1c,1,percent,154565573,41081923,OG000
NCT03730662,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Pooled Country + Baseline sodium-glucose co-transporter-2 inhibitor (SGLT-2i) use Flag (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",20134617,Percentage of HbA1c,hba1c,1,percent,154565574,41081924,OG001
NCT03730662,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model for post-baseline measures: Variable = Baseline + Pooled Country + Baseline sodium-glucose co-transporter-2 inhibitor (SGLT-2i) use Flag (Yes, No) + Treatment + Time + Treatment*Time (Type III sum of squares).",20134617,Percentage of HbA1c,hba1c,1,percent,154565575,41081925,OG002
NCT03882970,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with covariates Baseline + Pooled Country + Baseline Oral Antihyperglycemic Medication (OAM) Use (Metformin (Met), Met plus SGLT-2i) + Treatment + Time + Treatment*Time (Type III sum of squares).",19966905,Percentage of HbA1c,hba1c,1,percent,153201189,40859342,OG000
NCT03882970,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with covariates Baseline + Pooled Country + Baseline Oral Antihyperglycemic Medication (OAM) Use (Metformin (Met), Met plus SGLT-2i) + Treatment + Time + Treatment*Time (Type III sum of squares).",19966905,Percentage of HbA1c,hba1c,1,percent,153201190,40859343,OG001
NCT03882970,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with covariates Baseline + Pooled Country + Baseline Oral Antihyperglycemic Medication (OAM) Use (Metformin (Met), Met plus SGLT-2i) + Treatment + Time + Treatment*Time (Type III sum of squares).",19966905,Percentage of HbA1c,hba1c,1,percent,153201191,40859344,OG002
NCT03987919,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).,20056625,Percentage of HbA1c,hba1c,1,percent,153929736,40971587,OG000
NCT03987919,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).,20056625,Percentage of HbA1c,hba1c,1,percent,153929737,40971588,OG001
NCT03987919,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).,20056625,Percentage of HbA1c,hba1c,1,percent,153929738,40971589,OG002
NCT04039503,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Baseline Metformin Use (Yes, No) + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).",20002748,Percentage of HbA1c,hba1c,1,percent,153484467,40903447,OG000
NCT04039503,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Baseline Metformin Use (Yes, No) + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).",20002748,Percentage of HbA1c,hba1c,1,percent,153484468,40903448,OG001
NCT04039503,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed-model repeated measures (MMRM) model with Baseline + Baseline Metformin Use (Yes, No) + Pooled Country + Treatment + Time + Treatment*Time (Type III sum of squares).",20002748,Percentage of HbA1c,hba1c,1,percent,153484469,40903449,OG002
NCT02501161,Change in HbA1c,Change in HbA1c from baseline (week 0) to week 26 is presented.,20073805,Percentage of HbA1c,hba1c,1,percent,154084043,40994159,OG000
NCT02501161,Change in HbA1c,Change in HbA1c from baseline (week 0) to week 26 is presented.,20073805,Percentage of HbA1c,hba1c,1,percent,154084044,40994160,OG001
NCT03989232,Change in HbA1c,"Change from baseline (week 0) to week 40 in glycosylated haemoglobin (HbA1c) was evaluated.

Results are based on the 'on-treatment without rescue medication' observation period, which started at the date of first dose of trial product to either first initiation of rescue medication or the day of last dose of trial product, whichever came first; and 'In-trial' observation period which started at the date of randomisation and ended at the first of the following dates, both inclusive: end-of-treatment visit (week 40), death, participant withdrew informed consent, last contact for participant lost to follow-up.",20029773,Percentage change,hba1c,1,percent,153708783,40937342,OG000
NCT03989232,Change in HbA1c,"Change from baseline (week 0) to week 40 in glycosylated haemoglobin (HbA1c) was evaluated.

Results are based on the 'on-treatment without rescue medication' observation period, which started at the date of first dose of trial product to either first initiation of rescue medication or the day of last dose of trial product, whichever came first; and 'In-trial' observation period which started at the date of randomisation and ended at the first of the following dates, both inclusive: end-of-treatment visit (week 40), death, participant withdrew informed consent, last contact for participant lost to follow-up.",20029773,Percentage change,hba1c,1,percent,153708784,40937343,OG001
NCT03989232,Change in HbA1c,"Change from baseline (week 0) to week 40 in glycosylated haemoglobin (HbA1c) was evaluated.

Results are based on the 'on-treatment without rescue medication' observation period, which started at the date of first dose of trial product to either first initiation of rescue medication or the day of last dose of trial product, whichever came first; and 'In-trial' observation period which started at the date of randomisation and ended at the first of the following dates, both inclusive: end-of-treatment visit (week 40), death, participant withdrew informed consent, last contact for participant lost to follow-up.",20029773,Percentage change,hba1c,1,percent,153708785,40937342,OG000
NCT03989232,Change in HbA1c,"Change from baseline (week 0) to week 40 in glycosylated haemoglobin (HbA1c) was evaluated.

Results are based on the 'on-treatment without rescue medication' observation period, which started at the date of first dose of trial product to either first initiation of rescue medication or the day of last dose of trial product, whichever came first; and 'In-trial' observation period which started at the date of randomisation and ended at the first of the following dates, both inclusive: end-of-treatment visit (week 40), death, participant withdrew informed consent, last contact for participant lost to follow-up.",20029773,Percentage change,hba1c,1,percent,153708786,40937343,OG001
NCT03353350,Change in HbA1c (%),Change from Baseline to Week 56 in HbA1c,19967151,HbA1c (%),hba1c,1,percent,153203196,40859613,OG000
NCT03353350,Change in HbA1c (%),Change from Baseline to Week 56 in HbA1c,19967151,HbA1c (%),hba1c,1,percent,153203197,40859614,OG001
NCT03353350,Change in HbA1c (%),Change from Baseline to Week 56 in HbA1c,19967151,HbA1c (%),hba1c,1,percent,153203198,40859615,OG002
NCT03353350,Change in HbA1c (%),Change from Baseline to Week 56 in HbA1c,19967151,HbA1c (%),hba1c,1,percent,153203199,40859616,OG003
NCT02420262,Change in HbA1c (Glycosylated Haemoglobin),Change in HbA1c values after 26 weeks of treatment.,20208822,Percentage of glycosylated haemoglobin,hba1c,1,percent,155012189,41208697,OG000
NCT02420262,Change in HbA1c (Glycosylated Haemoglobin),Change in HbA1c values after 26 weeks of treatment.,20208822,Percentage of glycosylated haemoglobin,hba1c,1,percent,155012190,41208698,OG001
NCT02773368,Change in HbA1c (Glycosylated Haemoglobin),The mean change from baseline (week 0) in HbA1c values evaluated after 26 weeks of randomised treatment. The results presented included retrieved data at week 26 for subjects who prematurely discontinued the trial product.,20025252,Percentage of glycosylated haemoglobin,hba1c,1,percent,153671193,40931144,OG000
NCT02773368,Change in HbA1c (Glycosylated Haemoglobin),The mean change from baseline (week 0) in HbA1c values evaluated after 26 weeks of randomised treatment. The results presented included retrieved data at week 26 for subjects who prematurely discontinued the trial product.,20025252,Percentage of glycosylated haemoglobin,hba1c,1,percent,153671194,40931145,OG001
NCT02773368,Change in HbA1c (Glycosylated Haemoglobin),The mean change from baseline (week 0) in HbA1c values evaluated after 26 weeks of randomised treatment. The results presented included retrieved data at week 26 for subjects who prematurely discontinued the trial product.,20025252,Percentage of glycosylated haemoglobin,hba1c,1,percent,153671195,40931144,OG000
NCT02773368,Change in HbA1c (Glycosylated Haemoglobin),The mean change from baseline (week 0) in HbA1c values evaluated after 26 weeks of randomised treatment. The results presented included retrieved data at week 26 for subjects who prematurely discontinued the trial product.,20025252,Percentage of glycosylated haemoglobin,hba1c,1,percent,153671196,40931145,OG001
NCT02964585,Glycemic Control (HbA1C),As determined by HbA1C values,19854070,percentage of hemoglobin,hba1c,1,percent,152242299,40717816,OG000
NCT02964585,Glycemic Control (HbA1C),As determined by HbA1C values,19854070,percentage of hemoglobin,hba1c,1,percent,152242300,40717817,OG001
NCT01919489,Glycemic Control at Hospital Discharge and 6 Months Follow up,To determine differences in HbA1c concentration at 26 weeks from discharge between liraglutide and glargine insulin therapy,20128109,% (mmol/mol),hba1c,1,percent,154527283,41070475,OG000
NCT01919489,Glycemic Control at Hospital Discharge and 6 Months Follow up,To determine differences in HbA1c concentration at 26 weeks from discharge between liraglutide and glargine insulin therapy,20128109,% (mmol/mol),hba1c,1,percent,154527284,41070476,OG001
NCT01919489,Glycemic Control at Hospital Discharge and 6 Months Follow up,To determine differences in HbA1c concentration at 26 weeks from discharge between liraglutide and glargine insulin therapy,20128109,% (mmol/mol),hba1c,1,percent,154527285,41070475,OG000
NCT01919489,Glycemic Control at Hospital Discharge and 6 Months Follow up,To determine differences in HbA1c concentration at 26 weeks from discharge between liraglutide and glargine insulin therapy,20128109,% (mmol/mol),hba1c,1,percent,154527286,41070476,OG001
NCT03353350,HbA1c <7%,Number of participants with HbA1c <7.0% at Week 30,19967153,Participants,hba1c,1,participant count,153203204,40859613,OG000
NCT03353350,HbA1c <7%,Number of participants with HbA1c <7.0% at Week 30,19967153,Participants,hba1c,1,participant count,153203205,40859614,OG001
NCT03353350,HbA1c <7%,Number of participants with HbA1c <7.0% at Week 30,19967153,Participants,hba1c,1,participant count,153203206,40859615,OG002
NCT03353350,HbA1c <7%,Number of participants with HbA1c <7.0% at Week 30,19967153,Participants,hba1c,1,participant count,153203207,40859616,OG003
NCT01919489,HbA1c <7.0% and no Hypoglycemia,Percent of patients with 12 week HbA1c <7.0% and no hypoglycemia,20128114,Participants,hba1c,1,participant percent,154527303,41070475,OG000
NCT01919489,HbA1c <7.0% and no Hypoglycemia,Percent of patients with 12 week HbA1c <7.0% and no hypoglycemia,20128114,Participants,hba1c,1,participant percent,154527304,41070476,OG001
NCT01919489,HbA1c <7.0% and no Hypoglycemia,Percent of patients with 26 week HbA1c <7.0% and no hypoglycemia,20128112,Participants,hba1c,1,participant percent,154527299,41070475,OG000
NCT01919489,HbA1c <7.0% and no Hypoglycemia,Percent of patients with 26 week HbA1c <7.0% and no hypoglycemia,20128112,Participants,hba1c,1,participant percent,154527300,41070476,OG001
NCT01919489,HbA1c <7.0% and no Weight Gain,Percent of patients with 26 week HbA1c <7.0% and no weight gain,20128113,Participants,hba1c,1,participant percent,154527301,41070475,OG000
NCT01919489,HbA1c <7.0% and no Weight Gain,Percent of patients with 26 week HbA1c <7.0% and no weight gain,20128113,Participants,hba1c,1,participant percent,154527302,41070476,OG001
NCT02324842,HbA1c at 4 Months,"Primary end point of the study is the HbA1c level in response to canagliflozin alone, liraglutide or canagliflozin with liraglutide.",20050169,percentage glycated hemoglobin,hba1c,1,percent,153887589,40962582,OG000
NCT02324842,HbA1c at 4 Months,"Primary end point of the study is the HbA1c level in response to canagliflozin alone, liraglutide or canagliflozin with liraglutide.",20050169,percentage glycated hemoglobin,hba1c,1,percent,153887590,40962583,OG001
NCT02324842,HbA1c at 4 Months,"Primary end point of the study is the HbA1c level in response to canagliflozin alone, liraglutide or canagliflozin with liraglutide.",20050169,percentage glycated hemoglobin,hba1c,1,percent,153887591,40962584,OG002
NCT04093752,Mean Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. LS mean was determined by MMRM model with covariates Baseline + Country + Baseline OAM Use (Met, Met plus SU) + Treatment + Time + Treatment*Time (Type III sum of squares).",19914002,Percentage of HbA1c,hba1c,1,percent,152745754,40794549,OG000
NCT04093752,Mean Change From Baseline in HbA1c (5 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. LS mean was determined by MMRM model with covariates Baseline + Country + Baseline OAM Use (Met, Met plus SU) + Treatment + Time + Treatment*Time (Type III sum of squares).",19914002,Percentage of HbA1c,hba1c,1,percent,152745755,40794550,OG001
NCT02551874,Mean Change From Baseline in HbA1c at Week 24,To examine whether the mean change from baseline in HbA1c with co-administered saxagliptin 5 mg and dapagliflozin 10 mg plus metformin with or without SU is noninferior (noninferiority margin of 0.3%) to titrated insulin glargine plus metformin with or without SU after 24 weeks of open-label treatment.,20048556,% HbA1c,hba1c,1,percent,153870997,40960614,OG000
NCT02551874,Mean Change From Baseline in HbA1c at Week 24,To examine whether the mean change from baseline in HbA1c with co-administered saxagliptin 5 mg and dapagliflozin 10 mg plus metformin with or without SU is noninferior (noninferiority margin of 0.3%) to titrated insulin glargine plus metformin with or without SU after 24 weeks of open-label treatment.,20048556,% HbA1c,hba1c,1,percent,153870998,40960615,OG001
NCT04093752,Mean Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed model repeated measures (MMRM) model with covariates Baseline + Country + Baseline Oral Antihyperglycemic Medication (OAM) Use (Metformin (Met), Met plus Sulfonylurea (SU)) + Treatment + Time + Treatment*Time (Type III sum of squares).",19914001,Percentage of HbA1c,hba1c,1,percent,152745751,40794546,OG000
NCT04093752,Mean Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed model repeated measures (MMRM) model with covariates Baseline + Country + Baseline Oral Antihyperglycemic Medication (OAM) Use (Metformin (Met), Met plus Sulfonylurea (SU)) + Treatment + Time + Treatment*Time (Type III sum of squares).",19914001,Percentage of HbA1c,hba1c,1,percent,152745752,40794547,OG001
NCT04093752,Mean Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),"HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured primarily to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed model repeated measures (MMRM) model with covariates Baseline + Country + Baseline Oral Antihyperglycemic Medication (OAM) Use (Metformin (Met), Met plus Sulfonylurea (SU)) + Treatment + Time + Treatment*Time (Type III sum of squares).",19914001,Percentage of HbA1c,hba1c,1,percent,152745753,40794548,OG002
