id,nct_id,outcome_id,result_group_id,ctgov_group_code,classification,category,title,description,units,param_type,param_value,param_value_num,dispersion_type,dispersion_value,dispersion_value_num,dispersion_lower_limit,dispersion_upper_limit,explanation_of_na
267561271,NCT00885352,35024261,62032569,OG000,NA,NA,Change From Baseline in Fasting Plasma Glucose (FPG) at Week 26,Change from baseline reflects the Week 26 value minus the baseline value.,mg/dL,Least Squares Mean,-20.3,-20.3,95% Confidence Interval,49.5,49.5,-27,-13.6,NA
267561272,NCT00885352,35024261,62032570,OG001,NA,NA,Change From Baseline in Fasting Plasma Glucose (FPG) at Week 26,Change from baseline reflects the Week 26 value minus the baseline value.,mg/dL,Least Squares Mean,-2.8,-2.8,95% Confidence Interval,41.6,41.6,-9.5,3.9,NA
267562038,NCT01076075,35024392,62032842,OG000,NA,NA,Change From Baseline in Hemoglobin A1C (%) at Week 24,Change from baseline reflects the Week 24 value minus the baseline value. A1C represents the percentage of glycosylated hemoglobin.,Percentage of glycosylated hemoglobin,Least Squares Mean,-0.84,-0.84,95% Confidence Interval,0.82,0.82,-0.97,-0.71,NA
267562039,NCT01076075,35024392,62032843,OG001,NA,NA,Change From Baseline in Hemoglobin A1C (%) at Week 24,Change from baseline reflects the Week 24 value minus the baseline value. A1C represents the percentage of glycosylated hemoglobin.,Percentage of glycosylated hemoglobin,Least Squares Mean,-0.16,-0.16,95% Confidence Interval,0.84,0.84,-0.28,-0.03,NA
267562040,NCT01076075,35024393,62032844,OG000,NA,NA,Change From Baseline in 2-hour Post-Meal Glucose at Week 24,Change from baseline reflects the Week 24 value minus the baseline value. Two-hour post-meal glucose was measured following a standard meal.,mg/dL,Least Squares Mean,-36.8,-36.8,95% Confidence Interval,60.8,60.8,-45.2,-28.4,NA
267562041,NCT01076075,35024393,62032843,OG001,NA,NA,Change From Baseline in 2-hour Post-Meal Glucose at Week 24,Change from baseline reflects the Week 24 value minus the baseline value. Two-hour post-meal glucose was measured following a standard meal.,mg/dL,Least Squares Mean,-3.3,-3.3,95% Confidence Interval,67.8,67.8,-11.7,5,NA
267562042,NCT01076075,35024394,62032844,OG000,NA,NA,Change From Baseline in Fasting Plasma Glucose at Week 24,Change from baseline reflects the Week 24 value minus the baseline value.,mg/dL,Least Squares Mean,-13.2,-13.2,95% Confidence Interval,NA,NA,-18.8,-7.7,NA
267562043,NCT01076075,35024394,62032843,OG001,NA,NA,Change From Baseline in Fasting Plasma Glucose at Week 24,Change from baseline reflects the Week 24 value minus the baseline value.,mg/dL,Least Squares Mean,5.3,5.3,95% Confidence Interval,NA,NA,-0.2,10.9,NA
267562044,NCT01076075,35024395,62032845,OG000,NA,NA,Number of Participants With One or More Adverse Events (AEs) - Week 0 to Week 54,NA,participants,Number,120,120,NA,NA,NA,NA,NA,NA
267562045,NCT01076075,35024395,62032846,OG001,NA,NA,Number of Participants With One or More Adverse Events (AEs) - Week 0 to Week 54,NA,participants,Number,122,122,NA,NA,NA,NA,NA,NA
267562046,NCT01076075,35024396,62032845,OG000,NA,NA,Number of Participants Discontinuing Study Drug Due to An Adverse Event,NA,participants,Number,3,3,NA,NA,NA,NA,NA,NA
267562047,NCT01076075,35024396,62032846,OG001,NA,NA,Number of Participants Discontinuing Study Drug Due to An Adverse Event,NA,participants,Number,9,9,NA,NA,NA,NA,NA,NA
269849218,NCT00984867,35301728,62392651,OG000,NA,NA,Adjusted Mean Change in HbA1c Levels,To compare the change from baseline in HbA1c after 24 weeks treatment (LOCF) between dapagliflozin and placebo in patients with type 2 diabetes who are inadequately controlled on sitagliptin alone or on sitagliptin plus metformin.,Percent,Least Squares Mean,0.04,0.04,95% Confidence Interval,0.0509,0.0509,-0.06,0.14,NA
269849219,NCT00984867,35301728,62392652,OG001,NA,NA,Adjusted Mean Change in HbA1c Levels,To compare the change from baseline in HbA1c after 24 weeks treatment (LOCF) between dapagliflozin and placebo in patients with type 2 diabetes who are inadequately controlled on sitagliptin alone or on sitagliptin plus metformin.,Percent,Least Squares Mean,-0.45,-0.45,95% Confidence Interval,0.0509,0.0509,-0.55,-0.35,NA
269849220,NCT00984867,35301729,62392653,OG000,NA,NA,Adjusted Mean Change in Body Weight,To compare the change in total body weight achieved with dapagliflozin versus placebo from baseline to week 24.,kg,Least Squares Mean,-0.26,-0.26,95% Confidence Interval,0.1741,0.1741,-0.6,0.09,NA
269849221,NCT00984867,35301729,62392654,OG001,NA,NA,Adjusted Mean Change in Body Weight,To compare the change in total body weight achieved with dapagliflozin versus placebo from baseline to week 24.,kg,Least Squares Mean,-2.14,-2.14,95% Confidence Interval,0.1745,0.1745,-2.48,-1.8,NA
269849222,NCT00984867,35301730,62392653,OG000,NA,NA,Adjusted Mean Change in HbA1c in Participants With Baseline HbA1c ≥8%,To compare the change in HbA1c in participants with baseline HbA1c ≥8% achieved with dapagliflozin versus placebo from baseline to week 24.,Percent,Least Squares Mean,0.03,0.03,95% Confidence Interval,0.0775,0.0775,-0.12,0.18,NA
269849223,NCT00984867,35301730,62392654,OG001,NA,NA,Adjusted Mean Change in HbA1c in Participants With Baseline HbA1c ≥8%,To compare the change in HbA1c in participants with baseline HbA1c ≥8% achieved with dapagliflozin versus placebo from baseline to week 24.,Percent,Least Squares Mean,-0.8,-0.8,95% Confidence Interval,0.0797,0.0797,-0.96,-0.65,NA
269849224,NCT00984867,35301731,62392653,OG000,NA,NA,Adjusted Mean Change in Fasting Plasma Glucose (FPG),To compare the change in FPG achieved with dapagliflozin versus placebo from baseline to week 24.,mg/dL,Least Squares Mean,3.81,3.81,95% Confidence Interval,2.3474,2.3474,-0.8,8.42,NA
269849225,NCT00984867,35301731,62392654,OG001,NA,NA,Adjusted Mean Change in Fasting Plasma Glucose (FPG),To compare the change in FPG achieved with dapagliflozin versus placebo from baseline to week 24.,mg/dL,Least Squares Mean,-24.11,-24.11,95% Confidence Interval,2.3474,2.3474,-28.73,-19.5,NA
269849226,NCT00984867,35301732,62392653,OG000,NA,NA,Adjusted Mean Change in Seated Systolic Blood Pressure (SBP) in Participants With Baseline SBP>=130 mmHg,To compare the change in seated systolic blood pressure (SBP) in participants with baseline seated SBP >=130 achieved with dapagliflozin versus placebo from baseline to week 8.,mmHg,Least Squares Mean,-5.12,-5.12,95% Confidence Interval,1.0211,1.0211,-7.14,-3.11,NA
269849227,NCT00984867,35301732,62392654,OG001,NA,NA,Adjusted Mean Change in Seated Systolic Blood Pressure (SBP) in Participants With Baseline SBP>=130 mmHg,To compare the change in seated systolic blood pressure (SBP) in participants with baseline seated SBP >=130 achieved with dapagliflozin versus placebo from baseline to week 8.,mmHg,Least Squares Mean,-5.98,-5.98,95% Confidence Interval,1.0638,1.0638,-8.08,-3.89,NA
269849228,NCT00984867,35301733,62392653,OG000,NA,NA,Adjusted Mean Change in 2-hour Post Liquid Meal Glucose Rise,To compare the change in 2-hour post liquid meal glucose rise achieved with dapagliflozin versus placebo from baseline to week 24.,mg/dL,Least Squares Mean,-6.84,-6.84,95% Confidence Interval,2.5098,2.5098,-11.77,-1.9,NA
269849229,NCT00984867,35301733,62392654,OG001,NA,NA,Adjusted Mean Change in 2-hour Post Liquid Meal Glucose Rise,To compare the change in 2-hour post liquid meal glucose rise achieved with dapagliflozin versus placebo from baseline to week 24.,mg/dL,Least Squares Mean,-21.65,-21.65,95% Confidence Interval,2.4604,2.4604,-26.49,-16.81,NA
269849230,NCT00984867,35301734,62392653,OG000,NA,NA,Proportion of Participants Achieving a Therapeutic Glycemic Response Defined as a Reduction in HbA1c of ≥0.7% Compared to Baseline,"To compare the proportion of participants achieving a therapeutic glycaemic response, defined as a reduction in HbA1c of ≥0.7% compared to baseline, with dapagliflozin versus placebo at week 24. Least Squares Mean represents the percent of participants adjusted for HbA1c baseline value.",Percentage of participants,Least Squares Mean,16.6,16.6,95% Confidence Interval,2.491,2.491,11.7,21.4,NA
269849231,NCT00984867,35301734,62392654,OG001,NA,NA,Proportion of Participants Achieving a Therapeutic Glycemic Response Defined as a Reduction in HbA1c of ≥0.7% Compared to Baseline,"To compare the proportion of participants achieving a therapeutic glycaemic response, defined as a reduction in HbA1c of ≥0.7% compared to baseline, with dapagliflozin versus placebo at week 24. Least Squares Mean represents the percent of participants adjusted for HbA1c baseline value.",Percentage of participants,Least Squares Mean,35.3,35.3,95% Confidence Interval,3.083,3.083,29.3,41.2,NA
270572370,NCT01703208,35424488,62593485,OG000,NA,NA,"Number of Participants With MACE-plus (Confirmed Cardiovascular [CV]-Related Death, Nonfatal Myocardial Infarction [MI], Nonfatal Stroke, or Hospitalization Due to Unstable Angina)","Participants with confirmed MACE-plus events (confirmed cardiovascular, CV-related death, nonfatal myocardial infarction [MI], nonfatal stroke, or hospitalization due to unstable angina). In the MK-3102-018 study, MACE plus events had a data cut-off date of April 15, 2015.",Participants,Number,66,66,NA,NA,NA,-1.14,-0.9,NA
270572371,NCT01703208,35424488,62593486,OG001,NA,NA,"Number of Participants With MACE-plus (Confirmed Cardiovascular [CV]-Related Death, Nonfatal Myocardial Infarction [MI], Nonfatal Stroke, or Hospitalization Due to Unstable Angina)","Participants with confirmed MACE-plus events (confirmed cardiovascular, CV-related death, nonfatal myocardial infarction [MI], nonfatal stroke, or hospitalization due to unstable angina). In the MK-3102-018 study, MACE plus events had a data cut-off date of April 15, 2015.",Participants,Number,70,70,NA,NA,NA,-1.2,-0.96,NA
270572372,NCT01703208,35424489,62593485,OG000,NA,NA,"Number of Participants With an Event of MACE (Confirmed CV-Related Death, Fatal and Nonfatal MI, and Fatal and Nonfatal Stroke)","Participants with an Event of MACE (confirmed cardiovascular, CV-related death, fatal and nonfatal myocardial infarction [MI], and fatal and nonfatal stroke).",Participants,Number,114,114,NA,NA,NA,-1.14,-0.9,NA
270572373,NCT01703208,35424489,62593486,OG001,NA,NA,"Number of Participants With an Event of MACE (Confirmed CV-Related Death, Fatal and Nonfatal MI, and Fatal and Nonfatal Stroke)","Participants with an Event of MACE (confirmed cardiovascular, CV-related death, fatal and nonfatal myocardial infarction [MI], and fatal and nonfatal stroke).",Participants,Number,114,114,NA,NA,NA,-1.2,-0.96,NA
270572374,NCT01703208,35424490,62593485,OG000,NA,NA,"Number of Participants With an Event Per 100 Person-Years for First Event of MACE (Confirmed CV-Related Death, Fatal and Nonfatal MI, and Fatal and Nonfatal Stroke)","Participants with an event of MACE (confirmed cardiovascular, CV-related death, fatal and nonfatal myocardial infarction [MI], and fatal and nonfatal stroke). Person-years were calculated as the sum of all participants' follow-up time to first event.",Participants/100 Person-years,Number,2.96,2.96,NA,NA,NA,-1.14,-0.9,NA
270572375,NCT01703208,35424490,62593486,OG001,NA,NA,"Number of Participants With an Event Per 100 Person-Years for First Event of MACE (Confirmed CV-Related Death, Fatal and Nonfatal MI, and Fatal and Nonfatal Stroke)","Participants with an event of MACE (confirmed cardiovascular, CV-related death, fatal and nonfatal myocardial infarction [MI], and fatal and nonfatal stroke). Person-years were calculated as the sum of all participants' follow-up time to first event.",Participants/100 Person-years,Number,2.97,2.97,NA,NA,NA,-1.2,-0.96,NA
270572376,NCT01703208,35424491,62593485,OG000,NA,NA,Change From Baseline in Hemoglobin A1C (A1C) at Week 18,A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). This change from baseline reflects the Week 18 A1C minus the Week 0 A1C.,Percent,Least Squares Mean,-0.58,-0.58,95% Confidence Interval,0.82,0.82,-0.62,-0.55,NA
270572377,NCT01703208,35424491,62593486,OG001,NA,NA,Change From Baseline in Hemoglobin A1C (A1C) at Week 18,A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). This change from baseline reflects the Week 18 A1C minus the Week 0 A1C.,Percent,Least Squares Mean,-0.16,-0.16,95% Confidence Interval,0.88,0.88,-0.19,-0.12,NA
270572378,NCT01703208,35424492,62593485,OG000,NA,NA,Change From Baseline in A1C at Week 18 in a Sub-Study of Participants Taking Insulin (With or Without Metformin),A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). This change from baseline reflects the Week 18 A1C minus the Week 0 A1C.,Percentage,Least Squares Mean,-0.5,-0.5,95% Confidence Interval,NA,NA,-0.57,-0.42,NA
270572379,NCT01703208,35424492,62593486,OG001,NA,NA,Change From Baseline in A1C at Week 18 in a Sub-Study of Participants Taking Insulin (With or Without Metformin),A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). This change from baseline reflects the Week 18 A1C minus the Week 0 A1C.,Percentage,Least Squares Mean,-0.11,-0.11,95% Confidence Interval,NA,NA,-0.19,-0.03,NA
270572380,NCT01703208,35424493,62593485,OG000,NA,NA,Percentage of Participants Who Experienced at Least One Adverse Event in a Sub-study of Participants Taking Insulin Excluding Data After Background Antihyperglycemic Agent (AHA) Change,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,48.8,48.8,NA,NA,NA,NA,NA,NA
270572381,NCT01703208,35424493,62593486,OG001,NA,NA,Percentage of Participants Who Experienced at Least One Adverse Event in a Sub-study of Participants Taking Insulin Excluding Data After Background Antihyperglycemic Agent (AHA) Change,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,49.9,49.9,NA,NA,NA,NA,NA,NA
270572382,NCT01703208,35424494,62593485,OG000,NA,NA,Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event in a Sub-Study of Participants Taking Insulin Excluding Data After Background AHA Change,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,1.1,1.1,NA,NA,NA,-3.13,-2.25,NA
270572383,NCT01703208,35424494,62593486,OG001,NA,NA,Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event in a Sub-Study of Participants Taking Insulin Excluding Data After Background AHA Change,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,0.8,0.8,NA,NA,NA,-4.18,-3.29,NA
270572384,NCT01703208,35424495,62593485,OG000,NA,NA,Number of Participants With an Event of CV-Related Death,Participants with adjudicated and confirmed AEs of cardiovascular-related death.,Participants,Number,37,37,NA,NA,NA,-40.04,-31.42,NA
270572385,NCT01703208,35424495,62593486,OG001,NA,NA,Number of Participants With an Event of CV-Related Death,Participants with adjudicated and confirmed AEs of cardiovascular-related death.,Participants,Number,35,35,NA,NA,NA,-41.21,-32.62,NA
270572386,NCT01703208,35424496,62593485,OG000,NA,NA,Number of Participants With an Event Per 100 Person-Years of CV-Related Death,Participants with adjudicated and confirmed AEs of cardiovascular-related death. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 person-years,Number,0.94,0.94,NA,NA,NA,-40.04,-31.42,NA
270572387,NCT01703208,35424496,62593486,OG001,NA,NA,Number of Participants With an Event Per 100 Person-Years of CV-Related Death,Participants with adjudicated and confirmed AEs of cardiovascular-related death. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 person-years,Number,0.89,0.89,NA,NA,NA,-41.21,-32.62,NA
270572388,NCT01703208,35424497,62593485,OG000,NA,NA,Number of Participants With an Event of First MI (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs of fatal and non-fatal MI.,Participants,Number,52,52,NA,NA,NA,-40.04,-31.42,NA
270572389,NCT01703208,35424497,62593486,OG001,NA,NA,Number of Participants With an Event of First MI (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs of fatal and non-fatal MI.,Participants,Number,60,60,NA,NA,NA,-41.21,-32.62,NA
270572390,NCT01703208,35424498,62593485,OG000,NA,NA,Number of Participants With an Event Per 100 Person-Years of First MI (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs of fatal and non-fatal MI. Person-years were calculated as the sum of all participants' follow-up time to first event.,Participants/100 person-years,Number,1.34,1.34,NA,NA,NA,-40.04,-31.42,NA
270572391,NCT01703208,35424498,62593486,OG001,NA,NA,Number of Participants With an Event Per 100 Person-Years of First MI (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs of fatal and non-fatal MI. Person-years were calculated as the sum of all participants' follow-up time to first event.,Participants/100 person-years,Number,1.55,1.55,NA,NA,NA,-41.21,-32.62,NA
270572392,NCT01703208,35424499,62593485,OG000,NA,NA,Number of Participants With an Event of Stroke (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs fatal and non-fatal stroke.,Participants,Number,32,32,NA,NA,NA,-40.04,-31.42,NA
270572393,NCT01703208,35424499,62593486,OG001,NA,NA,Number of Participants With an Event of Stroke (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs fatal and non-fatal stroke.,Participants,Number,34,34,NA,NA,NA,-41.21,-32.62,NA
270572394,NCT01703208,35424500,62593485,OG000,NA,NA,Number of Participants With an Event Per 100 Person-Years of First Stroke (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs fatal and non-fatal stroke. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 person-years,Number,0.82,0.82,NA,NA,NA,-40.04,-31.42,NA
270572395,NCT01703208,35424500,62593486,OG001,NA,NA,Number of Participants With an Event Per 100 Person-Years of First Stroke (Fatal and Non-fatal),Participants with adjudicated and confirmed AEs fatal and non-fatal stroke. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 person-years,Number,0.88,0.88,NA,NA,NA,-41.21,-32.62,NA
270572396,NCT01703208,35424501,62593485,OG000,NA,NA,Number of Participants With an Event of All-Cause Death,All-cause death was death from any cause.,Participants,Number,64,64,NA,NA,NA,NA,NA,NA
270572397,NCT01703208,35424501,62593486,OG001,NA,NA,Number of Participants With an Event of All-Cause Death,All-cause death was death from any cause.,Participants,Number,50,50,NA,NA,NA,NA,NA,NA
270572398,NCT01703208,35424502,62593485,OG000,NA,NA,Number of Participants With an Event Per 100 Person-Years of the Event of All-Cause Death,All-cause death was death for any cause. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 Person-years,Number,1.63,1.63,NA,NA,NA,NA,NA,NA
270572399,NCT01703208,35424502,62593486,OG001,NA,NA,Number of Participants With an Event Per 100 Person-Years of the Event of All-Cause Death,All-cause death was death for any cause. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 Person-years,Number,1.28,1.28,NA,NA,NA,NA,NA,NA
270572400,NCT01703208,35424503,62593485,OG000,NA,NA,Change From Baseline in A1C at Week 142,A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). This change from baseline reflects the Week 142 A1C minus the Week 0 A1C.,Percent,Least Squares Mean,-0.36,-0.36,95% Confidence Interval,0.06,0.06,-0.47,-0.25,NA
270572401,NCT01703208,35424503,62593486,OG001,NA,NA,Change From Baseline in A1C at Week 142,A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). This change from baseline reflects the Week 142 A1C minus the Week 0 A1C.,Percent,Least Squares Mean,-0.06,-0.06,95% Confidence Interval,1.12,1.12,-0.17,0.05,NA
270572402,NCT01703208,35424507,62593485,OG000,NA,NA,Percentage of Participants Who Experienced at Least One Adverse Event,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,78.3,78.3,NA,NA,NA,NA,NA,NA
270572403,NCT01703208,35424507,62593486,OG001,NA,NA,Percentage of Participants Who Experienced at Least One Adverse Event,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,76.8,76.8,NA,NA,NA,NA,NA,NA
270572404,NCT01703208,35424508,62593485,OG000,NA,NA,Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,4.1,4.1,NA,NA,NA,NA,NA,NA
270572405,NCT01703208,35424508,62593486,OG001,NA,NA,Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event,"An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study.",Percentage of participants,Number,3.6,3.6,NA,NA,NA,NA,NA,NA
270572406,NCT01703208,35424509,62593485,OG000,NA,NA,Change From Baseline in FPG at Week 18 in a Sub-Study of Participants Taking Insulin,This change from baseline reflects the Week 18 FPG minus the Week 0 FPG.,mg/dL,Least Squares Mean,-6.8,-6.8,95% Confidence Interval,NA,NA,-12.1,-1.5,NA
270572407,NCT01703208,35424509,62593486,OG001,NA,NA,Change From Baseline in FPG at Week 18 in a Sub-Study of Participants Taking Insulin,This change from baseline reflects the Week 18 FPG minus the Week 0 FPG.,mg/dL,Least Squares Mean,-3.6,-3.6,95% Confidence Interval,NA,NA,-9.1,1.8,NA
270572408,NCT01703208,35424510,62593485,OG000,NA,NA,Percentage of Participants Achieving a Target A1C <7.0 % (53 mmol/Mol) at Week 18 in a Sub-Study of Participants Taking Insulin,A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). Analysis was performed with multiple data imputation.,Percentage of participants,Number,22,22,95% Confidence Interval,NA,NA,18.5,26.1,NA
270572409,NCT01703208,35424510,62593486,OG001,NA,NA,Percentage of Participants Achieving a Target A1C <7.0 % (53 mmol/Mol) at Week 18 in a Sub-Study of Participants Taking Insulin,A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). Analysis was performed with multiple data imputation.,Percentage of participants,Number,10.2,10.2,95% Confidence Interval,NA,NA,7.5,13.6,NA
270572410,NCT01703208,35424511,62593485,OG000,NA,NA,Number of Participants With an Event of First Hospitalization for Heart Failure (Exploratory),Participants with adjudicated and confirmed events of first hospitalization for heart failure.,Participants,Number,20,20,NA,NA,NA,NA,NA,NA
270572411,NCT01703208,35424511,62593486,OG001,NA,NA,Number of Participants With an Event of First Hospitalization for Heart Failure (Exploratory),Participants with adjudicated and confirmed events of first hospitalization for heart failure.,Participants,Number,33,33,NA,NA,NA,NA,NA,NA
270572412,NCT01703208,35424512,62593485,OG000,NA,NA,Number of Participants With an Event Per 100 Person-years of the Event of the First Hospitalization for Heart Failure (Exploratory),Participants with adjudicated and confirmed events of first hospitalization for heart failure. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 Person-years,Number,0.51,0.51,NA,NA,NA,NA,NA,NA
270572413,NCT01703208,35424512,62593486,OG001,NA,NA,Number of Participants With an Event Per 100 Person-years of the Event of the First Hospitalization for Heart Failure (Exploratory),Participants with adjudicated and confirmed events of first hospitalization for heart failure. Person-years were calculated as the sum of all participants' follow-up time to event.,Participants/100 Person-years,Number,0.85,0.85,NA,NA,NA,NA,NA,NA
270589298,NCT01462266,35426640,62596580,OG000,NA,NA,Change From Baseline in Daily Insulin Dose at Week 24,"Change in daily insulin dose following 24 weeks of therapy (i.e., daily insulin dose at Week 24 minus daily insulin dose at baseline)",International Units (IU),Least Squares Mean,19,19,95% Confidence Interval,19.6,19.6,16.5,21.6,NA
270589299,NCT01462266,35426640,62596581,OG001,NA,NA,Change From Baseline in Daily Insulin Dose at Week 24,"Change in daily insulin dose following 24 weeks of therapy (i.e., daily insulin dose at Week 24 minus daily insulin dose at baseline)",International Units (IU),Least Squares Mean,23.8,23.8,95% Confidence Interval,24,24,21.3,26.3,NA
