repo,nct_id,models,term,estimate,std.error,statistic,p.value,conf.low,conf.high
8697,NCT01131676,f4,sexM:arm_fbi 10773 10mg,0.079,0.202,0.389,0.6971,-0.318,0.475
8697,NCT01131676,f4,sexM:arm_fbi 10773 25mg,-0.02,0.201,-0.098,0.9219,-0.414,0.375
8697,NCT01032629,f4,sexM,0.253,0.145,1.738,0.08227,-0.032,0.538
8697,NCT01032629,f4,arm_fjnj-28431754-300 mg,-0.129,0.177,-0.728,0.4666,-0.475,0.218
8697,NCT01032629,f4,arm_fjnj-28431754-100 mg,-0.046,0.175,-0.262,0.7936,-0.388,0.297
8697,NCT01032629,f4,sexM:arm_fjnj-28431754-300 mg,-0.073,0.211,-0.348,0.7282,-0.487,0.34
8697,NCT01032629,f4,sexM:arm_fjnj-28431754-100 mg,-0.031,0.207,-0.15,0.8806,-0.437,0.374
8697,NCT01989754,f4,sexM,0.447,0.162,2.748,0.005989,0.128,0.765
8697,NCT01989754,f4,arm_fcanagliflozin,-0.373,0.218,-1.715,0.0864,-0.8,0.053
8697,NCT01989754,f4,sexM:arm_fcanagliflozin,0.176,0.252,0.696,0.4862,-0.319,0.67
8697,NCT02065791,f4,sexM,0.181,0.134,1.354,0.1757,-0.081,0.444
8697,NCT02065791,f4,arm_fcana 100 mg,-0.132,0.163,-0.812,0.417,-0.452,0.187
8697,NCT02065791,f4,sexM:arm_fcana 100 mg,-0.141,0.197,-0.716,0.4743,-0.526,0.245
8697,NCT02465515,f5,age10c,0.162,0.057,2.821,0.00479,0.049,0.274
8697,NCT02465515,f5,arm_falbiglutide,-0.451,0.153,-2.948,0.003195,-0.751,-0.151
8697,NCT02465515,f5,sexM,0.145,0.108,1.344,0.1789,-0.066,0.356
8697,NCT02465515,f5,age10c:arm_falbiglutide,0.089,0.086,1.033,0.3016,-0.08,0.257
8697,NCT02465515,f5,arm_falbiglutide:sexM,0.208,0.168,1.239,0.2152,-0.121,0.536
8697,NCT01131676,f5,age10c,0.36,0.07,5.164,2.417e-7,0.224,0.497
8697,NCT01131676,f5,arm_fbi 10773 10mg,-0.083,0.183,-0.455,0.6492,-0.442,0.276
8697,NCT01131676,f5,arm_fbi 10773 25mg,-0.08,0.184,-0.437,0.6623,-0.442,0.281
8697,NCT01131676,f5,sexM,0.167,0.138,1.214,0.2248,-0.103,0.438
8697,NCT01131676,f5,age10c:arm_fbi 10773 10mg,-0.263,0.103,-2.551,0.01073,-0.465,-0.061
8697,NCT01131676,f5,age10c:arm_fbi 10773 25mg,-0.099,0.104,-0.952,0.3412,-0.301,0.104
8697,NCT01131676,f5,arm_fbi 10773 10mg:sexM,0.067,0.202,0.333,0.7394,-0.329,0.464
8697,NCT01131676,f5,arm_fbi 10773 25mg:sexM,-0.021,0.201,-0.102,0.9187,-0.415,0.374
8697,NCT01032629,f5,age10c,0.41,0.082,4.976,6.49e-7,0.249,0.572
8697,NCT01032629,f5,arm_fjnj-28431754-300 mg,-0.097,0.181,-0.537,0.5913,-0.453,0.258
8697,NCT01032629,f5,arm_fjnj-28431754-100 mg,0.013,0.178,0.074,0.9413,-0.336,0.362
8697,NCT01032629,f5,sexM,0.278,0.145,1.911,0.05594,-0.007,0.563
8697,NCT01032629,f5,age10c:arm_fjnj-28431754-300 mg,-0.129,0.121,-1.061,0.2888,-0.366,0.109
8697,NCT01032629,f5,age10c:arm_fjnj-28431754-100 mg,-0.135,0.118,-1.144,0.2525,-0.367,0.096
8697,NCT01032629,f5,arm_fjnj-28431754-300 mg:sexM,-0.092,0.211,-0.437,0.6621,-0.506,0.321
8697,NCT01032629,f5,arm_fjnj-28431754-100 mg:sexM,-0.06,0.207,-0.289,0.7723,-0.466,0.346
8697,NCT01989754,f5,age10c,0.499,0.091,5.476,4.357e-8,0.32,0.678
8697,NCT01989754,f5,arm_fcanagliflozin,-0.264,0.228,-1.158,0.2471,-0.71,0.183
8697,NCT01989754,f5,sexM,0.459,0.162,2.827,0.004695,0.141,0.778
8697,NCT01989754,f5,age10c:arm_fcanagliflozin,-0.198,0.134,-1.482,0.1383,-0.461,0.064
8697,NCT01989754,f5,arm_fcanagliflozin:sexM,0.159,0.252,0.632,0.5277,-0.335,0.653
8697,NCT02065791,f5,age10c,0.141,0.064,2.183,0.02906,0.014,0.267
8697,NCT02065791,f5,arm_fcana 100 mg,-0.132,0.165,-0.802,0.4224,-0.454,0.19
8697,NCT02065791,f5,sexM,0.175,0.134,1.303,0.1925,-0.088,0.437
8697,NCT02065791,f5,age10c:arm_fcana 100 mg,0.029,0.098,0.302,0.7628,-0.162,0.221
8697,NCT02065791,f5,arm_fcana 100 mg:sexM,-0.131,0.197,-0.666,0.5056,-0.517,0.255
