unq_id,trial_id,arm_id,id,id_source,variable,category_level,unit,measure_type,first_format,second_format,first,low,upp,notes,renal_calc_type,unq_row_number_first_set,unq_row_number_second_set,arm_n,special_pop
blchar14930,NCT02655770,updab0024,tt_2022_90,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,64,55,68,NA,NA,NA,784,2,special
blchar14931,NCT02655770,updab0025,tt_2022_91,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,63,58,67,NA,NA,NA,785,2,special
blchar14938,NCT02798744,updab0035,tt_2022_98,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,63,60,69,NA,NA,NA,792,2,special
blchar14939,NCT02798744,updab0033,tt_2022_99,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,65,55,69,NA,NA,NA,793,2,special
blchar14947,NCT02912455,unq_updaa10040,tt_2022_107,table_tidier_extraction_second_set,age,NA,years,median,median,range,44,34,59,NA,NA,NA,801,1,special
blchar14948,NCT02912455,unq_updaa10039,tt_2022_108,table_tidier_extraction_second_set,age,NA,years,median,median,range,58,38,75,NA,NA,NA,802,2,special
blchar14953,NCT02998970,updab0044,tt_2022_113,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,64,57,69,NA,NA,NA,807,2,special
blchar14954,NCT02998970,updab0045,tt_2022_114,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,64,56,72,NA,NA,NA,808,2,special
blchar14185,NCT03315143,unq_updaa10052,ub0246,manual_extraction_second_set,age,NA,years,median,median,iqr,69,63,74,NA,NA,NA,17,2,special
blchar14186,NCT03315143,unq_updaa10053,ub0221,manual_extraction_second_set,age,NA,years,median,median,iqr,69,63,74,NA,NA,NA,18,2,special
blchar14191,NCT03521934,unq_updaa10072,ub0356,manual_extraction_second_set,age,NA,years,median,median,iqr,70,64,76,NA,NA,NA,23,2,special
blchar14192,NCT03521934,unq_updaa10073,ub0334,manual_extraction_second_set,age,NA,years,median,median,iqr,69,63,76,NA,NA,NA,24,2,special
blchar02200,UMIN000013356,ac0164,age0096,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,62,56,70,NA,NA,2928,NA,2,special
blchar02201,UMIN000013356,ac0165,age0097,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,55,42,62,NA,NA,2929,NA,2,special
blchar15043,UMIN000014140,updac0158,tt_2022_203,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,61,47,71,NA,NA,NA,897,2,not
blchar15044,UMIN000014140,updac0159,tt_2022_204,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,62,47,68,NA,NA,NA,898,2,not
blchar15047,UMIN000015727,updac0164,tt_2022_207,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,59,46.8,64.3,NA,NA,NA,901,2,special
blchar15048,UMIN000015727,updac0165,tt_2022_208,table_tidier_extraction_second_set,age,NA,years,median,median,iqr,50,48,68.8,NA,NA,NA,902,2,special
blchar02209,NCT01632007,ab0172,age0111,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,58,52,65,NA,NA,2937,NA,3,not
blchar02210,NCT01632007,ab0170,age0112,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,60,53,65,NA,NA,2938,NA,3,not
blchar02211,NCT01632007,ab0171,age0113,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,62,54,67,NA,NA,2939,NA,3,not
blchar01768,NCT01885208,uaa10955,age1024,table_tidier_or_manual_extraction_first_set,age,NA,years,mean,mean,range,56.4,20,82,NA,NA,2453,NA,2,not
blchar02212,NCT02015299,ab0205,age0118,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,63,52,66,NA,NA,2940,NA,2,not
blchar01839,NCT02305381,uaa11111,age1113,table_tidier_or_manual_extraction_first_set,age,NA,years,mean,mean,range,59.1,28,84,NA,NA,2525,NA,3,not
blchar01840,NCT02305381,uaa11112,age1114,table_tidier_or_manual_extraction_first_set,age,NA,years,mean,mean,range,58.5,33,80,NA,NA,2526,NA,3,not
blchar01841,NCT02305381,uaa11110,age1115,table_tidier_or_manual_extraction_first_set,age,NA,years,mean,mean,range,58.8,19,86,NA,NA,2527,NA,3,not
blchar01769,NCT01885208,uaa10954,age1025,table_tidier_or_manual_extraction_first_set,age,NA,years,mean,mean,range,56.7,21,83,NA,NA,2454,NA,2,not
blchar02213,NCT02015299,ab0206,age0119,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,62,56,69,NA,NA,2941,NA,2,not
blchar02216,NCT01195662,uaa10679,age1834,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,57,51,62,NA,NA,2944,NA,2,special
blchar02217,NCT01195662,uaa10677,age1835,table_tidier_or_manual_extraction_first_set,age,NA,years,median,median,iqr,56,50,62,NA,NA,2945,NA,2,special
