var,trl_lbl,data_lvl,lvls,measure,res
age,Total trials,agg,,m,59.12469981025299
age,Total trials,ipd,,m,58.251460707966835
age,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,s,10.785615811087142
age,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,s,11.23868299066923
age,Glucagon-like peptide-1 (GLP-1) analogues,agg,,s,10.356179617934853
age,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,s,11.009739748351548
age,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,s,10.732558889873934
age,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,s,11.17884548230425
age,Total trials,agg,,s,10.688756828791794
age,Total trials,ipd,,s,11.165489036562317
age,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,q05,40.275001766970725
age,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,q05,36.86845451272705
age,Glucagon-like peptide-1 (GLP-1) analogues,agg,,q05,40.38363145828527
age,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,q05,40.01701227778733
age,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,q05,42.91247049201136
age,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,q05,36.412194053096925
age,Total trials,agg,,q05,40.874372307595834
age,Total trials,ipd,,q05,37.58243162037424
age,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,q95,75.67834241739334
age,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,q95,75.06821560835834
age,Glucagon-like peptide-1 (GLP-1) analogues,agg,,q95,74.26659737974805
age,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,q95,76.06795889104069
age,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,q95,78.22346119641571
age,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,q95,75.2293439605906
age,Total trials,agg,,q95,75.95288422161752
age,Total trials,ipd,,q95,75.57129103257911
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,m,30.91983122362869
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,m,31.599999999999998
duration,Glucagon-like peptide-1 (GLP-1) analogues,agg,,m,32.18143459915612
duration,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,m,31.54901960784314
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,m,26.5
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,m,56.825
duration,Total trials,agg,,m,30.698023176550784
duration,Total trials,ipd,,m,38.658899676375405
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,med,24
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,med,24
duration,Glucagon-like peptide-1 (GLP-1) analogues,agg,,med,26
duration,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,med,26
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,med,24
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,med,25
duration,Total trials,agg,,med,24
duration,Total trials,ipd,,med,24
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,q05,12
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,q05,12.2
duration,Glucagon-like peptide-1 (GLP-1) analogues,agg,,q05,12
duration,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,q05,24
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,q05,12
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,q05,17.1
duration,Total trials,agg,,q05,12
duration,Total trials,ipd,,q05,14.200000000000001
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,agg,,q95,54.39999999999998
duration,Dipeptidyl peptidase 4 (DPP-4) inhibitors,ipd,,q95,53.8
duration,Glucagon-like peptide-1 (GLP-1) analogues,agg,,q95,56
duration,Glucagon-like peptide-1 (GLP-1) analogues,ipd,,q95,52
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,agg,,q95,52
duration,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,ipd,,q95,239.2
duration,Total trials,agg,,q95,56
duration,Total trials,ipd,,q95,104
