nct_id,nct_id2,outcome,models,term,estimate,std.error,outcome_method
NCT00838903,NCT00838903,ae_sae,glmnb,arm_f_2_uaa10381,0.064,2.179,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,arm_f_2_uaa10382,-0.761,2.231,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,arm_f_2_uaa10384,1.5,2.211,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,sex,-0.351,0.614,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,age10:arm_f_2_uaa10381,-0.015,0.368,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,age10:arm_f_2_uaa10382,0.068,0.378,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,age10:arm_f_2_uaa10384,-0.322,0.38,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,arm_f_2_uaa10381:sex,-0.288,0.731,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,arm_f_2_uaa10382:sex,0.28,0.726,incident_event
NCT00838903,NCT00838903,ae_sae,glmnb,arm_f_2_uaa10384:sex,-0.346,0.763,incident_event
NCT00838903,NCT00838903,ae_uti,glm,(Intercept),-12.622,1.967,incident_event
NCT00838903,NCT00838903,ae_uti,glm,age10,0.821,0.313,incident_event
NCT00838903,NCT00838903,ae_uti,glm,arm_f_2_uaa10381,4.676,2.268,incident_event
NCT00838903,NCT00838903,ae_uti,glm,arm_f_2_uaa10382,5.012,2.294,incident_event
NCT00838903,NCT00838903,ae_uti,glm,arm_f_2_uaa10384,3.459,2.219,incident_event
NCT00838903,NCT00838903,ae_uti,glm,sex,-1.477,0.67,incident_event
NCT00838903,NCT00838903,ae_uti,glm,age10:arm_f_2_uaa10381,-0.917,0.374,incident_event
NCT00838903,NCT00838903,ae_uti,glm,age10:arm_f_2_uaa10382,-0.95,0.382,incident_event
NCT00838903,NCT00838903,ae_uti,glm,age10:arm_f_2_uaa10384,-0.621,0.361,incident_event
NCT00838903,NCT00838903,ae_uti,glm,arm_f_2_uaa10381:sex,0.284,0.837,incident_event
NCT00838903,NCT00838903,ae_uti,glm,arm_f_2_uaa10382:sex,-0.559,0.913,incident_event
NCT00838903,NCT00838903,ae_uti,glm,arm_f_2_uaa10384:sex,0,0.807,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,(Intercept),-13.924,2.385,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,age10,1.129,0.393,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,arm_f_2_uaa10381,6.099,2.675,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,arm_f_2_uaa10382,6.587,2.7,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,arm_f_2_uaa10384,4.707,2.638,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,sex,-2.183,0.782,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,age10:arm_f_2_uaa10381,-1.222,0.449,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,age10:arm_f_2_uaa10382,-1.278,0.458,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,age10:arm_f_2_uaa10384,-0.879,0.441,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,arm_f_2_uaa10381:sex,0.913,0.937,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,arm_f_2_uaa10382:sex,0.003,1.007,incident_event
NCT00838903,NCT00838903,ae_uti,glmnb,arm_f_2_uaa10384:sex,0.517,0.914,incident_event
NCT00838916,NCT00838916,ae_gi,glm,(Intercept),-6.874,0.895,incident_event
NCT00838916,NCT00838916,ae_gi,glm,age10,-0.067,0.159,incident_event
NCT00838916,NCT00838916,ae_gi,glm,arm_f_2_uaa10386,0.676,1.027,incident_event
NCT00838916,NCT00838916,ae_gi,glm,sex,-0.297,0.305,incident_event
NCT00838916,NCT00838916,ae_gi,glm,age10:arm_f_2_uaa10386,-0.012,0.182,incident_event
NCT00838916,NCT00838916,ae_gi,glm,arm_f_2_uaa10386:sex,-0.088,0.349,incident_event
NCT00838916,NCT00838916,ae_gi,glmnb,(Intercept),-6.89,1.338,incident_event
NCT00838916,NCT00838916,ae_gi,glmnb,age10,0.099,0.234,incident_event
NCT00838916,NCT00838916,ae_gi,glmnb,arm_f_2_uaa10386,4.282,1.612,incident_event
NCT00838916,NCT00838916,ae_gi,glmnb,sex,0.104,0.455,incident_event
NCT00838916,NCT00838916,ae_gi,glmnb,age10:arm_f_2_uaa10386,-0.405,0.283,incident_event
NCT00838916,NCT00838916,ae_gi,glmnb,arm_f_2_uaa10386:sex,-1.12,0.546,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glm,(Intercept),-6.517,0.599,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glm,age10,0.017,0.106,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glm,arm_f_2_uaa10386,-0.432,0.788,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glm,sex,0.021,0.208,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10386,0.031,0.139,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glm,arm_f_2_uaa10386:sex,-0.342,0.269,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glmnb,(Intercept),-6.002,0.997,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glmnb,age10,0.146,0.175,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glmnb,arm_f_2_uaa10386,-0.011,1.238,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glmnb,sex,0.006,0.343,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10386,-0.006,0.218,incident_event
NCT00838916,NCT00838916,ae_hypoglycaemia,glmnb,arm_f_2_uaa10386:sex,-0.715,0.422,incident_event
NCT00838916,NCT00838916,ae_sae,glm,(Intercept),-8.957,1.425,incident_event
NCT00838916,NCT00838916,ae_sae,glm,age10,0.128,0.246,incident_event
NCT00838916,NCT00838916,ae_sae,glm,arm_f_2_uaa10386,-1.854,1.795,incident_event
NCT00838916,NCT00838916,ae_sae,glm,sex,-0.224,0.471,incident_event
NCT00838916,NCT00838916,ae_sae,glm,age10:arm_f_2_uaa10386,0.288,0.306,incident_event
NCT00838916,NCT00838916,ae_sae,glm,arm_f_2_uaa10386:sex,0.376,0.576,incident_event
NCT00838916,NCT00838916,ae_sae,glmnb,(Intercept),-8.956,1.426,incident_event
NCT00838916,NCT00838916,ae_sae,glmnb,age10,0.128,0.246,incident_event
NCT00838916,NCT00838916,ae_sae,glmnb,arm_f_2_uaa10386,-1.856,1.795,incident_event
NCT00838916,NCT00838916,ae_sae,glmnb,sex,-0.224,0.472,incident_event
NCT00838916,NCT00838916,ae_sae,glmnb,age10:arm_f_2_uaa10386,0.288,0.306,incident_event
NCT00838916,NCT00838916,ae_sae,glmnb,arm_f_2_uaa10386:sex,0.377,0.576,incident_event
NCT00838916,NCT00838916,ae_uti,glm,(Intercept),-7.304,1.567,incident_event
NCT00838916,NCT00838916,ae_uti,glm,age10,-0.193,0.284,incident_event
NCT00838916,NCT00838916,ae_uti,glm,arm_f_2_uaa10386,0.33,1.841,incident_event
NCT00838916,NCT00838916,ae_uti,glm,sex,-0.714,0.571,incident_event
NCT00838916,NCT00838916,ae_uti,glm,age10:arm_f_2_uaa10386,0.057,0.335,incident_event
NCT00838916,NCT00838916,ae_uti,glm,arm_f_2_uaa10386:sex,-1.192,0.726,incident_event
NCT00838916,NCT00838916,ae_uti,glmnb,(Intercept),-7.289,1.571,incident_event
NCT00838916,NCT00838916,ae_uti,glmnb,age10,-0.194,0.285,incident_event
NCT00838916,NCT00838916,ae_uti,glmnb,arm_f_2_uaa10386,0.317,1.846,incident_event
NCT00838916,NCT00838916,ae_uti,glmnb,sex,-0.717,0.571,incident_event
NCT00838916,NCT00838916,ae_uti,glmnb,age10:arm_f_2_uaa10386,0.06,0.336,incident_event
NCT00838916,NCT00838916,ae_uti,glmnb,arm_f_2_uaa10386:sex,-1.198,0.727,incident_event
NCT00839527,NCT00839527,ae_gi,glm,(Intercept),-6.75,1.348,incident_event
NCT00839527,NCT00839527,ae_gi,glm,age10,-0.038,0.241,incident_event
NCT00839527,NCT00839527,ae_gi,glm,arm_f_2_uaa10389,-0.445,1.496,incident_event
NCT00839527,NCT00839527,ae_gi,glm,arm_f_2_uaa10390,-1.256,1.553,incident_event
NCT00839527,NCT00839527,ae_gi,glm,sex,-0.747,0.454,incident_event
NCT00839527,NCT00839527,ae_gi,glm,age10:arm_f_2_uaa10389,0.11,0.266,incident_event
NCT00839527,NCT00839527,ae_gi,glm,age10:arm_f_2_uaa10390,0.215,0.275,incident_event
NCT00839527,NCT00839527,ae_gi,glm,arm_f_2_uaa10389:sex,1.025,0.502,incident_event
NCT00839527,NCT00839527,ae_gi,glm,arm_f_2_uaa10390:sex,0.752,0.513,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,(Intercept),-2.899,1.942,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,age10,-0.48,0.347,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,arm_f_2_uaa10389,-2.587,2.243,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,arm_f_2_uaa10390,-4.774,2.27,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,sex,-1.339,0.636,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,age10:arm_f_2_uaa10389,0.558,0.401,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,age10:arm_f_2_uaa10390,0.911,0.403,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,arm_f_2_uaa10389:sex,1.913,0.739,incident_event
NCT00839527,NCT00839527,ae_gi,glmnb,arm_f_2_uaa10390:sex,0.662,0.741,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,(Intercept),-10.379,1.451,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,age10,0.545,0.238,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,arm_f_2_uaa10389,2.157,1.657,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,arm_f_2_uaa10390,3.229,1.584,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,sex,-0.277,0.462,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10389,-0.383,0.276,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10390,-0.419,0.263,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,arm_f_2_uaa10389:sex,0.757,0.529,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glm,arm_f_2_uaa10390:sex,0.021,0.505,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,(Intercept),-10.339,1.859,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,age10,0.659,0.322,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,arm_f_2_uaa10389,4.216,2.125,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,arm_f_2_uaa10390,3.712,2.106,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,sex,-0.469,0.612,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10389,-0.714,0.37,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10390,-0.431,0.365,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,arm_f_2_uaa10389:sex,1.436,0.7,incident_event
NCT00839527,NCT00839527,ae_hypoglycaemia,glmnb,arm_f_2_uaa10390:sex,0.252,0.692,incident_event
NCT00839527,NCT00839527,ae_sae,glm,(Intercept),-14.347,2.97,incident_event
NCT00839527,NCT00839527,ae_sae,glm,age10,0.825,0.446,incident_event
NCT00839527,NCT00839527,ae_sae,glm,arm_f_2_uaa10389,4.338,3.346,incident_event
NCT00839527,NCT00839527,ae_sae,glm,arm_f_2_uaa10390,2.455,3.355,incident_event
NCT00839527,NCT00839527,ae_sae,glm,sex,1.166,1.081,incident_event
NCT00839527,NCT00839527,ae_sae,glm,age10:arm_f_2_uaa10389,-0.62,0.519,incident_event
NCT00839527,NCT00839527,ae_sae,glm,age10:arm_f_2_uaa10390,-0.272,0.512,incident_event
NCT00839527,NCT00839527,ae_sae,glm,arm_f_2_uaa10389:sex,-0.584,1.194,incident_event
NCT00839527,NCT00839527,ae_sae,glm,arm_f_2_uaa10390:sex,-0.522,1.174,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,(Intercept),-14.355,2.973,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,age10,0.826,0.447,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,arm_f_2_uaa10389,4.346,3.349,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,arm_f_2_uaa10390,2.464,3.359,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,sex,1.167,1.082,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,age10:arm_f_2_uaa10389,-0.621,0.519,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,age10:arm_f_2_uaa10390,-0.273,0.513,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,arm_f_2_uaa10389:sex,-0.585,1.195,incident_event
NCT00839527,NCT00839527,ae_sae,glmnb,arm_f_2_uaa10390:sex,-0.523,1.175,incident_event
NCT00839527,NCT00839527,ae_uti,glm,(Intercept),-11.271,3.041,incident_event
NCT00839527,NCT00839527,ae_uti,glm,age10,0.508,0.506,incident_event
NCT00839527,NCT00839527,ae_uti,glm,arm_f_2_uaa10389,5.138,3.387,incident_event
NCT00839527,NCT00839527,ae_uti,glm,arm_f_2_uaa10390,0.086,3.412,incident_event
NCT00839527,NCT00839527,ae_uti,glm,sex,-1.762,1.163,incident_event
NCT00839527,NCT00839527,ae_uti,glm,age10:arm_f_2_uaa10389,-0.907,0.581,incident_event
NCT00839527,NCT00839527,ae_uti,glm,age10:arm_f_2_uaa10390,0.072,0.566,incident_event
NCT00839527,NCT00839527,ae_uti,glm,arm_f_2_uaa10389:sex,0.405,1.333,incident_event
NCT00839527,NCT00839527,ae_uti,glm,arm_f_2_uaa10390:sex,-0.114,1.322,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,(Intercept),-11.286,3.047,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,age10,0.512,0.507,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,arm_f_2_uaa10389,5.164,3.393,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,arm_f_2_uaa10390,0.105,3.42,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,sex,-1.766,1.164,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,age10:arm_f_2_uaa10389,-0.911,0.582,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,age10:arm_f_2_uaa10390,0.069,0.567,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,arm_f_2_uaa10389:sex,0.405,1.334,incident_event
NCT00839527,NCT00839527,ae_uti,glmnb,arm_f_2_uaa10390:sex,-0.113,1.323,incident_event
NCT00849017,NCT00849017,ae_gi,glm,(Intercept),-5.081,0.784,incident_event
NCT00849017,NCT00849017,ae_gi,glm,age10,-0.284,0.152,incident_event
NCT00849017,NCT00849017,ae_gi,glm,arm_f_2_uaa10393,0.056,1.098,incident_event
NCT00849017,NCT00849017,ae_gi,glm,arm_f_2_uaa10394,-1.311,1.219,incident_event
NCT00849017,NCT00849017,ae_gi,glm,sex,-0.754,0.405,incident_event
NCT00849017,NCT00849017,ae_gi,glm,age10:arm_f_2_uaa10393,-0.005,0.216,incident_event
NCT00849017,NCT00849017,ae_gi,glm,age10:arm_f_2_uaa10394,0.207,0.228,incident_event
NCT00849017,NCT00849017,ae_gi,glm,arm_f_2_uaa10393:sex,0.13,0.558,incident_event
NCT00849017,NCT00849017,ae_gi,glm,arm_f_2_uaa10394:sex,0.753,0.552,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,(Intercept),-1.025,1.487,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,age10,-0.708,0.271,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,arm_f_2_uaa10393,-2.718,2.027,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,arm_f_2_uaa10394,-2.465,2.128,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,sex,-1.394,0.629,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,age10:arm_f_2_uaa10393,0.471,0.376,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,age10:arm_f_2_uaa10394,0.38,0.386,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,arm_f_2_uaa10393:sex,0.359,0.892,incident_event
NCT00849017,NCT00849017,ae_gi,glmnb,arm_f_2_uaa10394:sex,1.973,0.877,incident_event
NCT00849017,NCT00849017,ae_sae,glm,(Intercept),-8.593,1.716,incident_event
NCT00849017,NCT00849017,ae_sae,glm,age10,0.131,0.3,incident_event
NCT00849017,NCT00849017,ae_sae,glm,arm_f_2_uaa10393,0.348,2.193,incident_event
NCT00849017,NCT00849017,ae_sae,glm,arm_f_2_uaa10394,-2.314,2.412,incident_event
NCT00849017,NCT00849017,ae_sae,glm,sex,-0.802,0.73,incident_event
NCT00849017,NCT00849017,ae_sae,glm,age10:arm_f_2_uaa10393,-0.094,0.395,incident_event
NCT00849017,NCT00849017,ae_sae,glm,age10:arm_f_2_uaa10394,0.315,0.408,incident_event
NCT00849017,NCT00849017,ae_sae,glm,arm_f_2_uaa10393:sex,1.005,0.955,incident_event
NCT00849017,NCT00849017,ae_sae,glm,arm_f_2_uaa10394:sex,1.435,0.999,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,(Intercept),-8.593,1.717,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,age10,0.131,0.3,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,arm_f_2_uaa10393,0.348,2.194,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,arm_f_2_uaa10394,-2.316,2.413,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,sex,-0.802,0.731,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,age10:arm_f_2_uaa10393,-0.094,0.395,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,age10:arm_f_2_uaa10394,0.315,0.409,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,arm_f_2_uaa10393:sex,1.005,0.955,incident_event
NCT00849017,NCT00849017,ae_sae,glmnb,arm_f_2_uaa10394:sex,1.435,0.999,incident_event
NCT00849056,NCT00849056,ae_gi,glm,(Intercept),-7.015,0.98,incident_event
NCT00849056,NCT00849056,ae_gi,glm,age10,0.095,0.175,incident_event
NCT00849056,NCT00849056,ae_gi,glm,arm_f_2_uaa10397,-0.381,1.329,incident_event
NCT00849056,NCT00849056,ae_gi,glm,sex,-0.539,0.306,incident_event
NCT00849056,NCT00849056,ae_gi,glm,age10:arm_f_2_uaa10397,0.101,0.237,incident_event
NCT00849056,NCT00849056,ae_gi,glm,arm_f_2_uaa10397:sex,-0.234,0.428,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glm,(Intercept),-9.19,2.153,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glm,age10,0.086,0.381,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glm,arm_f_2_uaa10397,2.988,2.535,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glm,sex,0.093,0.732,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10397,-0.435,0.457,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glm,arm_f_2_uaa10397:sex,-0.085,0.905,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glmnb,(Intercept),-8.691,2.79,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glmnb,age10,0.186,0.496,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glmnb,arm_f_2_uaa10397,5.918,3.735,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glmnb,sex,0.038,0.943,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10397,-0.907,0.669,incident_event
NCT00849056,NCT00849056,ae_hypoglycaemia,glmnb,arm_f_2_uaa10397:sex,-0.541,1.301,incident_event
NCT00849056,NCT00849056,ae_uti,glm,(Intercept),-7.363,1.967,incident_event
NCT00849056,NCT00849056,ae_uti,glm,age10,-0.092,0.364,incident_event
NCT00849056,NCT00849056,ae_uti,glm,arm_f_2_uaa10397,-2.681,2.797,incident_event
NCT00849056,NCT00849056,ae_uti,glm,sex,-1.707,0.803,incident_event
NCT00849056,NCT00849056,ae_uti,glm,age10:arm_f_2_uaa10397,0.503,0.498,incident_event
NCT00849056,NCT00849056,ae_uti,glm,arm_f_2_uaa10397:sex,0.135,1.052,incident_event
NCT00849056,NCT00849056,ae_uti,glmnb,(Intercept),-7.361,1.967,incident_event
NCT00849056,NCT00849056,ae_uti,glmnb,age10,-0.092,0.364,incident_event
NCT00849056,NCT00849056,ae_uti,glmnb,arm_f_2_uaa10397,-2.682,2.797,incident_event
NCT00849056,NCT00849056,ae_uti,glmnb,sex,-1.707,0.803,incident_event
NCT00849056,NCT00849056,ae_uti,glmnb,age10:arm_f_2_uaa10397,0.503,0.498,incident_event
NCT00849056,NCT00849056,ae_uti,glmnb,arm_f_2_uaa10397:sex,0.135,1.053,incident_event
NCT00976391,NCT00976391,ae_gi,glm,(Intercept),-8.069,0.979,incident_event
NCT00976391,NCT00976391,ae_gi,glm,age10,0.24,0.166,incident_event
NCT00976391,NCT00976391,ae_gi,glm,arm_f_2_uaa10467,2.621,1.171,incident_event
NCT00976391,NCT00976391,ae_gi,glm,sex,-0.393,0.302,incident_event
NCT00976391,NCT00976391,ae_gi,glm,age10:arm_f_2_uaa10467,-0.272,0.202,incident_event
NCT00976391,NCT00976391,ae_gi,glm,arm_f_2_uaa10467:sex,-0.197,0.367,incident_event
NCT00976391,NCT00976391,ae_gi,glmnb,(Intercept),-8.069,1.212,incident_event
NCT00976391,NCT00976391,ae_gi,glmnb,age10,0.343,0.209,incident_event
NCT00976391,NCT00976391,ae_gi,glmnb,arm_f_2_uaa10467,4.931,1.54,incident_event
NCT00976391,NCT00976391,ae_gi,glmnb,sex,-0.701,0.373,incident_event
