nct_id,trial_lbl,arm_id_unq,arm_label
NCT01890122,Alogliptin 12.5 mg BID and Metformin HCl 500 mg FDC BID,uaa10958,alogliptin_metformin
NCT01890122,Metformin HCl 500 mg BID,uaa10959,metformin
NCT01890122,Placebo BID,uaa10960,placebo
NCT02152371,TR1_LY2189265-1.5mg,uaa11060,dulaglutide
NCT02152371,TR2_PLACEBO,uaa11061,placebo
NCT02284893,SAXA + DAPA + MET,uaa11104,dapagliflozin_saxagliptin
NCT02284893,SITA + MET,uaa11105,sitagliptin
NCT02471404,Dapagliflozin 10mg,uaa11141,dapagliflozin
NCT02471404,Saxagliptin 5mg and Dapagliflozin 10mg,uaa11142,dapagliflozin_saxagliptin
NCT02471404,Glimepiride 1mg/2mg/4mg,uaa11143,glimepiride
NCT02489968,(DB) EMPA 10MG + PLACEBO,uaa11145,empagliflozin
NCT02489968,(DB) EMPA 25MG + PLACEBO,uaa11146,empagliflozin
NCT02489968,(DB) EMPA 10MG + LINA 5MG,uaa11147,empagliflozin_linagliptin
NCT02489968,(DB) EMPA 25MG + LINA 5MG,uaa11148,empagliflozin_linagliptin
NCT02597049,TR2_LY2189265-0.75mg,uaa11175,dulaglutide
NCT02597049,TR1_LY2189265-1.5mg,uaa11176,dulaglutide
NCT02597049,TR3_PLACEBO,uaa11177,placebo
NCT02681094,Dapagliflozin 5mg + saxagliptin placebo + metformin,uaa11197,dapagliflozin
NCT02681094,Dapagliflozin 5mg + saxagliptin 5mg + metformin,uaa11198,dapagliflozin_saxagliptin
NCT02681094,Saxagliptin 5mg + dapagliflozin placebo + metformin,uaa11199,saxagliptin
NCT00654381,VOG - VOG - LINA 5MG,uaa10267,voglibose
NCT00654381,PLACEBO - LINA 5MG - LINA 5MG,uaa10265,placebo
NCT00654381,PLACEBO - LINA 10MG - LINA 10MG,uaa10265,placebo
NCT00654381,VOG - VOG - LINA 10MG,uaa10267,voglibose
NCT00654381,LINA 10MG - LINA 10MG - LINA 10MG,uaa10263,linagliptin
NCT00654381,LINA 5MG - LINA 5MG - LINA 5MG,uaa10264,linagliptin
NCT01064687,Placebo/LY2189265 0.75 mg,uaa10531,placebo
NCT01064687,Placebo/LY2189265 1.5 mg,uaa10531,placebo
