nct_id,arm_id_unq,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,new_note
NCT00135330,uaa10050,exenatide,10,microgram,bd,rosiglitazone,4,milligram,bd,
NCT00135330,uaa10051,rosiglitazone,4,milligram,bd,,,,,
NCT00135330,uaa10052,,,,,,,,,
NCT00286429,uaa10053,alogliptin,12.5,milligram,od,,,,,
NCT00286429,uaa10054,alogliptin,25,milligram,od,,,,,
NCT00286429,uaa10055,placebo,,,,,,,,
NCT00286429,uaa10056,,,,,,,,,
NCT00286442,uaa10057,alogliptin,12.5,milligram,od,,,,,
NCT00286442,uaa10058,alogliptin,25,milligram,od,,,,,
NCT00286442,uaa10059,placebo,,,,,,,,
NCT00286442,uaa10060,,,,,,,,,
NCT00286455,uaa10061,alogliptin,12.5,milligram,od,,,,,
NCT00286455,uaa10062,alogliptin,25,milligram,od,,,,,
NCT00286455,uaa10063,placebo,,,,,,,,
NCT00286455,uaa10064,,,,,,,,,
NCT00286468,uaa10065,alogliptin,12.5,milligram,od,,,,,
NCT00286468,uaa10066,alogliptin,25,milligram,od,,,,,
NCT00286468,uaa10067,placebo,,,,,,,,
NCT00286468,uaa10068,,,,,,,,,
NCT00286494,uaa10069,alogliptin,12.5,milligram,od,,,,,
NCT00286494,uaa10070,alogliptin,25,milligram,od,,,,,
NCT00286494,uaa10071,placebo,,,,,,,,
NCT00286494,uaa10072,,,,,,,,,
NCT00289848,uaa10073,placebo,,,,,,,,
NCT00289848,uaa10074,sitagliptin,100,milligram,od,,,,,
NCT00289848,uaa10075,,,,,,,,,
NCT00294723,uaa10076,glimepiride,8,milligram,od,,,,,
NCT00294723,uaa10077,,,,,,,,,
NCT00294723,uaa10078,liraglutide,1.2,milligram,od,,,,,
NCT00294723,uaa10079,liraglutide,1.8,milligram,od,,,,,
NCT00294723,uaa10080,,,,,,,,,
NCT00295633,uaa10081,placebo,,,,,,,,
NCT00295633,uaa10082,saxagliptin,2.5,milligram,od,,,,,
NCT00295633,uaa10083,saxagliptin,5,milligram,od,,,,,
NCT00295633,uaa10084,,,,,,,,,
NCT00305604,uaa10085,placebo,,,,,,,,
NCT00305604,uaa10086,sitagliptin,100,milligram,od,,,,,
NCT00305604,uaa10087,,,,,,,,,
NCT00306384,uaa10088,alogliptin,12.5,milligram,od,,,,,
NCT00306384,uaa10089,alogliptin,25,milligram,od,,,,,
NCT00306384,uaa10090,,,,,,,,,
NCT00308139,uaa10091,exenatide,10,microgram,bd,,,,,
NCT00308139,uaa10092,exenatide,2,milligram,weekly,,,,,
NCT00308139,uaa10093,,,,,,,,,
NCT00308139,uaa10094,,,,,,,,,
NCT00313313,uaa10095,placebo,,,,,,,,
NCT00313313,uaa10096,saxagliptin,2.5,milligram,od,,,,,
NCT00313313,uaa10097,saxagliptin,5,milligram,od,,,,,
NCT00313313,uaa10098,,,,,,,,,
NCT00318461,uaa10103,glimepiride,4,milligram,od,,,,,
NCT00318461,uaa10104,liraglutide,0.6,milligram,od,,,,,
NCT00318461,uaa10105,liraglutide,1.2,milligram,od,,,,,
NCT00318461,uaa10106,liraglutide,1.8,milligram,od,,,,,
NCT00318461,uaa10107,placebo,,,,,,,,
NCT00318461,uaa10108,,,,,,,,,
NCT00327015,uaa10109,metformin,500,milligram,od,,,,,
NCT00327015,uaa10110,saxagliptin,10,milligram,od,metformin,500,milligram,od,
NCT00327015,uaa10111,saxagliptin,5,milligram,od,metformin,500,milligram,od,
NCT00327015,uaa10112,saxagliptin,10,milligram,od,,,,,
NCT00327015,uaa10113,,,,,,,,,
NCT00328627,uaa10114,alogliptin,12.5,milligram,od,,,,,
NCT00328627,uaa10115,alogliptin,25,milligram,od,,,,,
NCT00328627,uaa10116,alogliptin,12.5,milligram,od,pioglitazone,15,milligram,od,
NCT00328627,uaa10117,alogliptin,12.5,milligram,od,pioglitazone,15|30|45,milligram,od,
NCT00328627,uaa10118,alogliptin,12.5,milligram,od,pioglitazone,30,milligram,od,
NCT00328627,uaa10119,alogliptin,12.5,milligram,od,pioglitazone,45,milligram,od,
NCT00328627,uaa10120,alogliptin,25,milligram,od,pioglitazone,15,milligram,od,
NCT00328627,uaa10121,alogliptin,25,milligram,od,pioglitazone,15|30|45,milligram,od,
NCT00328627,uaa10122,alogliptin,25,milligram,od,pioglitazone,30,milligram,od,
NCT00328627,uaa10123,alogliptin,25,milligram,od,pioglitazone,45,milligram,od,
NCT00328627,uaa10124,pioglitazone,15,milligram,od,,,,,
NCT00328627,uaa10125,pioglitazone,15|30|45,milligram,od,,,,,
NCT00328627,uaa10126,pioglitazone,30,milligram,od,,,,,
NCT00328627,uaa10127,pioglitazone,45,milligram,od,,,,,
NCT00328627,uaa10128,placebo,,,,,,,,
NCT00328627,uaa10129,,,,,,,,,
NCT00337610,uaa10130,placebo,,,,,,,,
NCT00337610,uaa10131,sitagliptin,100,milligram,od,,,,,
NCT00337610,uaa10132,,,,,,,,,
NCT00350779,uaa10133,placebo,,,,,,,,
NCT00350779,uaa10134,sitagliptin,100,milligram,od,,,,,
NCT00350779,uaa10135,,,,,,,,,
NCT00359762,uaa10136,exenatide,10,microgram,od,,,,,
NCT00359762,uaa10137,exenatide,10,microgram,od,glimepiride,1,milligram,od,
NCT00359762,uaa10138,exenatide,10,microgram,od,pioglitazone|rosiglitazone,15,milligram,od,
NCT00359762,uaa10139,glimepiride,1,milligram,od,,,,,
NCT00359762,uaa10140,,,,,,,,,
NCT00359762,uaa10141,,,,,,,,,
NCT00359762,uaa10142,,,,,,,,,
NCT00360334,uaa10143,exenatide,10,microgram,bd,,,,,
NCT00360334,uaa10144,insulin glargine,as per bm,units,od,,,,,
NCT00360334,uaa10145,,,,,,,,,
NCT00372060,uaa10146,,,,,,,,,
NCT00372060,uaa10147,placebo,,,,,,,,
NCT00372060,uaa10148,sitagliptin,50,milligram,od,,,,,
NCT00372060,uaa10149,,,,,,,,,
NCT00375492,uaa10150,exenatide,10,microgram,bd,,,,,
NCT00375492,uaa10151,placebo,,,,,,,,
NCT00375492,uaa10152,,,,,,,,,
NCT00393718,uaa10153,glibenclamide,1.25|2.5,milligram,od,,,,,
NCT00393718,uaa10154,liraglutide,0.9,milligram,od,,,,,
NCT00393718,uaa10155,,,,,,,,,
NCT00395343,uaa10156,placebo,,,,,,,,
NCT00395343,uaa10157,sitagliptin,100,milligram,od,,,,,
NCT00395343,uaa10158,,,,,,,,,
NCT00395512,uaa10159,alogliptin,25,milligram,od,,,,,
NCT00395512,uaa10160,alogliptin,12.5,milligram,od,pioglitazone,30,milligram,od,
NCT00395512,uaa10161,alogliptin,25,milligram,od,pioglitazone,30,milligram,od,
NCT00395512,uaa10162,pioglitazone,30,milligram,od,,,,,
NCT00395512,uaa10163,,,,,,,,,
NCT00395746,uaa10164,liraglutide,0.6,milligram,od,,,,,
NCT00395746,uaa10165,liraglutide,0.9,milligram,od,,,,,
NCT00395746,uaa10166,placebo,,,,,,,,
NCT00395746,uaa10167,,,,,,,,,
NCT00397631,uaa10168,placebo,,,,,,,,
NCT00397631,uaa10169,sitagliptin,100,milligram,od,,,,,
NCT00397631,uaa10170,,,,,,,,,
NCT00411411,uaa10171,placebo,,,,,,,,
NCT00411411,uaa10172,sitagliptin,100,milligram,od,,,,,
NCT00411411,uaa10173,,,,,,,,,
NCT00411554,uaa10174,sitagliptin,50,milligram,od,,,,,
NCT00411554,uaa10175,,,,,,,,,
NCT00411554,uaa10176,voglibose,0.2,milligram,tds,,,,,
NCT00432276,uaa10177,alogliptin,25,milligram,od,,,,,
NCT00432276,uaa10178,placebo,,,,,,,,
NCT00432276,uaa10179,,,,,,,,,
NCT00434954,uaa10180,exenatide,10,microgram,bd,,,,,
NCT00434954,uaa10181,insulin mixed,as per bm,units,bd,,,,,
NCT00434954,uaa10182,,,,,,,,,
NCT00449930,uaa10183,metformin,500,milligram,od,,,,,
NCT00449930,uaa10184,sitagliptin,100,milligram,od,,,,,
NCT00449930,uaa10185,,,,,,,,,
NCT00482729,uaa10186,placebo,,,,,,,,
NCT00482729,uaa10187,sitagliptin,50,milligram,bd,,,,,
NCT00482729,uaa10188,,,,,,,,,
NCT00509236,uaa10189,glipizide,2.5,milligram,od,,,,,
NCT00509236,uaa10190,sitagliptin,25,milligram,od,,,,,
NCT00509236,uaa10191,,,,,,,,,
NCT00509262,uaa10192,glipizide,2.5,milligram,od,,,,,
NCT00509262,uaa10193,sitagliptin,25|50,milligram,od,,,,,
NCT00509262,uaa10194,,,,,,,,,
NCT00516074,uaa10195,exenatide,10,microgram,bd,,,,,
NCT00516074,uaa10196,placebo,,,,,,,,
NCT00516074,uaa10197,,,,,,,,,
NCT00518882,uaa10198,exenatide,10,microgram,bd,,,,,
NCT00518882,uaa10199,liraglutide,1.8,milligram,od,,,,,
NCT00518882,uaa10200,,,,,,,,,
NCT00528372,uaa10201,dapagliflozin,10,milligram,od,,,,,
NCT00528372,uaa10202,dapagliflozin,2.5,milligram,od,,,,,
NCT00528372,uaa10203,dapagliflozin,5,milligram,od,,,,,
NCT00528372,uaa10204,placebo,,,,,,,,
NCT00528372,uaa10205,,,,,,,,,
NCT00528879,uaa10206,dapagliflozin,10,milligram,od,,,,,
NCT00528879,uaa10207,dapagliflozin,2.5,milligram,od,,,,,
NCT00528879,uaa10208,dapagliflozin,5,milligram,od,,,,,
NCT00528879,uaa10209,placebo,,,,,,,,
NCT00528879,uaa10210,,,,,,,,,
NCT00541775,uaa10211,placebo,,,,,,,,
NCT00541775,uaa10212,rosiglitazone,8,milligram,od,,,,,
NCT00541775,uaa10213,sitagliptin,100,milligram,od,,,,,
NCT00541775,uaa10214,,,,,,,,,
NCT00575588,uaa10215,glipizide,5,milligram,od,,,,,
NCT00575588,uaa10216,saxagliptin,5,milligram,od,,,,,
NCT00575588,uaa10217,,,,,,,,,
NCT00577824,uaa10218,exenatide,10,microgram,bd,,,,,
NCT00577824,uaa10219,exenatide,5,microgram,bd,,,,,
NCT00577824,uaa10220,placebo,,,,,,,,
NCT00577824,uaa10221,,,,,,,,,
NCT00601250,uaa10222,linagliptin,5,milligram,od,,,,,
NCT00601250,uaa10223,placebo,,,,,,,,
NCT00601250,uaa10224,,,,,,,,,
NCT00602472,uaa10225,linagliptin,5,milligram,od,,,,,
NCT00602472,uaa10226,placebo,,,,,,,,
NCT00602472,uaa10227,,,,,,,,,
NCT00603239,uaa10228,exenatide,10,microgram,bd,,,,,
NCT00603239,uaa10229,placebo,,,,,,,,
NCT00603239,uaa10230,,,,,,,,,
NCT00614120,uaa10231,glimepiride,4,milligram,od,,,,,
NCT00614120,uaa10232,liraglutide,0.6,milligram,od,,,,,
NCT00614120,uaa10233,liraglutide,1.2,milligram,od,,,,,
NCT00614120,uaa10234,liraglutide,1.8,milligram,od,,,,,
NCT00614120,uaa10235,,,,,,,,,
NCT00614939,uaa10236,placebo,,,,,,,,
NCT00614939,uaa10237,saxagliptin,2.5,milligram,od,,,,,
NCT00614939,uaa10238,,,,,,,,,
NCT00620282,uaa10239,glimepiride,4,milligram,od,,,,,
NCT00620282,uaa10240,liraglutide,1.8,milligram,od,,,,,
NCT00620282,uaa10241,placebo,,,,,,,,
NCT00620282,uaa10242,,,,,,,,,
NCT00621140,uaa10243,linagliptin,5,milligram,od,,,,,
NCT00621140,uaa10244,placebo,,,,,,,,
NCT00621140,uaa10245,,,,,,,,,
NCT00622284,uaa10246,glimepiride,1,milligram,od,,,,,
NCT00622284,uaa10247,linagliptin,5,milligram,od,,,,,
NCT00622284,uaa10248,,,,,,,,,
NCT00637273,uaa10249,exenatide,2,milligram,weekly,,,,,
NCT00637273,uaa10250,pioglitazone,45,milligram,od,,,,,
NCT00637273,uaa10251,sitagliptin,100,milligram,od,,,,,
NCT00637273,uaa10252,,,,,,,,,
NCT00641043,uaa10253,linagliptin,5,milligram,od,,,,,
NCT00641043,uaa10254,placebo,,,,,,,,
NCT00641043,uaa10255,,,,,,,,,
NCT00641056,uaa10256,exenatide,2,milligram,weekly,,,,,
NCT00641056,uaa10257,insulin glargine,as per bm,units,daily,,,,,
NCT00641056,uaa10258,,,,,,,,,
NCT00643851,uaa10259,dapagliflozin,5,milligram,od,,,,,
NCT00643851,uaa10260,dapagliflozin,5,milligram,od,metformin,500,milligram,od,
NCT00643851,uaa10261,metformin,500,milligram,od,,,,,
NCT00643851,uaa10262,,,,,,,,,
NCT00654381,uaa10263,linagliptin,10,milligram,od,,,,,
NCT00654381,uaa10264,linagliptin,5,milligram,od,,,,,
NCT00654381,uaa10265,placebo,,,,,,,,
NCT00654381,uaa10266,,,,,,,,,
NCT00654381,uaa10267,voglibose,0.2,milligram,tds,,,,,
NCT00655863,uaa10268,alogliptin,25,milligram,od,,,,,
NCT00655863,uaa10269,alogliptin,25,milligram,od,pioglitazone,30,milligram,od,
NCT00655863,uaa10270,placebo,,,,,,,,
NCT00655863,uaa10271,,,,,,,,,
NCT00660907,uaa10272,dapagliflozin,2.5|5|10,milligram,od,,,,,
NCT00660907,uaa10273,glipizide,5|10|20,milligram,od,,,,,
NCT00660907,uaa10274,,,,,,,,,
NCT00661362,uaa10275,placebo,,,,,,,,
NCT00661362,uaa10276,saxagliptin,5,milligram,od,,,,,
NCT00661362,uaa10277,,,,,,,,,
NCT00666458,uaa10278,saxagliptin,5,milligram,od,,,,,
NCT00666458,uaa10279,sitagliptin,100,milligram,od,,,,,
NCT00666458,uaa10280,,,,,,,,,
NCT00667732,uaa10281,exenatide,10,microgram,bd,,,,,
NCT00667732,uaa10282,,,,,,,,,
NCT00667732,uaa10283,placebo,,,,,,,,
NCT00667732,uaa10284,,,,,,,,,
NCT00673231,uaa10285,dapagliflozin,10,milligram,od,,,,,
NCT00673231,uaa10286,dapagliflozin,2.5,milligram,od,,,,,
NCT00673231,uaa10287,dapagliflozin,5,milligram,od,,,,,
NCT00673231,uaa10288,placebo,,,,,,,,
NCT00673231,uaa10289,,,,,,,,,
NCT00676338,uaa10290,exenatide,2,milligram,weekly,,,,,
NCT00676338,uaa10291,metformin,1000,milligram,bd,,,,,
NCT00676338,uaa10292,pioglitazone,45,milligram,od,,,,,
NCT00676338,uaa10293,sitagliptin,100,milligram,od,,,,,
NCT00676338,uaa10294,,,,,,,,,
NCT00680745,uaa10295,dapagliflozin,10,milligram,od,,,,,
NCT00680745,uaa10296,dapagliflozin,2.5,milligram,od,,,,,
NCT00680745,uaa10297,dapagliflozin,5,milligram,od,,,,,
NCT00680745,uaa10298,placebo,,,,,,,,
NCT00680745,uaa10299,,,,,,,,,
NCT00683878,uaa10300,dapagliflozin,10,milligram,od,,,,,
NCT00683878,uaa10301,dapagliflozin,5,milligram,od,,,,,
NCT00683878,uaa10302,placebo,,,,,,,,
NCT00683878,uaa10303,,,,,,,,,
NCT00698932,uaa10307,placebo,,,,,,,,
NCT00698932,uaa10308,saxagliptin,5,milligram,od,,,,,
NCT00698932,uaa10309,,,,,,,,,
NCT00700817,uaa10310,liraglutide,1.2,milligram,od,,,,,
NCT00700817,uaa10311,liraglutide,1.8,milligram,od,,,,,
NCT00700817,uaa10312,sitagliptin,100,milligram,od,,,,,
NCT00700817,uaa10313,,,,,,,,,
NCT00701090,uaa10314,glimepiride,1,milligram,od,,,,,
NCT00701090,uaa10315,sitagliptin,100,milligram,od,,,,,
NCT00701090,uaa10316,,,,,,,,,
NCT00707031,uaa10317,exenatide,10,microgram,bd,,,,,
NCT00707031,uaa10318,lixisenatide,20,microgram,od,,,,,
NCT00707031,uaa10319,,,,,,,,,
NCT00707993,uaa10320,alogliptin,25,milligram,od,,,,,
NCT00707993,uaa10321,glipizide,5,milligram,od,,,,,
NCT00707993,uaa10322,,,,,,,,,
NCT00713830,uaa10326,lixisenatide,20,microgram,od,,,,,
NCT00713830,uaa10327,placebo,,,,,,,,
NCT00713830,uaa10328,,,,,,,,,
NCT00715624,uaa10329,lixisenatide,20,microgram,od,,,,,
NCT00715624,uaa10330,placebo,,,,,,,,
NCT00715624,uaa10331,,,,,,,,,
NCT00722371,uaa10332,pioglitazone,15,milligram,od,,,,,
NCT00722371,uaa10333,pioglitazone,30,milligram,od,,,,,
NCT00722371,uaa10334,pioglitazone,45,milligram,od,,,,,
NCT00722371,uaa10335,sitagliptin,100,milligram,od,pioglitazone,15,milligram,od,
NCT00722371,uaa10336,sitagliptin,100,milligram,od,pioglitazone,30,milligram,od,
NCT00722371,uaa10337,sitagliptin,100,milligram,od,pioglitazone,45,milligram,od,
NCT00722371,uaa10338,sitagliptin,100,milligram,od,,,,,
NCT00722371,uaa10339,,,,,,,,,
NCT00740051,uaa10340,linagliptin,5,milligram,od,,,,,
NCT00740051,uaa10341,placebo,,,,,,,,
NCT00740051,uaa10342,,,,,,,,,
NCT00751114,uaa10343,insulin glargine,as per bm,units,,,,,,
NCT00751114,uaa10344,sitagliptin,100,milligram,od,,,,,
NCT00751114,uaa10345,,,,,,,,,
NCT00757588,uaa10346,placebo,,,,,,,,
NCT00757588,uaa10347,saxagliptin,5,milligram,od,,,,,
NCT00757588,uaa10348,,,,,,,,,
NCT00763815,uaa10352,lixisenatide,20,microgram,od,,,,,
NCT00763815,uaa10353,placebo,,,,,,,,
NCT00763815,uaa10354,,,,,,,,,
NCT00765817,uaa10355,exenatide,10,microgram,bd,,,,,
NCT00765817,uaa10356,placebo,,,,,,,,
NCT00765817,uaa10357,,,,,,,,,
NCT00790205,uaa10358,placebo,,,,,,,,
NCT00790205,uaa10359,sitagliptin,100,milligram,od,,,,,
NCT00790205,uaa10360,,,,,,,,,
NCT00798161,uaa10361,linagliptin,5,milligram,od,,,,,
NCT00798161,uaa10362,linagliptin,2.5,milligram,od,metformin,1000,milligram,bd,
NCT00798161,uaa10363,linagliptin,2.5,milligram,od,metformin,500,milligram,bd,
NCT00798161,uaa10364,metformin,1000,milligram,bd,,,,,
NCT00798161,uaa10365,metformin,500,milligram,bd,,,,,
NCT00798161,uaa10366,placebo,,,,,,,,
NCT00798161,uaa10367,,,,,,,,,
NCT00800683,uaa10368,linagliptin,5,milligram,od,,,,,
NCT00800683,uaa10369,placebo,,,,,,,,
NCT00800683,uaa10370,,,,,,,,,
NCT00813995,uaa10371,placebo,,,,,,,,
NCT00813995,uaa10372,sitagliptin,100,milligram,od,,,,,
NCT00813995,uaa10373,,,,,,,,,
NCT00819091,uaa10374,linagliptin,5,milligram,od,,,,,
NCT00819091,uaa10375,placebo,,,,,,,,
NCT00819091,uaa10376,,,,,,,,,
NCT00837577,uaa10377,,,,,,,,,
NCT00837577,uaa10378,placebo,,,,,,,,
NCT00837577,uaa10379,sitagliptin,50,milligram,od,,,,,
NCT00837577,uaa10380,,,,,,,,,
NCT00838903,uaa10381,albiglutide,30,milligram,weekly,,,,,
NCT00838903,uaa10382,glimepiride,2,milligram,od,,,,,
NCT00838903,uaa10383,placebo,,,,,,,,
NCT00838903,uaa10384,sitagliptin,100,milligram,od,,,,,
NCT00838903,uaa10385,,,,,,,,,
NCT00838916,uaa10386,albiglutide,30,milligram,weekly,,,,,
NCT00838916,uaa10387,insulin glargine,10,units,od,,,,,
NCT00838916,uaa10388,,,,,,,,,
NCT00839527,uaa10389,albiglutide,30,milligram,weekly,,,,,
NCT00839527,uaa10390,pioglitazone,30,milligram,od,,,,,
NCT00839527,uaa10391,placebo,,,,,,,,
NCT00839527,uaa10392,,,,,,,,,
NCT00849017,uaa10393,albiglutide,30,milligram,weekly,,,,,
NCT00849017,uaa10394,albiglutide,50,milligram,weekly,,,,,
NCT00849017,uaa10395,placebo,,,,,,,,
NCT00849017,uaa10396,,,,,,,,,
NCT00849056,uaa10397,albiglutide,30,milligram,weekly,,,,,
NCT00849056,uaa10398,placebo,,,,,,,,
NCT00849056,uaa10399,,,,,,,,,
NCT00855166,uaa10400,dapagliflozin,10,milligram,od,,,,,
NCT00855166,uaa10401,placebo,,,,,,,,
NCT00855166,uaa10402,,,,,,,,,
NCT00856284,uaa10403,alogliptin,12.5,milligram,od,,,,,
NCT00856284,uaa10404,alogliptin,25,milligram,od,,,,,
NCT00856284,uaa10405,glipizide,5,milligram,od,,,,,
NCT00856284,uaa10406,,,,,,,,,
NCT00859898,uaa10407,dapagliflozin,10,milligram,od,,,,,
NCT00859898,uaa10408,dapagliflozin,10,milligram,od,metformin,500,milligram,od,
NCT00859898,uaa10409,metformin,500,milligram,od,,,,,
NCT00859898,uaa10410,,,,,,,,,
NCT00866658,uaa10411,lixisenatide,20,microgram,od,,,,,
NCT00866658,uaa10412,placebo,,,,,,,,
NCT00866658,uaa10413,,,,,,,,,
NCT00870194,uaa10414,placebo,,,,,,,,
NCT00870194,uaa10415,sitagliptin,100,milligram,od,,,,,
NCT00870194,uaa10416,,,,,,,,,
NCT00875394,uaa10417,metformin,850,milligram,bd,,,,,
NCT00875394,uaa10418,other_oad,,,,,,,,
NCT00875394,uaa10419,sitagliptin,100,milligram,od,,,,,
NCT00875394,uaa10420,,,,,,,,,
NCT00877890,uaa10421,exenatide,10,microgram,bd,,,,,
NCT00877890,uaa10422,exenatide,2,milligram,weekly,,,,,
NCT00877890,uaa10423,,,,,,,,,
NCT00885352,uaa10424,placebo,,,,,,,,
NCT00885352,uaa10425,sitagliptin,100,milligram,od,,,,,
NCT00885352,uaa10426,,,,,,,,,
NCT00885378,uaa10427,placebo,,,,,,,,
NCT00885378,uaa10428,saxagliptin,2.5,milligram,od,,,,,
NCT00885378,uaa10429,,,,,,,,,
NCT00917267,uaa10434,exenatide,10,microgram,bd,,,,,
NCT00917267,uaa10435,exenatide,2,milligram,weekly,,,,,
NCT00917267,uaa10436,,,,,,,,,
NCT00918879,uaa10437,placebo,,,,,,,,
NCT00918879,uaa10438,saxagliptin,5,milligram,od,,,,,
NCT00918879,uaa10439,,,,,,,,,
NCT00935532,uaa10440,exenatide,2,milligram,weekly,,,,,
NCT00935532,uaa10441,insulin glargine,as per bm,units,od,,,,,
NCT00935532,uaa10442,,,,,,,,,
NCT00954447,uaa10443,linagliptin,5,milligram,od,,,,,
NCT00954447,uaa10444,placebo,,,,,,,,
NCT00954447,uaa10445,,,,,,,,,
NCT00960076,uaa10446,metformin,1000,milligram,bd,,,,,
NCT00960076,uaa10447,saxagliptin,5,milligram,od,,,,,
NCT00960076,uaa10448,,,,,,,,,
NCT00960661,uaa10449,exenatide,10,microgram,od,,,,,
NCT00960661,uaa10450,,,,,,,,,
NCT00960661,uaa10451,insulin lispro,as per bm,units,tds,,,,,
NCT00960661,uaa10452,,,,,,,,,
NCT00968708,uaa10453,alogliptin,25,milligram,od,,,,,
NCT00968708,uaa10454,placebo,,,,,,,,
NCT00968708,uaa10455,,,,,,,,,
NCT00968812,uaa10456,canagliflozin,100,milligram,od,,,,,
NCT00968812,uaa10457,canagliflozin,300,milligram,od,,,,,
NCT00968812,uaa10458,glimepiride,1,milligram,od,,,,,
NCT00968812,uaa10459,,,,,,,,,
NCT00974090,uaa10460,,,,,,,,,
NCT00974090,uaa10461,placebo,,,,,,,,
NCT00974090,uaa10462,teneligliptin,20,milligram,od,,,,,
NCT00974090,uaa10463,,,,,,,,,
NCT00975286,uaa10464,lixisenatide,20,microgram,od,,,,,
NCT00975286,uaa10465,placebo,,,,,,,,
NCT00975286,uaa10466,,,,,,,,,
NCT00976391,uaa10467,albiglutide,30,milligram,weekly,,,,,
NCT00976391,uaa10468,insulin lispro,as per bm,units,,,,,,
NCT00976391,uaa10469,,,,,,,,,
NCT00976937,uaa10470,lixisenatide,20,microgram,od,,,,,
NCT00976937,uaa10471,sitagliptin,100,milligram,od,,,,,
NCT00976937,uaa10472,,,,,,,,,
NCT00984867,uaa10473,dapagliflozin,10,milligram,od,,,,,
NCT00984867,uaa10474,placebo,,,,,,,,
NCT00984867,uaa10475,,,,,,,,,
