nct_id,n,amputation,dka,gi,hypoglycaemia,sae,uti
NCT00707993,441,0,0,79/110860 (26.03 py) [17.9%],<10/127705 (2 py) [1.6%],30/123366 (8.88 py) [6.8%],<10/127254 (2.01 py) [1.6%]
NCT00798161,791,0,0,109/115285 (34.53 py) [13.8%],11/126220 (3.18 py) [1.4%],45/125755 (13.07 py) [5.7%],<10/126409 (1.73 py) [0.8%]
NCT00915772,567,-,-,-,-,77/184607 (15.23 py) [13.6%],-
NCT00954447,1256,0,0,177/480854 (13.44 py) [14.1%],288/434916 (24.19 py) [22.9%],83/518154 (5.85 py) [6.6%],15/536340 (1.02 py) [1.2%]
NCT00968708,5381,0,<10/2959107 (0.02 py) [0%],966/2550134 (13.84 py) [18%],332/2824073 (4.29 py) [6.2%],1831/2306424 (29 py) [34%],77/2932471 (0.96 py) [1.4%]
NCT01023581,784,0,0,105/120101 (31.93 py) [13.4%],<10/133484 (0.27 py) [0.1%],16/132494 (4.41 py) [2%],<10/132922 (1.92 py) [0.9%]
NCT01064687,978,0,0,357/225081 (57.93 py) [36.5%],<10/333777 (0.33 py) [0.3%],50/324491 (5.63 py) [5.1%],<10/333036 (0.66 py) [0.6%]
NCT01075282,829,<10/424051 (0.09 py) [0.1%],0,210/332983 (23.03 py) [25.3%],<10/422948 (0.26 py) [0.4%],69/403079 (6.25 py) [8.3%],12/419321 (1.05 py) [1.4%]
NCT01126580,807,0,0,231/197119 (42.8 py) [28.6%],0,27/259771 (3.8 py) [3.3%],<10/263358 (0.69 py) [0.6%]
NCT01159600,1322,0,0,140/204552 (25 py) [10.6%],100/208176 (17.55 py) [7.6%],48/214140 (8.19 py) [3.6%],14/215663 (2.37 py) [1.1%]
NCT01164501,741,0,<10/249875 (0.15 py) [0.1%],97/225492 (15.71 py) [13.1%],169/202924 (30.42 py) [22.8%],57/239679 (8.69 py) [7.7%],11/247552 (1.62 py) [1.5%]
NCT01167881,1549,0,0,415/1397443 (10.85 py) [26.8%],231/1563094 (5.4 py) [14.9%],218/1620335 (4.91 py) [14.1%],59/1723127 (1.25 py) [3.8%]
NCT01177813,898,0,0,85/137409 (22.59 py) [9.5%],<10/144395 (1.52 py) [0.7%],26/143273 (6.63 py) [2.9%],<10/143963 (2.28 py) [1%]
NCT01191268,884,0,0,257/214360 (43.79 py) [29.1%],26/280701 (3.38 py) [2.9%],83/268194 (11.3 py) [9.4%],<10/285120 (0.64 py) [0.6%]
NCT01204294,574,0,0,147/171656 (31.28 py) [25.6%],36/193454 (6.8 py) [6.3%],55/194672 (10.32 py) [9.6%],10/199210 (1.83 py) [1.7%]
NCT01210001,499,0,0,48/78336 (22.38 py) [9.6%],12/81012 (5.41 py) [2.4%],21/80978 (9.47 py) [4.2%],10/81449 (4.48 py) [2%]
NCT01214239,300,0,0,11/47399 (8.48 py) [3.7%],<10/48436 (0.75 py) [0.3%],<10/47862 (5.34 py) [2.3%],0
NCT01215097,306,0,0,13/48679 (9.75 py) [4.2%],<10/49790 (2.2 py) [1%],<10/49720 (5.88 py) [2.6%],0
NCT01289119,505,0,<10/53858 (0.68 py) [0.2%],16/52953 (11.04 py) [3.2%],0,<10/53684 (4.08 py) [1.2%],0
NCT01306214,566,0,<10/189840 (0.38 py) [0.4%],69/171334 (14.71 py) [12.2%],229/121750 (68.7 py) [40.5%],27/184583 (5.34 py) [4.8%],<10/187745 (1.36 py) [1.2%]
NCT01368081,1099,0,0,260/332028 (28.6 py) [23.7%],40/374892 (3.9 py) [3.6%],78/374444 (7.61 py) [7.1%],39/374712 (3.8 py) [3.5%]
NCT01370005,825,0,<10/69992 (0.52 py) [0.1%],64/66580 (35.11 py) [7.8%],54/67092 (29.4 py) [6.5%],16/69476 (8.41 py) [1.9%],18/69120 (9.51 py) [2.2%]
NCT01422876,1405,0,0,156/422226 (13.49 py) [11.1%],20/458474 (1.59 py) [1.4%],46/454983 (3.69 py) [3.3%],35/454911 (2.81 py) [2.5%]
NCT01438814,689,0,0,230/49168 (170.86 py) [33.4%],<10/66700 (4.38 py) [1.2%],10/66749 (5.47 py) [1.5%],<10/67018 (1.09 py) [0.3%]
NCT01606007,525,0,0,52/79559 (23.87 py) [9.9%],0,<10/83523 (3.94 py) [1.7%],<10/83873 (3.05 py) [1.3%]
NCT01621178,577,0,0,163/137947 (43.16 py) [28.2%],14/175865 (2.91 py) [2.4%],95/161613 (21.47 py) [16.5%],<10/178224 (1.23 py) [1%]
NCT01624259,599,0,0,199/76228 (95.35 py) [33.2%],<10/106240 (0.34 py) [0.2%],14/105161 (4.86 py) [2.3%],<10/105810 (1.38 py) [0.7%]
NCT01708902,733,0,0,119/105485 (41.2 py) [16.2%],<10/117240 (2.8 py) [1.2%],10/116899 (3.12 py) [1.4%],<10/117469 (0.93 py) [0.4%]
NCT01719003,1365,0,0,193/200549 (35.15 py) [14.1%],14/217825 (2.35 py) [1%],25/217927 (4.19 py) [1.8%],21/217531 (3.53 py) [1.5%]
NCT01734785,333,0,0,73/79111 (33.7 py) [21.9%],11/92413 (4.35 py) [3.3%],27/89407 (11.03 py) [8.1%],<10/93385 (2.35 py) [1.8%]
NCT01769378,300,0,0,57/40926 (50.87 py) [19%],<10/48169 (1.52 py) [0.7%],<10/47864 (5.34 py) [2.3%],0
NCT01778049,482,0,0,64/160059 (14.6 py) [13.3%],<10/171960 (1.49 py) [1.5%],27/168925 (5.84 py) [5.6%],17/169835 (3.66 py) [3.5%]
NCT01792518,360,0,0,32/58078 (20.12 py) [8.9%],33/57230 (21.06 py) [9.2%],25/58632 (15.57 py) [6.9%],<10/59994 (3.04 py) [1.4%]
NCT01890122,645,0,0,51/99445 (18.73 py) [7.9%],0,19/103659 (6.69 py) [2.9%],<10/104290 (0.7 py) [0.3%]
NCT02152371,300,0,0,67/46782 (52.31 py) [22.3%],<10/55619 (0.66 py) [0.3%],16/54248 (10.77 py) [5.3%],<10/55678 (1.31 py) [0.7%]
NCT02284893,423,0,0,46/127748 (13.15 py) [10.9%],0,15/134972 (4.06 py) [3.5%],0
NCT02471404,906,0,0,163/300024 (19.84 py) [18%],0,92/320991 (10.47 py) [10.2%],28/333030 (3.07 py) [3.1%]
NCT02489968,447,0,0,72/151270 (17.38 py) [16.1%],<10/173967 (0.63 py) [0.7%],17/170786 (3.64 py) [3.8%],10/171606 (2.13 py) [2.2%]
NCT02597049,424,0,0,105/57554 (66.64 py) [24.8%],<10/71114 (0.51 py) [0.2%],14/70204 (7.28 py) [3.3%],10/70313 (5.19 py) [2.4%]
NCT02681094,890,0,0,66/142151 (16.96 py) [7.4%],0,23/146967 (5.72 py) [2.6%],<10/147551 (2.23 py) [1%]
