co_id,time_avg,decision,trial_id,reason_exclucion
205,01:17,INCLUDED,NCT03036150,
219,00:54,INCLUDED,Unreported ID,
237,01:23,INCLUDED,NCT04153929,
263,00:53,INCLUDED,NCT01394952,
264,00:41,INCLUDED,ACTRN12618001907235,
276,01:36,INCLUDED,NCT03596450,
285,01:04,INCLUDED,CTRI/2018/03/012603,
292,00:39,INCLUDED,NCT01730534,
293,01:28,INCLUDED,ChiCTR2200057800,
295,00:44,INCLUDED,NCT04504396,
308,00:41,INCLUDED,ChiCTR2300070919,
327,01:07,INCLUDED,NCT02919345,
364,01:58,INCLUDED,Unreported ID,
366,02:40,INCLUDED,NCT01032629; NCT01989754; NCT02065791,
385,01:15,INCLUDED,NCT01032629; NCT01989754,
387,00:41,INCLUDED,Unreported ID,
403,01:45,INCLUDED,NCT02128932; NCT02305381; NCT01720446; NCT03191396; NCT02827708; NCT02692716,
404,01:42,INCLUDED,NCT01794143,
414,00:43,INCLUDED,NCT04885712,
430,01:00,INCLUDED,NCT05663736,
440,00:47,INCLUDED,EudraCT 2015-005402-11,
453,02:36,INCLUDED,NCT01986881,
460,00:48,INCLUDED,NCT01986881,
464,01:28,INCLUDED,EudraCT 2019-000979-16,
505,01:10,INCLUDED,ChiCTR1800018825,
535,01:11,INCLUDED,Unreported ID,
554,01:23,INCLUDED,NCT02906930;  NCT02863328; NCT02607865;  NCT02863419;  NCT02827708; NCT03021187,
566,01:56,INCLUDED,NCT04451837,
574,01:28,INCLUDED,NCT05977465,
597,00:55,INCLUDED,NCT03421119,
634,00:52,INCLUDED,Vivli ID: 00007609,
654,01:04,INCLUDED,NCT03987919,
657,01:02,INCLUDED,NCT03954834; NCT03987919; NCT03882970; NCT03730662,
659,01:22,INCLUDED,NCT04657003,
667,02:40,INCLUDED,NCT03861052; NCT03861039,
675,00:58,INCLUDED,JRCT1011210032,
678,02:05,INCLUDED,NCT03222765,
681,01:20,INCLUDED,CTRI/2019/02/017410,
693,00:58,INCLUDED,NCT04556851,
694,01:20,INCLUDED,NCT03851432,
697,00:54,INCLUDED,NCT01794143,
724,01:01,INCLUDED,NCT03882970; NCT03730662,
726,03:28,INCLUDED,NCT02787551;EudraCT: 2017-003370-13; NCT03767543,
741,01:17,INCLUDED,NCT01144338,
747,01:23,INCLUDED,NCT05579119,
750,01:11,INCLUDED,NCT01794143,
751,00:55,INCLUDED,NCT01144338,
778,01:18,INCLUDED,EudraCT 2019-000781-38,
783,01:03,INCLUDED,NCT05054842,
786,01:01,INCLUDED,ChiCTR2000040656 ,
795,00:54,INCLUDED,JapicCTI-173769,
799,01:16,INCLUDED,NCT03259789,
801,00:51,INCLUDED,Unreported ID,
803,01:10,INCLUDED,Unreported ID,
807,00:58,INCLUDED,NCT04255238,
809,01:04,INCLUDED,NCT04634500,
833,00:55,INCLUDED,NCT03036150,
843,00:53,INCLUDED,Unreported ID,
849,01:20,INCLUDED,NCT05101135,
851,01:11,INCLUDED,NCT04509674,
860,00:58,INCLUDED,NCT03254849,
880,02:19,INCLUDED,NCT06329674,
882,01:01,INCLUDED,NCT02338921,
885,01:09,INCLUDED,IRCT20220928056051N1,
931,00:31,INCLUDED,UMIN000040044,
945,01:59,INCLUDED,JRCTs031200437,
950,01:00,INCLUDED,UMIN000030343,
952,00:48,INCLUDED,UMIN000040611,
957,01:55,INCLUDED,CTRI/2022/08/044563,
984,00:50,INCLUDED,NCT04356742,
992,00:38,INCLUDED,NCT04017832,
994,00:51,INCLUDED,NCT03811548,
995,01:11,INCLUDED,CTR20200157,
996,00:35,INCLUDED,CTR20200172,
997,00:36,INCLUDED,NCT04233801,
1025,00:53,INCLUDED,Unreported ID,
1049,00:48,INCLUDED,NCT03076112,
1064,02:00,INCLUDED,EudraCT Number: 2013-004042-42,
1066,01:56,INCLUDED,Unreported ID,
1067,01:48,INCLUDED,IRCT20210730052022N1,
1068,01:11,INCLUDED,IRCT20171030037093N11 ,
1071,02:56,INCLUDED,UMIN000017607; UMIN000032601,
1078,01:19,INCLUDED,Unreported ID,
1079,01:40,INCLUDED,NCT02065791,
1119,00:47,INCLUDED,KCT0003520,
1126,01:14,INCLUDED,NCT04654390,
1132,00:48,INCLUDED,UMIN000044264,
1135,01:36,INCLUDED, JRCT1071220089,
1152,01:02,INCLUDED,UMIN-CTR 000024164,
1164,01:55,INCLUDED,NCT02065791,
1170,06:32,INCLUDED,U1111-1257-5069 ,
1174,01:08,INCLUDED,NCT02162550,
1181,00:49,INCLUDED,NCT01131676,
1186,01:22,INCLUDED,EU Clinical Trials Register number: 2019-004303-12,
1188,01:18,INCLUDED,NCT02465515,
1189,01:05,INCLUDED,NCT02465515,
1191,01:51,INCLUDED,NCT05457933,
1192,02:21,INCLUDED,UMIN000019457,
1194,00:54,INCLUDED,Unreported ID,
1195,01:07,INCLUDED,Unreported ID,
1197,01:20,INCLUDED,Unreported ID,
1204,01:11,INCLUDED,NCT01717911,
1211,02:12,INCLUDED,NCT03548935; NCT03611582; NCT03611582; NCT03693430 ,
1215,01:34,INCLUDED,UMIN000049408,
1216,00:52,INCLUDED,UMIN000018440,
1219,01:09,INCLUDED,NCT04632862,
1220,00:54,INCLUDED,NCT04632862,
1241,01:28,INCLUDED,NCT03619213,
1257,01:12,INCLUDED,NCT03842267,
1261,01:15,INCLUDED,NCT03959501,
1264,01:08,INCLUDED,KCT0006157,
1271,01:18,INCLUDED,NCT04810507,
1286,00:48,INCLUDED,Unreported ID,
1301,02:27,INCLUDED,KILI20190102,
1319,01:40,INCLUDED,NCT03717194,
1321,01:23,INCLUDED,NCT05226897,
1323,02:42,INCLUDED,NCT02609815,
1326,01:27,INCLUDED,Unreported ID,
1330,01:42,INCLUDED,ChiCTR1800015822,
1344,00:57,INCLUDED,NCT03954834; NCT03987919; NCT03882970; NCT03730662; NCT04039503,
1357,01:18,INCLUDED,NCT03194945,
1361,02:28,INCLUDED,NCT02303730,
1371,01:18,INCLUDED,NCT03829891,
1409,01:23,INCLUDED,NCT04634500; NCT04654390,
1416,00:55,INCLUDED,Unreported ID,
1435,00:29,INCLUDED,NCT03819153,
1448,03:22,INCLUDED,NCT03819153,
1457,01:58,INCLUDED,NCT03548935; NCT03552757,
1473,00:57,INCLUDED,NCT03951753,
1532,00:38,INCLUDED,NCT03987919,
1533,00:41,INCLUDED,UMIN000055121,
1549,00:43,INCLUDED,NCT04170998,
1563,01:39,INCLUDED,EudraCT: 2015 004527-32,
1581,00:55,INCLUDED,UMIN000010376,
1582,01:06,INCLUDED,UMIN000018084,
1604,03:13,INCLUDED,NCT01794143,
1605,01:52,INCLUDED,NCT01794143,
1611,00:52,INCLUDED,Unreported ID,
1619,05:55,INCLUDED,9286,
1627,01:33,INCLUDED,NCT04255433,
1632,02:05,INCLUDED,EU Clinical Trials Register 2019-004303-12; 2019-004447-80; 2019-004467-50,
1642,01:14,INCLUDED,jRCT1011210032,
1645,00:43,INCLUDED,jRCTs031180440,
1665,06:14,INCLUDED, NCT01032629; NCT01989754,
1683,01:11,INCLUDED,NCT03861052,
1688,00:49,INCLUDED,NCT01144338,
1703,01:41,INCLUDED,NCT01986881,
1716,01:57,INCLUDED,NCT02564926,
1719,01:31,INCLUDED,NCT02231021,
1729,02:27,INCLUDED,NCT03954834; NCT03987919; NCT03882970; NCT03730662; NCT04039503 ,
1756,01:29,INCLUDED,NCT03819153,
1771,00:57,INCLUDED,NCT03178591,
1776,00:57,INCLUDED,NCT01730534,
1796,00:47,INCLUDED,NCT03819153,
1803,01:38,INCLUDED,NCT02932436,
1812,02:17,INCLUDED,NCT03862716,
1826,00:58,INCLUDED,Unreported ID,
1831,00:34,INCLUDED,Unreported ID,
1837,00:44,INCLUDED,Unreported ID,
1846,03:24,INCLUDED,NCT00968708,
1847,01:09,INCLUDED,NCT01032629; NCT02065791,
1857,00:41,INCLUDED,NCT04564872,
1876,00:52,INCLUDED,NCT04538352,
1893,01:05,INCLUDED,NCT01243424,
1897,03:01,INCLUDED,NCT03819153,
1918,00:57,INCLUDED,CTRI/2021/11/038176,
1924,01:06,INCLUDED,UMIN000018440,
1933,00:53,INCLUDED,Unreported ID,
1993,02:17,INCLUDED,NCT04238702,
2007,00:46,INCLUDED,NCT01032629,
2008,01:35,INCLUDED,CTRI/2020/11/029176,
2030,01:01,INCLUDED,CTRI/2020/02/023120,
2048,01:19,INCLUDED,NCT02653209,
2049,01:24,INCLUDED,NCT02653209,
2056,01:23,INCLUDED,,
2068,00:58,INCLUDED,NCT02551874,
2070,01:20,INCLUDED,Unreported ID,
2072,01:06,INCLUDED,CTRI/2022/01/039857,
2074,01:08,INCLUDED,CTRI/2021/10/037461,
2090,00:44,INCLUDED,NCT04061200,
2091,01:10,INCLUDED,Unreported ID,
2100,01:40,INCLUDED,NCT04634500; NCT05376969,
2136,01:15,INCLUDED,ChiCTR1900026514,
2139,01:19,INCLUDED,NCT04183868,
2140,00:55,INCLUDED, jRCTs031180241,
2144,01:29,INCLUDED,NCT05591235,
2147,01:01,INCLUDED,UMIN 000031651,
2152,00:58,INCLUDED,Unreported ID,
2161,00:45,INCLUDED,jRCT1011220005,
2162,01:06,INCLUDED,JRCTs1011200008,
2169,00:44,INCLUDED,UMIN000010385,
2172,01:40,INCLUDED,UMIN000028014,
2176,00:41,INCLUDED,NCT03057951; NCT03057977,
2194,02:05,INCLUDED,UMIN000018440,
2195,01:17,INCLUDED,UMIN000024502,
2243,00:57,INCLUDED,UMIN000015170,
2277,01:20,INCLUDED,EUCTR2017-004709-42-NL,
2286,01:39,INCLUDED,ACTRN12613000418774,
2288,01:29,INCLUDED,Unreported ID,
2311,01:58,INCLUDED,EudraCT 2019-000781-38,
2366,00:53,INCLUDED,NCT04109547,
2367,01:12,INCLUDED,NCT04161430,
2381,00:47,INCLUDED,NCT04667143,
2394,02:39,INCLUDED,NCT01131676,
2451,01:14,INCLUDED,NCT05159882,
2456,01:16,INCLUDED,ChiCTR2200056410,
2466,00:24,INCLUDED,NCT05782192,
2474,02:12,INCLUDED,NCT03861052,
2475,00:42,INCLUDED,NCT04531462,
2488,00:33,INCLUDED,NCT04504370,
2499,01:11,INCLUDED,Unreported ID,
2515,00:59,INCLUDED,IRCT20191209045671N2,
2525,01:24,INCLUDED,NCT02065791,
2529,01:22,INCLUDED,jRCTs051180135,
2552,00:48,INCLUDED,IRCT20170513033941N66,
2557,00:43,INCLUDED,NCT04240171,
2571,01:13,INCLUDED,ChiCTR-1800015658,
2577,01:44,INCLUDED,ChiCTR2000037951,
2607,02:03,INCLUDED,ChiCTR20190599,
