trial_id,outcome,inrob,srch_rnd,covidence_id,study_id,reviewer,sequence_generation_judge,allocation_concealment_judge,blinding_participant,blinding_assessor,incomplete_outcome_data,selective_outcome_reporting,note,allocation_concealment_quote,allocation_concealment_comment,blinding_assessor_judge,blinding_assessor_quote,blinding_assessor_comment,blinding_participant_judge,blinding_participant_quote,blinding_participant_comment,incomplete_outcome_data_judge,incomplete_outcome_data_quote,incomplete_outcome_data_comment,other_bias_judge,other_bias_quote,other_bias_comment,selective_outcome_reporting_judge,selective_outcome_reporting_quote,selective_outcome_reporting_comment,sequence_generation_quote,sequence_generation_comment
ChiCTR-IPR-17011120,hba1c and or MACE,y,orig,#552,Tao 2018,SA,low,unclear,,,,,,,,low,,"no blinding, but measurement unlikely to be influenced",high,"This study was an open-label prospective, randomized clinical trial conducted over 24 weeks, with three treat- ment groups. The primary outcome was a change in gly- cemic control and �-cell function.","
",unclear,,,low,,,low,"= 21, for each group). <b>The reduction in hemoglobin A1c was 
significant in the combination group, compared to the monotherapy groups (saxagliptin vs. combination treatment vs. metformin: - 1.1 vs. -1.3 vs. -1.1%, P = 0.016), whereas it was comparable between the metformin and saxagliptin groups (P > 0.05). Saxagliptin, metformin, and the combination treatment significantly reduced the homeostasis 
model assessment- insulin resistance index and increased the deposition index (P < 0.01 for all). However, no 
significant change was observed in the homeostasis model assessment- �-cell function among the metformin 
and combination groups, and no significant changes were observed in the insulinogenic index among all three 
groups (P > 0.05 for all).</b> In addition, saxagliptin and metformin
The primary outcome was a change in glycemic control and �-cell function.","

",Patients were allocated to one of three treatment groups by a computer-generated code that facilitated equal patient distribution of 25 pa- tients per group.,"
"
ChiCTR-OPC-16008152,hba1c and or MACE,y,orig,#180,Shi 2017,"SA,LW",low,unclear,,,,,,,,"high,low",,,"high,low",,,low,"intoler- ance of exenatide and <b>two patients withdrew from 
the control group because their FBG level remained 
higher than 10 mmol/L after one-month of treat- 
ment.</b> Baseline conditions between groups As","
",low,,,low,,,"random number table method,","
"
ChiCTR-PPR-15007045,weight only,y,orig,#91,Li 2016,SA,low,unclear,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
ChiCTR-TRC-13003858,hba1c and or MACE,y,orig,,,ELB,unclear,low,,,,,,,,high,,,high,,,unclear,,,low,,,low,,,,
ChiCTR-TRC-14005224,weight only,y,orig,#1196,Wan 2016,LW,low,unclear,,,,,,,,low,,LAB measurement,low,,"no blinding or incomplete blinding, but outcome unlikely
to be influenced
",low,,,low,"This study was supported by the Science and Technology Commission of Guangdong Province, China (2011B010500027, 2011B060500011, and 2009B11400036), and the Natural Science Foundation of Guangdong Province, China (S2013010016045).","
",low,,,random number table into,"
"
CTRI/2017/02/007766,hba1c and or MACE,y,updat,,,DM,Low,Low,High,High,Unclear,Low,,,,,,,,,,,,,,,,,,,,
CTRI/2017/06/008891,hba1c and or MACE,y,orig,#9087,,ELB,low,low,,,,,,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,
CTRI/2017/07/009121,hba1c and or MACE,y,updat,,,DM,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
Hawler Medical University records of the clinical trials: No.276,hba1c and or MACE,y,updat,,,DM,Low,Low,High,High,Unclear,Low,open label,,,,,,,,,,,,,,,,,,,
IRCT20090905002417N23,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Definitely yes (low risk of bias),Probably no,,,,,,,,,,,,,,,,,,,,
IRCT20190412043247N2,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Unclear,Low,,,,,,,,,,,,,,,,,,,,
IRCT20200722048176N1,hba1c and or MACE,y,updat,,,ELB,Low,High,Low,Unclear,Unclear,Low,"Protocol paper only. States no allocation concelament, double blind but unclear if assessors blinded, unclear how missing data dealt with",,,,,,,,,,,,,,,,,,,
IRSCTN 2013L01573,hba1c and or MACE,y,updat,,,bmj-2022-074068,Probably no,Probably no,Definitely no (high risk of bias),Definitely yes (low risk of bias),Probably no,Probably no,,,,,,,,,,,,,,,,,,,,
JapicCTI-111543,hba1c and or MACE,y,orig,#2839,Haneda 2016,"KA,LW",unclear,unclear,,,,,,,,low,,,low,,,,,,,,,,,,,
JapicCTI-111661,hba1c and or MACE,y,orig,#2102,Seino 2014,"KA,SA","unclear,low",low,,,,,,"The study drugs, both luseogliflozin and placebo, were provided in packs and tablets that were indistinguish- able from each other.,The study drug controller randomly allocated study drugs to the study groups and then prepared the randomization schedule. The Subject Registration Center allocated study drugs to each medical institution in a serial manner according to the study drug numbers for eligible subjects.","
","unclear,low",,"Unclear how blinded.,measurement unlikely to be influenced",low,"This was a randomized, double-blind, placebo-controlled, parallel-group, comparative, phase 3 study,This was a randomized, double-blind, placebo-controlled, parallel-group, comparative, phase 3 study conducted at 23 institutions throughout Japan between October 2011 and August 2012.","
","high,low",Missing end-of-treatment data were imputed using last observation carried forward method.,"
",low,,,low,"At the end of treatment, HbA1c was significantly decreased from baseline in the luseogliflozin 2.5 mg group (À0.63%) versus the placebo group (0.13%), with a between-group difference of À0.75% (p50.001). Additionally, significant reductions in FPG, PPG, body weight, and abdominal circumference were noted with luseogliflozin compared with placebo (all p50.05). Luseogliflozin was well tolerated; there was no significant difference between groups in the incidence of AEs (luseogliflozin, 59.5%; placebo, 57.0%). No AEs led to study drug discontinuation. Most AEs were mild in severity, with no severe AE reported.
(%) þ 0.25% 16 . <b>Secondary 
efficacy endpoints included plasma glucose, insulin, gluca- 
gon, serum CPR, intact proinsulin, glycosylated albumin, 
body weight, abdominal circumference, and urinary glu- 
cose (quantitative) as well as the homeostatic model 
assessment for insulin resistance (HOMA-R) and b-cell 
function (HOMA-b). Safety was assessed by the incidence 
of adverse events (AEs)</b> as well as changes in
The primary efficacy endpoint was change in HbA1c from baseline to end of treatment.","protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,


","Patients were randomly assigned to receive luseogliflozin 2.5 mg or placebo (1:1 ratio). The study drug controller randomly allocated study drugs to the study groups and then prepared the randomization schedule. The Subject Registration Center allocated study drugs to each medical institution in a serial manner according to the study drug numbers for eligible subjects. Investigators prescribed the study drug to each patient according to the study drug number.,Patients were randomly assigned to receive luseogliflozin 2.5 mg or placebo (1:1 ratio).","
"
jRCTs031180159,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely yes (low risk of bias),Probably yes,Definitely no (high risk of bias),Definitely yes (low risk of bias),Probably no,,,,,,,,,,,,,,,,,,,,
jRCTs031180205,hba1c and or MACE,y,updat,,,bmj-2022-074068,Definitely yes (low risk of bias),Definitely no (high risk of bias),Definitely no (high risk of bias),Definitely no (high risk of bias),Probably no,Probably no,,,,,,,,,,,,,,,,,,,,
KCT0005169,hba1c and or MACE,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00035984,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00039013,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00039026,hba1c and or MACE,y,orig,#1138,,SA,High,Unclear,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00082381,hba1c and or MACE,y,orig,#1177,Heine 2005,SA,low,low,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00082407,hba1c and or MACE,y,orig,#3083,Nauck 2007,"KA,SA",low,low,,,,,,"according to a computer-generated randomisation table administered by the sponsor via an automated voice- response system.,Randomisation was stratified by site and patients were equally distributed across treatments within two strata based on screening values of HbA 1c (≤9.0 and >9.0%).","
","unclear,low",,"no blinding, but measurement unlikely to be influenced","unclear,high","# Springer-Verlag 2006 Abstract Aims/hypothesis <b>The aim of this 52-week, open-label, non- 
inferiority trial was to compare the safety and efficacy of 
exenatide (an incretin mimetic) with that of biphasic insulin 
aspart.</b> Materials and methods Patients on","
",low,"Primary efficacy analyses were based on a mixed model repeated measures (MMRM) analysis of covariance with HbA 1c as the dependent variable and treatment, baseline HbA 1c, country, week of visit, and treatment-by-week interaction as fixed effects, and patient and error as random effects.,All post-baseline measurements of the change in HbA 1c were included in the analysis with no imputations of missing data.","
",low,,,low,"Glycaemic control achieved with exenatide was non-inferior to that achieved with biphasic insulin aspart (mean±SEM, HbA 1c change: exenatide −1.04± 0.07%, biphasic insulin aspart −0.89±0.06%; difference −0.15 [95% CI −0.32 to 0.01]%). Exenatide-treated patients lost weight, while patients treated with biphasic insulin aspart gained weight [between-group difference −5.4 (95% CI −5.9 to −5.0) kg]. Both treatments reduced fasting serum glucose (exenatide −1.8±0.2 mmol/l, p<0.001; biphasic insulin aspart −1.7±0.2 mmol/l, p<0.001). Greater reduc- tions in postprandial glucose excursions following morning (p < 0.001), midday (p = 0.002) and evening meals (p<0.001) were observed with exenatide. The withdrawal rate was 21.3% (54/253) for exenatide and 10.1% (25/248) for biphasic insulin aspart. Nausea (33% incidence, 3.5% discontinuation) was the most common adverse event observed with exenatide.
in the Declaration of Helsinki. <b>HbA 1c levels were 
measured at screening, randomisation (baseline, week 0), 
and at weeks 12, 16, 28, 40 and 52 (or early discontinu- 
ation). Blood chemistry was assessed at screening and week 
52 (or early discontinuation). Fasting serum glucose and 
fasting serum lipids were assessed at baseline, and at weeks 
16 and 52 (or early discontinuation). Patients performed 
two separate self-monitored blood glucose (SMBG) profiles 
during the 2 weeks prior to study baseline and at weeks 4, 
12, 28 and 52. Patients collected SMBG measurements 
using commercially available blood glucose meters—just 
before each meal (prebreakfast, prelunch, presupper), 2 h 
after each meal (postbreakfast, postlunch, postsupper), and 
at 03.00 hours. Postprandial blood glucose excursions were 
calculated on the basis of the difference between prepran- 
dial and postprandial measurements taken at morning, 
midday and evening meals. Homeostasis model assessment 
(HOMA) [13, 14] of beta cell function (HOMA-B) and 
insulin sensitivity (HOMA-S) were generated</b> from fasting serum glucose and","protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,

","Patients meeting study entry criteria were randomly assigned (with equal probability) to receive either exenatide or biphasic insulin aspart (henceforth referred to as premixed insulin) according to a computer-generated randomisation table administered by the sponsor via an automated voice- response system. Randomisation was stratified by site and patients were equally distributed across treatments within two strata based on screening values of HbA 1c (≤9.0 and >9.0%).,Patients meeting study entry criteria were randomly assigned (with equal probability) to receive either exenatide or biphasic insulin aspart (henceforth referred to as premixed insulin) according to a computer-generated randomisation table administered by the sponsor via an automated voice- response system.","
"
NCT00086502,hba1c and or MACE,y,orig,#3077,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00086515,hba1c and or MACE,y,orig,#3076,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00087516,hba1c and or MACE,y,orig,#3075,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00094757,hba1c and or MACE,y,orig,,,ELB,unclear,unclear,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00094770,hba1c and or MACE,y,orig,#8851,Nauck 2007,LW,unclear,unclear,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00097500,hba1c and or MACE,y,orig,#595,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00099320,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00099619,weight only,y,orig,#3148,Barnett 2007,SA,low,low,,,,,,Randomiza- tion was performed using a central randomization table that was computer-generated by the sponsor and administered by an automated interactive voice- response system.,"
","high,low",Weekly titration of the insulin glargine dose based on a dosing algorithm targeting an FSG level <5.6 mmol/L 27 did not permit treatment blinding in this study.,"
,no blinding or incomplete blinding, but outcome unlikely to be influenced",high,Weekly titration of the insulin glargine dose based on a dosing algorithm targeting an FSG level <5.6 mmol/L 27 did not permit treatment blinding in this study.,"
",low,1 patient was lost to follow-up (Figure 1). Reasons for withdrawal during the insulin glargine treatment interval included a protocol viola- tion (1) and an AE (1).,"
",unclear,,,low,"The present crossover study was performed to compare the efficacy and safety profiles of exenatide and insulin glargine in patients with type 2 diabetes who had not achieved glycemic control with a single OAD (MET or an SFU). It also assessed the risk of hy- poglycemia with both treatments based on concomi- tant use with MET or an SFU.
Objective: This study was conducted <b>to compare 
the efficacy and safety profiles of exenatide and in- 
sulin glargine therapy in patients with type 2 diabetes 
who had not achieved glucose control with metformin 
or sulfonylurea monotherapy.</b> Methods: This multinational, randomized, open-","

","eligible patients were randomly assigned, within HbAI~ stratum and with equal probability (1:1 ratio), to receive exenatide followed by insulin glargine or the reverse sequence for 16 weeks each.
One hundred thirty-eight patients were ran- domized to study treatment","

"
NCT00099853,hba1c and or MACE,y,orig,#3093,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00099853,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Low,Low,no info on method of rand or concealementin paper or via ctg,,,,,,,,,,,,,,,,,,,
NCT00099866,hba1c and or MACE,y,orig,#3118,Schweizer 2007,KA,high,unclear,,,,,,"This was a 52-week, double-blind, randomized, active-controlled, parallel-group study conducted at 183 centres in 10 countries in the Americas and Europe. Each patient attended one screening visit (week �2), during which inclusion/exclusion criteria were assessed.","
",,"Therefore, the present randomized, double-blind study was undertaken to assess the efficacy and tolerability of vildagliptin monotherapy (100 mg daily) over 1 year in drug-na�ve patients with Type 2 DM.
Therefore, the present randomized, double-blind study was undertaken to assess the efficacy and tolerability of vildagliptin monotherapy (100 mg daily) over 1 year in drug-na�ve patients with Type 2 DM.","

",low,"control. Patients and methods Study <b>design 

This was a 52-week, double-blind, randomized, active-controlled, parallel-group study conducted at 183 centres in 10 countries in the Americas and Europe.</b> Each patient attended one screening","
",,"Additionally, five times more patients receiving metformin withdrew from the study because of a GI adverse event (4.4 vs. 0.8% with vildagliptin).","
",unclear,,,low,"Therefore, the present randomized, double-blind study was undertaken to assess the efficacy and tolerability of vildagliptin monotherapy (100 mg daily) over 1 year in drug-na�ve patients with Type 2 DM. Metformin (titrated to 2000 mg daily) was used as an active control.
baseline were assessed for significance. <b>All participants provided written informed consent. The 
protocol was approved by the independent ethics committee/ 
institutional review board at each study site and the study was 
conducted using Good Clinical Practice in accordance with the 
Declaration of Helsinki.</b> Results Patients studied Five hundred","

",Eligible patients were randomized at visit 2 (baseline) to receive vildagliptin 100 mg daily (given as equally divided doses) or metformin titrated to 2000 mg daily (given as divided doses) in a ratio of 2: 1.,"
"
NCT00099892,hba1c and or MACE,y,orig,#3091,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00099892,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,no info on method of rand or concealement or assesor blinding in paper or via ctg,,,,,,,,,,,,,,,,,,,
NCT00099905,hba1c and or MACE,y,orig,#3106,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00099905,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00099918,hba1c and or MACE,y,orig,#3090,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00099918,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00099931,hba1c and or MACE,y,orig,#3473,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00099931,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00099944,hba1c and or MACE,y,orig,#3170,Garber 2008,"SA,LW",low,low,,,,,,,,low,,"no blinding, but measurement unlikely to be influenced",low,"This was a multicentre, randomized, double-blind, pla- cebo-controlled study","
",low,The primary efficacy variable was the change from base- line in HbA 1c at study end-point using last observation carried forward for patients who discontinued early.,"
",low,,,low,"by analysis of covariance. Results: <b>The between-group difference (vildagliptin À placebo) in AMD HbA 1c was À0.6 Æ 0.1% in patients receiving vildagliptin 50 mg daily and À0.7 Æ 0.1% in those receiving 100 mg daily (p < 0.001 vs. placebo for both). Greater 
efficacy was seen in patients !65 years of age (À0.7 Æ 0.1% and À0.8 Æ 0.2% for 50 and 100 mg daily respectively) 
and in patients with baseline HbA 1c > 9% (D ¼ À1.0 Æ 0.2% and À0.9 Æ 0.2% for 50 and 100 mg daily respec- 
tively). Relative to placebo, patients receiving vildagliptin also had improvements in b-cell function and postprandial glucose, with small changes in fasting lipids and body weight. The incidences of adverse events (AEs) (67.1, 66.3 and 64.2%) and serious AEs (2.9, 2.4 and 5.1%) were similar in patients receiving 50 mg vildagliptin, 100 mg vildagliptin or placebo respectively. The incidence of hypoglycaemic events was low but slightly higher in the group receiving 
vildagliptin 100 mg (3.6%) than in the group receiving vildagliptin 50 mg (1.2%) or placebo (0.6%).</b> Conclusions: In patients with T2DM
based on Good Laboratory Practice. <b>Data Analysis 

The primary efficacy variable was the change from base- line in HbA 1c at study end-point using last observation carried forward for patients who discontinued early. Secondary efficacy parameters included FPG, fasting plasma lipids, body weight and meal test–derived parameters.</b> The primary efficacy analyses were","

",A randomization list was produced using a health authority–inspected and validated system that automates the random assign- ment of treatment groups to randomization numbers in the specified ratio.,"
"
NCT00101712,hba1c and or MACE,y,orig,#3167,Scherbaum 2008,SA,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00101803,hba1c and or MACE,y,orig,#3094,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00101803,hba1c and or MACE,y,updat,,,ELB,Unclear,Low,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00102466,hba1c and or MACE,y,orig,#3414,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00102466,hba1c and or MACE,y,updat,,,ELB,Unclear,Low,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00103857,hba1c and or MACE,y,orig,#3115,Goldstein 2007,LW,low,unclear,,,,,,,,low,,,low,,,low,"After ran- domization, 906 (83.0%) completed 24 weeks of treatment","
",low,,,low,,,computer-gener- ated allocation schedule:,"
"
NCT00106340,hba1c and or MACE,y,orig,#3236,Ferrannini 2009,LW,unclear,unclear,,,,,,,,unclear,,,low,"Data (n = 3,059) were from the aforementioned randomized, double-blind study.","
",low,"bid (n = 1,539),","
",low,,,low,,,,
NCT00106704,hba1c and or MACE,y,orig,#3123,Hermansen 2007,"SA,LW","low,unclear",low,,,,,,"An interactive voice response system (IVRS) was used to monitor enrollment and assign study drug and to ensure that approximately 50% of patients were assigned to each stratum.,An interactive voice response system (IVRS)","
",low,,"no blinding, but measurement unlikely to be influenced",low,"This was a multinational, randomized, double-blind, parallel-group study with a single-blind placebo run-in period followed by a double-blind placebo-controlled treatment period.","
",low,Missing data were handled using the last-observation- carried-forward method.,"
",low,,,low,"glucose and lipid measurements. Results: <b>Mean baseline HbA 1c was 8.34% in the sitagliptin and placebo groups. After 24 weeks, sitagliptin reduced HbA 1c by 0.74% (p < 0.001) relative to placebo. In the subset of patients on glimepiride plus metformin, sitagliptin reduced HbA 1c by 0.89% relative to placebo, compared with a reduction of 0.57% in the subset of patients on gli- 
mepiride alone. The addition of sitagliptin reduced FPG by 20.1 mg/dl (p < 0.001) and increased homeostasis 
model assessment-b, a marker of b-cell function, by 12% (p < 0.05) relative to placebo. In patients who underwent 
a meal tolerance test (n ¼ 134), sitagliptin decreased 2-h post-prandial glucose (PPG) by 36.1 mg/dl (p < 0.001) rel- ative to placebo. The addition of sitagliptin was generally well tolerated, although there was a higher incidence of 
overall (60 vs. 47%) and drug-related adverse experiences (AEs) (15 vs. 7%) in the sitagliptin group than in the pla- cebo group. This was largely because of a higher incidence of hypoglycaemia AEs (12 vs. 2%, respectively) in the 
sitagliptin group compared with the placebo group. Body weight modestly increased with sitagliptin relative to pla- cebo (þ0.8 vs. À0.4 kg; p < 0.001).</b> Conclusions: Sitagliptin 100 mg once
The primary efficacy parameter was mean change from baseline in HbA 1c at Week 24. This endpoint was assessed initially in the overall study population. If the results for the overall study population were found to be significant, then subsequent analyses were performed to examine treatment effects within the two strata. Second- ary efficacy endpoints included change from baseline in FPG and per cent change from baseline in plasma lipids [total cholesterol (TC), low-density lipoprotein choles- terol (LDL-C), triglycerides (TG), high-density lipopro- tein cholesterol (HDL-C) and non-HDL-C] at Week 24. Homeostasis model assessment-b cell function (HOMA-b) and the proinsulin/insulin ratio were calculated to assess b-cell function [18,19]. HOMA-insulin resistance (HOMA-IR) and the quantitative insulin sensitivity check index (QUICKI) were calculated to assess changes in insulin resistance [18,20].","

","Patients with adequate compliance (!75%) during this placebo run-in period underwent baseline evaluations and were randomized through an IVRS in a 1: 1 ratio to the addition of either once-daily sitagliptin 100 mg or placebo to ongoing stable doses of glimepiride, alone or in combination with metformin.","
"
NCT00110240,hba1c and or MACE,y,orig,#3175,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00110240,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00120536,hba1c and or MACE,y,orig,#3086,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00120536,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00121641,hba1c and or MACE,y,orig,#3297,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00121641,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00121667,hba1c and or MACE,y,orig,#3273,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00121667,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00135330,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00138567,hba1c and or MACE,y,orig,#3203,Goke 2008,"KA,SA",unclear,unclear,,,,,,,,"unclear,low","The duration of this multi-center, double-blind,","
",low,"The duration of this multi-center, double-blind, randomized, active-controlled study comparing the eﬃ cacy and tolerability of vildagliptin (100 mg daily) with that of metformin (2 000 mg daily) was 104 weeks, comprising a 52-week core trial followed by a 52-week double-blind exten- sion.,double-blind,","
","high,unclear",The extension intent-to-treat (ITT) population comprised all patients who received at least one dose of extension trial medi- cation and had at least one HbA 1c measurement during an exten- sion visit.,"
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,,
NCT00237237,hba1c and or MACE,y,orig,#3161,Bolli 2008,KA,unclear,unclear,,,,,,,,unclear,,,low,"This is a 24-week, double-blind, randomized, active- controlled, parallel-group study conducted at 118 centres","
",unclear,,,low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,,
NCT00286429,hba1c and or MACE,y,orig,#3317,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00286429,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00286442,hba1c and or MACE,y,orig,#3238,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00286442,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00286455,hba1c and or MACE,y,orig,#3211,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00286455,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00286468,hba1c and or MACE,y,orig,#3237,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
