trials,outcome,nct_id,models,term,estimate,std.error,outcome_method
39,ae_sae,NCT01106677,pois,age10:arm_f_2_uaa10577,-0.22,1.844,incident_event
39,ae_sae,NCT01106677,pois,age10:arm_f_2_uaa10578,-0.241,1.921,incident_event
39,ae_sae,NCT01106677,pois,age10:arm_f_2_uaa10580,-0.569,1.88,incident_event
39,ae_sae,NCT01106677,pois,arm_f_2_uaa10577:sex,-15.632,2551.681,incident_event
39,ae_sae,NCT01106677,pois,arm_f_2_uaa10578:sex,-16.152,2551.681,incident_event
39,ae_sae,NCT01106677,pois,arm_f_2_uaa10580:sex,-15.785,2551.681,incident_event
39,ae_sae,NCT01137812,pois,(Intercept),-12.683,4.349,incident_event
39,ae_sae,NCT01137812,pois,age10,0.72,0.691,incident_event
39,ae_sae,NCT01137812,pois,arm_f_2_uaa10614,3.502,5.661,incident_event
39,ae_sae,NCT01137812,pois,sex,-0.239,1.243,incident_event
39,ae_sae,NCT01137812,pois,age10:arm_f_2_uaa10614,-0.586,0.926,incident_event
39,ae_sae,NCT01137812,pois,arm_f_2_uaa10614:sex,0.2,1.703,incident_event
39,ae_sae,NCT01809327,pois,(Intercept),-10.37,5.165,incident_event
39,ae_sae,NCT01809327,pois,age10,0.203,0.892,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10933,-2.641,9.36,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10934,-1.532,7.606,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10935,-0.83,7.436,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10936,0.755,8.037,incident_event
39,ae_sae,NCT01809327,pois,sex,0.796,1.849,incident_event
39,ae_sae,NCT01809327,pois,age10:arm_f_2_uaa10933,0.349,1.6,incident_event
39,ae_sae,NCT01809327,pois,age10:arm_f_2_uaa10934,0.346,1.288,incident_event
39,ae_sae,NCT01809327,pois,age10:arm_f_2_uaa10935,0.214,1.291,incident_event
39,ae_sae,NCT01809327,pois,age10:arm_f_2_uaa10936,-0.068,1.419,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10933:sex,0.151,3.189,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10934:sex,-0.431,2.473,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10935:sex,-0.222,2.476,incident_event
39,ae_sae,NCT01809327,pois,arm_f_2_uaa10936:sex,-1.826,3.073,incident_event
39,ae_sae,NCT01989754,pois,(Intercept),-9.835,0.706,incident_event
39,ae_sae,NCT01989754,pois,age10,0.305,0.107,incident_event
39,ae_sae,NCT01989754,pois,arm_f_2_uaa10994,0.355,1.006,incident_event
39,ae_sae,NCT01989754,pois,sex,0.312,0.187,incident_event
39,ae_sae,NCT01989754,pois,age10:arm_f_2_uaa10994,-0.088,0.153,incident_event
39,ae_sae,NCT01989754,pois,arm_f_2_uaa10994:sex,0.085,0.277,incident_event
39,ae_sae,NCT02065791,pois,(Intercept),-8.245,0.526,incident_event
39,ae_sae,NCT02065791,pois,age10,0.1,0.089,incident_event
39,ae_sae,NCT02065791,pois,arm_f_2_uaa11038,-0.267,0.769,incident_event
39,ae_sae,NCT02065791,pois,sex,0.195,0.193,incident_event
39,ae_sae,NCT02065791,pois,age10:arm_f_2_uaa11038,0.039,0.129,incident_event
39,ae_sae,NCT02065791,pois,arm_f_2_uaa11038:sex,-0.139,0.276,incident_event
39,ae_sae,NCT00763451,pois,(Intercept),-11.223,5,incident_event
39,ae_sae,NCT00763451,pois,age10,0.378,0.784,incident_event
39,ae_sae,NCT00763451,pois,arm_f_2_Lixisenatide 1-step titration,-1.762,8.721,incident_event
39,ae_sae,NCT00763451,pois,arm_f_2_Lixisenatide 2-step titration,0.75,7.51,incident_event
39,ae_sae,NCT00763451,pois,sex,0.999,1.656,incident_event
39,ae_sae,NCT00763451,pois,age10:arm_f_2_Lixisenatide 1-step titration,0.418,1.391,incident_event
39,ae_sae,NCT00763451,pois,age10:arm_f_2_Lixisenatide 2-step titration,0.017,1.243,incident_event
39,ae_sae,NCT00763451,pois,arm_f_2_Lixisenatide 1-step titration:sex,-1.731,2.582,incident_event
39,ae_sae,NCT00763451,pois,arm_f_2_Lixisenatide 2-step titration:sex,-1.125,2.275,incident_event
39,ae_sae,NCT00712673,pois,(Intercept),-8.218,4.189,incident_event
39,ae_sae,NCT00712673,pois,age10,-0.212,0.771,incident_event
39,ae_sae,NCT00712673,pois,arm_f_2_Lixisenatide evening,-4.032,5.041,incident_event
39,ae_sae,NCT00712673,pois,arm_f_2_Lixisenatide morning,-1.81,5.267,incident_event
39,ae_sae,NCT00712673,pois,sex,0.298,1.403,incident_event
39,ae_sae,NCT00712673,pois,age10:arm_f_2_Lixisenatide evening,0.83,0.899,incident_event
39,ae_sae,NCT00712673,pois,age10:arm_f_2_Lixisenatide morning,0.36,0.961,incident_event
39,ae_sae,NCT00712673,pois,arm_f_2_Lixisenatide evening:sex,-0.19,1.674,incident_event
39,ae_sae,NCT00712673,pois,arm_f_2_Lixisenatide morning:sex,0.216,1.741,incident_event
39,ae_sae,NCT00713830,pois,(Intercept),-7.346,3.221,incident_event
39,ae_sae,NCT00713830,pois,age10,-0.161,0.541,incident_event
39,ae_sae,NCT00713830,pois,arm_f_2_Lixisenatide,-3.789,4.261,incident_event
39,ae_sae,NCT00713830,pois,sex,-0.464,1.079,incident_event
39,ae_sae,NCT00713830,pois,age10:arm_f_2_Lixisenatide,0.518,0.703,incident_event
39,ae_sae,NCT00713830,pois,arm_f_2_Lixisenatide:sex,1.107,1.381,incident_event
39,ae_sae,NCT00715624,pois,(Intercept),-13.034,5.617,incident_event
39,ae_sae,NCT00715624,pois,age10,0.704,0.89,incident_event
39,ae_sae,NCT00715624,pois,arm_f_2_Lixisenatide,4.894,6.272,incident_event
39,ae_sae,NCT00715624,pois,sex,-0.008,1.59,incident_event
39,ae_sae,NCT00715624,pois,age10:arm_f_2_Lixisenatide,-0.811,1.01,incident_event
39,ae_sae,NCT00715624,pois,arm_f_2_Lixisenatide:sex,0.634,1.859,incident_event
39,ae_sae,NCT00763815,pois,(Intercept),-14.134,4.322,incident_event
39,ae_sae,NCT00763815,pois,age10,0.865,0.696,incident_event
39,ae_sae,NCT00763815,pois,arm_f_2_Lixisenatide,1.602,5.289,incident_event
39,ae_sae,NCT00763815,pois,sex,0.573,1.13,incident_event
39,ae_sae,NCT00763815,pois,age10:arm_f_2_Lixisenatide,-0.345,0.852,incident_event
39,ae_sae,NCT00763815,pois,arm_f_2_Lixisenatide:sex,0.001,1.468,incident_event
39,ae_sae,NCT00707031,pois,(Intercept),-9.844,2.955,incident_event
39,ae_sae,NCT00707031,pois,age10,0.084,0.481,incident_event
39,ae_sae,NCT00707031,pois,arm_f_2_Lixisenatide QD,-4.039,4.78,incident_event
39,ae_sae,NCT00707031,pois,sex,0.807,1.15,incident_event
39,ae_sae,NCT00707031,pois,age10:arm_f_2_Lixisenatide QD,0.706,0.756,incident_event
39,ae_sae,NCT00707031,pois,arm_f_2_Lixisenatide QD:sex,-0.334,1.535,incident_event
39,ae_sae,NCT01648582,pois,(Intercept),-9.005,4.148,incident_event
39,ae_sae,NCT01648582,pois,age10,-0.042,0.731,incident_event
39,ae_sae,NCT01648582,pois,arm_f_2_Dulaglutide 0.75,-1.441,5.281,incident_event
39,ae_sae,NCT01648582,pois,arm_f_2_Dulaglutide 1.5,-2.311,5.095,incident_event
39,ae_sae,NCT01648582,pois,sex,-0.006,1.346,incident_event
39,ae_sae,NCT01648582,pois,age10:arm_f_2_Dulaglutide 0.75,0.401,0.913,incident_event
39,ae_sae,NCT01648582,pois,age10:arm_f_2_Dulaglutide 1.5,0.576,0.879,incident_event
39,ae_sae,NCT01648582,pois,arm_f_2_Dulaglutide 0.75:sex,-0.613,1.712,incident_event
39,ae_sae,NCT01648582,pois,arm_f_2_Dulaglutide 1.5:sex,0.097,1.577,incident_event
39,ae_sae,NCT01768559,pois,(Intercept),-10.435,2.358,incident_event
39,ae_sae,NCT01768559,pois,age10,0.348,0.373,incident_event
39,ae_sae,NCT01768559,pois,arm_f_2_Lixisenatide,0.718,4.214,incident_event
39,ae_sae,NCT01768559,pois,sex,-0.142,0.652,incident_event
39,ae_sae,NCT01768559,pois,age10:arm_f_2_Lixisenatide,-0.316,0.671,incident_event
39,ae_sae,NCT01768559,pois,arm_f_2_Lixisenatide:sex,1.646,1.407,incident_event
39,ae_sae,NCT00975286,pois,(Intercept),-9.318,4.406,incident_event
39,ae_sae,NCT00975286,pois,age10,0.161,0.746,incident_event
39,ae_sae,NCT00975286,pois,arm_f_2_GLP1 PLUS INSULIN BASAL,0.133,5.427,incident_event
39,ae_sae,NCT00975286,pois,sex,-0.022,1.461,incident_event
39,ae_sae,NCT00975286,pois,age10:arm_f_2_GLP1 PLUS INSULIN BASAL,0.142,0.913,incident_event
39,ae_sae,NCT00975286,pois,arm_f_2_GLP1 PLUS INSULIN BASAL:sex,-0.314,1.78,incident_event
39,ae_hypog,NCT00713830,pois,(Intercept),-10.471,10.236,incident_event
39,ae_hypog,NCT00713830,pois,age10,0.197,1.662,incident_event
39,ae_hypog,NCT00713830,pois,arm_f_2_Lixisenatide,1.701,11.775,incident_event
39,ae_hypog,NCT00713830,pois,sex,-0.58,3.184,incident_event
39,ae_hypog,NCT00713830,pois,age10:arm_f_2_Lixisenatide,-0.304,1.937,incident_event
39,ae_hypog,NCT00713830,pois,arm_f_2_Lixisenatide:sex,0.694,3.731,incident_event
39,ae_hypog,NCT00715624,pois,(Intercept),-5.086,5.92,incident_event
39,ae_hypog,NCT00715624,pois,age10,-0.705,1.165,incident_event
39,ae_hypog,NCT00715624,pois,arm_f_2_Lixisenatide,-4.876,7.586,incident_event
39,ae_hypog,NCT00715624,pois,sex,-0.993,2.73,incident_event
39,ae_hypog,NCT00715624,pois,age10:arm_f_2_Lixisenatide,0.886,1.408,incident_event
39,ae_hypog,NCT00715624,pois,arm_f_2_Lixisenatide:sex,0.912,3.115,incident_event
39,ae_hypog,NCT01768559,pois,(Intercept),-6.795,1.511,incident_event
39,ae_hypog,NCT01768559,pois,age10,0.066,0.248,incident_event
39,ae_hypog,NCT01768559,pois,arm_f_2_Lixisenatide,0.936,2.875,incident_event
39,ae_hypog,NCT01768559,pois,sex,0.037,0.444,incident_event
39,ae_hypog,NCT01768559,pois,age10:arm_f_2_Lixisenatide,-0.162,0.478,incident_event
39,ae_hypog,NCT01768559,pois,arm_f_2_Lixisenatide:sex,-0.524,0.848,incident_event
39,ae_uti,NCT00968812,pois,(Intercept),-6.09,6.077,incident_event
39,ae_uti,NCT00968812,pois,age10,-0.359,1.143,incident_event
39,ae_uti,NCT00968812,pois,arm_f_2_uaa10456,-2.373,7.703,incident_event
39,ae_uti,NCT00968812,pois,arm_f_2_uaa10457,-2.349,7.851,incident_event
39,ae_uti,NCT00968812,pois,sex,-2.09,2.806,incident_event
39,ae_uti,NCT00968812,pois,age10:arm_f_2_uaa10456,0.455,1.421,incident_event
39,ae_uti,NCT00968812,pois,age10:arm_f_2_uaa10457,0.491,1.448,incident_event
39,ae_uti,NCT00968812,pois,arm_f_2_uaa10456:sex,1.452,3.233,incident_event
39,ae_uti,NCT00968812,pois,arm_f_2_uaa10457:sex,0.563,3.465,incident_event
39,ae_uti,NCT01032629,pois,(Intercept),-10.666,2.861,incident_event
39,ae_uti,NCT01032629,pois,age10,0.325,0.449,incident_event
39,ae_uti,NCT01032629,pois,arm_f_2_uaa10512,0.571,3.798,incident_event
39,ae_uti,NCT01032629,pois,arm_f_2_uaa10514,1.887,3.663,incident_event
39,ae_uti,NCT01032629,pois,sex,-1.27,0.717,incident_event
39,ae_uti,NCT01032629,pois,age10:arm_f_2_uaa10512,-0.07,0.602,incident_event
39,ae_uti,NCT01032629,pois,age10:arm_f_2_uaa10514,-0.269,0.579,incident_event
39,ae_uti,NCT01032629,pois,arm_f_2_uaa10512:sex,0.105,0.953,incident_event
39,ae_uti,NCT01032629,pois,arm_f_2_uaa10514:sex,0.257,0.92,incident_event
39,ae_uti,NCT01106625,pois,(Intercept),-5.232,6.763,incident_event
39,ae_uti,NCT01106625,pois,age10,-0.424,1.225,incident_event
39,ae_uti,NCT01106625,pois,arm_f_2_uaa10569,-1.086,8.447,incident_event
39,ae_uti,NCT01106625,pois,arm_f_2_uaa10570,-2.433,9.195,incident_event
39,ae_uti,NCT01106625,pois,sex,-1.721,2.612,incident_event
39,ae_uti,NCT01106625,pois,age10:arm_f_2_uaa10569,0.172,1.53,incident_event
39,ae_uti,NCT01106625,pois,age10:arm_f_2_uaa10570,0.394,1.64,incident_event
39,ae_uti,NCT01106625,pois,arm_f_2_uaa10569:sex,-15.457,3416.77,incident_event
39,ae_uti,NCT01106625,pois,arm_f_2_uaa10570:sex,0.475,3.47,incident_event
39,ae_uti,NCT01081834,pois,(Intercept),-5.973,5.775,incident_event
39,ae_uti,NCT01081834,pois,age10,-0.378,1.108,incident_event
39,ae_uti,NCT01081834,pois,arm_f_2_uaa10548,-2.895,8.348,incident_event
39,ae_uti,NCT01081834,pois,arm_f_2_uaa10549,-1.079,7.878,incident_event
39,ae_uti,NCT01081834,pois,sex,-2.204,4.631,incident_event
39,ae_uti,NCT01081834,pois,age10:arm_f_2_uaa10548,0.607,1.514,incident_event
39,ae_uti,NCT01081834,pois,age10:arm_f_2_uaa10549,0.238,1.484,incident_event
39,ae_uti,NCT01081834,pois,arm_f_2_uaa10548:sex,0.33,5.686,incident_event
39,ae_uti,NCT01081834,pois,arm_f_2_uaa10549:sex,1.158,5.277,incident_event
39,ae_uti,NCT01106651,pois,(Intercept),-12.958,11.795,incident_event
39,ae_uti,NCT01106651,pois,age10,0.721,1.804,incident_event
39,ae_uti,NCT01106651,pois,arm_f_2_uaa10573,5.257,14.767,incident_event
39,ae_uti,NCT01106651,pois,arm_f_2_uaa10574,3.096,14.482,incident_event
39,ae_uti,NCT01106651,pois,sex,-1.101,2.503,incident_event
39,ae_uti,NCT01106651,pois,age10:arm_f_2_uaa10573,-0.738,2.278,incident_event
39,ae_uti,NCT01106651,pois,age10:arm_f_2_uaa10574,-0.35,2.218,incident_event
39,ae_uti,NCT01106651,pois,arm_f_2_uaa10573:sex,-0.202,3.226,incident_event
39,ae_uti,NCT01106651,pois,arm_f_2_uaa10574:sex,-0.348,3.121,incident_event
39,ae_uti,NCT01106677,pois,(Intercept),-9.545,12.262,incident_event
39,ae_uti,NCT01106677,pois,age10,0.212,2.161,incident_event
39,ae_uti,NCT01106677,pois,arm_f_2_uaa10577,1.919,13.446,incident_event
39,ae_uti,NCT01106677,pois,arm_f_2_uaa10578,0.711,13.744,incident_event
39,ae_uti,NCT01106677,pois,arm_f_2_uaa10580,-1.543,14.51,incident_event
39,ae_uti,NCT01106677,pois,sex,-15.618,2728.478,incident_event
39,ae_uti,NCT01106677,pois,age10:arm_f_2_uaa10577,-0.214,2.379,incident_event
39,ae_uti,NCT01106677,pois,age10:arm_f_2_uaa10578,-0.054,2.433,incident_event
39,ae_uti,NCT01106677,pois,age10:arm_f_2_uaa10580,0.246,2.527,incident_event
39,ae_uti,NCT01106677,pois,arm_f_2_uaa10577:sex,12.322,2728.482,incident_event
39,ae_uti,NCT01106677,pois,arm_f_2_uaa10578:sex,14.099,2728.479,incident_event
39,ae_uti,NCT01106677,pois,arm_f_2_uaa10580:sex,14.326,2728.479,incident_event
39,ae_uti,NCT01106690,pois,(Intercept),-10.202,5.542,incident_event
39,ae_uti,NCT01106690,pois,age10,0.512,0.886,incident_event
39,ae_uti,NCT01106690,pois,arm_f_2_uaa10582,-1.22,7.607,incident_event
39,ae_uti,NCT01106690,pois,arm_f_2_uaa10583,3.612,7.522,incident_event
39,ae_uti,NCT01106690,pois,sex,-18.752,4043.108,incident_event
39,ae_uti,NCT01106690,pois,age10:arm_f_2_uaa10582,0.101,1.237,incident_event
39,ae_uti,NCT01106690,pois,age10:arm_f_2_uaa10583,-0.689,1.315,incident_event
39,ae_uti,NCT01106690,pois,arm_f_2_uaa10582:sex,18.179,4043.108,incident_event
39,ae_uti,NCT01106690,pois,arm_f_2_uaa10583:sex,0.412,5665.612,incident_event
39,ae_uti,NCT01137812,pois,(Intercept),-10.217,3.936,incident_event
39,ae_uti,NCT01137812,pois,age10,0.435,0.652,incident_event
39,ae_uti,NCT01137812,pois,arm_f_2_uaa10614,2.51,4.851,incident_event
39,ae_uti,NCT01137812,pois,sex,-2.717,1.936,incident_event
39,ae_uti,NCT01137812,pois,age10:arm_f_2_uaa10614,-0.459,0.821,incident_event
39,ae_uti,NCT01137812,pois,arm_f_2_uaa10614:sex,1.941,2.174,incident_event
39,ae_uti,NCT01381900,pois,(Intercept),-7.807,6.465,incident_event
39,ae_uti,NCT01381900,pois,age10,0.16,1.243,incident_event
39,ae_uti,NCT01381900,pois,arm_f_2_uaa10741,0.74,10.1,incident_event
39,ae_uti,NCT01381900,pois,arm_f_2_uaa10742,1.192,10.454,incident_event
39,ae_uti,NCT01381900,pois,sex,-1.95,3.519,incident_event
39,ae_uti,NCT01381900,pois,age10:arm_f_2_uaa10741,-0.21,1.971,incident_event
39,ae_uti,NCT01381900,pois,age10:arm_f_2_uaa10742,-0.351,2.052,incident_event
39,ae_uti,NCT01381900,pois,arm_f_2_uaa10741:sex,0.312,5.048,incident_event
39,ae_uti,NCT01381900,pois,arm_f_2_uaa10742:sex,0.61,5.124,incident_event
39,ae_uti,NCT01809327,pois,(Intercept),-10.414,11.306,incident_event
39,ae_uti,NCT01809327,pois,age10,0.284,1.993,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10933,3.083,12.477,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10934,4.01,12.848,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10935,-1.864,16.677,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10936,2.955,12.633,incident_event
39,ae_uti,NCT01809327,pois,sex,-15.483,2673.005,incident_event
39,ae_uti,NCT01809327,pois,age10:arm_f_2_uaa10933,-0.506,2.258,incident_event
39,ae_uti,NCT01809327,pois,age10:arm_f_2_uaa10934,-0.69,2.314,incident_event
39,ae_uti,NCT01809327,pois,age10:arm_f_2_uaa10935,0.128,2.91,incident_event
39,ae_uti,NCT01809327,pois,age10:arm_f_2_uaa10936,-0.387,2.251,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10933:sex,14.791,2673.006,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10934:sex,15.024,2673.006,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10935:sex,16.459,2673.008,incident_event
39,ae_uti,NCT01809327,pois,arm_f_2_uaa10936:sex,14.219,2673.006,incident_event
39,ae_uti,NCT01989754,pois,(Intercept),-10.22,3.625,incident_event
39,ae_uti,NCT01989754,pois,age10,-0.011,0.569,incident_event
39,ae_uti,NCT01989754,pois,arm_f_2_uaa10994,-0.754,4.486,incident_event
39,ae_uti,NCT01989754,pois,sex,-0.301,0.952,incident_event
39,ae_uti,NCT01989754,pois,age10:arm_f_2_uaa10994,0.203,0.7,incident_event
39,ae_uti,NCT01989754,pois,arm_f_2_uaa10994:sex,0.242,1.183,incident_event
39,ae_uti,NCT02065791,pois,(Intercept),-9.083,1.48,incident_event
39,ae_uti,NCT02065791,pois,age10,0.146,0.254,incident_event
39,ae_uti,NCT02065791,pois,arm_f_2_uaa11038,0.85,1.984,incident_event
39,ae_uti,NCT02065791,pois,sex,-1.161,0.503,incident_event
39,ae_uti,NCT02065791,pois,age10:arm_f_2_uaa11038,-0.114,0.343,incident_event
39,ae_uti,NCT02065791,pois,arm_f_2_uaa11038:sex,-0.277,0.702,incident_event
39,ae_uti,NCT01087502,pois,(Intercept),-8.587,12.978,incident_event
39,ae_uti,NCT01087502,pois,age10,0.145,1.889,incident_event
39,ae_uti,NCT01087502,pois,arm_f_2_Linagliptin,3.921,16.59,incident_event
39,ae_uti,NCT01087502,pois,sex,-0.842,3.215,incident_event
39,ae_uti,NCT01087502,pois,age10:arm_f_2_Linagliptin,-0.548,2.454,incident_event
39,ae_uti,NCT01087502,pois,arm_f_2_Linagliptin:sex,-1.904,6.476,incident_event
39,ae_uti,NCT00763451,pois,(Intercept),-7.015,4.378,incident_event
39,ae_uti,NCT00763451,pois,age10,-0.262,0.767,incident_event
39,ae_uti,NCT00763451,pois,arm_f_2_Lixisenatide 1-step titration,0.858,5.889,incident_event
39,ae_uti,NCT00763451,pois,arm_f_2_Lixisenatide 2-step titration,1.525,5.509,incident_event
39,ae_uti,NCT00763451,pois,sex,-2.102,2.508,incident_event
39,ae_uti,NCT00763451,pois,age10:arm_f_2_Lixisenatide 1-step titration,-0.19,1.064,incident_event
39,ae_uti,NCT00763451,pois,age10:arm_f_2_Lixisenatide 2-step titration,-0.336,1.018,incident_event
39,ae_uti,NCT00763451,pois,arm_f_2_Lixisenatide 1-step titration:sex,1.478,2.901,incident_event
39,ae_uti,NCT00763451,pois,arm_f_2_Lixisenatide 2-step titration:sex,1.293,2.983,incident_event
39,ae_uti,NCT00712673,pois,(Intercept),-12.637,6.236,incident_event
39,ae_uti,NCT00712673,pois,age10,0.716,1.054,incident_event
39,ae_uti,NCT00712673,pois,arm_f_2_Lixisenatide evening,4.658,7.793,incident_event
39,ae_uti,NCT00712673,pois,arm_f_2_Lixisenatide morning,2.761,7.561,incident_event
39,ae_uti,NCT00712673,pois,sex,-1.584,2.089,incident_event
39,ae_uti,NCT00712673,pois,age10:arm_f_2_Lixisenatide evening,-0.874,1.359,incident_event
39,ae_uti,NCT00712673,pois,age10:arm_f_2_Lixisenatide morning,-0.46,1.305,incident_event
39,ae_uti,NCT00712673,pois,arm_f_2_Lixisenatide evening:sex,-0.571,3.452,incident_event
39,ae_uti,NCT00712673,pois,arm_f_2_Lixisenatide morning:sex,-15.37,2175.708,incident_event
39,ae_uti,NCT00713830,pois,(Intercept),-8.12,6.825,incident_event
39,ae_uti,NCT00713830,pois,age10,-0.131,1.16,incident_event
39,ae_uti,NCT00713830,pois,arm_f_2_Lixisenatide,-2.669,8.354,incident_event
39,ae_uti,NCT00713830,pois,sex,-2.458,3.545,incident_event
39,ae_uti,NCT00713830,pois,age10:arm_f_2_Lixisenatide,0.453,1.406,incident_event
39,ae_uti,NCT00713830,pois,arm_f_2_Lixisenatide:sex,0.834,3.996,incident_event
39,ae_uti,NCT00715624,pois,(Intercept),-10.9,9.103,incident_event
39,ae_uti,NCT00715624,pois,age10,0.358,1.504,incident_event
39,ae_uti,NCT00715624,pois,arm_f_2_Lixisenatide,2.136,10.408,incident_event
39,ae_uti,NCT00715624,pois,sex,-1.815,3.977,incident_event
39,ae_uti,NCT00715624,pois,age10:arm_f_2_Lixisenatide,-0.3,1.733,incident_event
39,ae_uti,NCT00715624,pois,arm_f_2_Lixisenatide:sex,0.418,4.471,incident_event
39,ae_uti,NCT00763815,pois,(Intercept),-7.932,4.614,incident_event
39,ae_uti,NCT00763815,pois,age10,-0.029,0.842,incident_event
39,ae_uti,NCT00763815,pois,arm_f_2_Lixisenatide,0.502,5.539,incident_event
39,ae_uti,NCT00763815,pois,sex,-1.857,2.094,incident_event
39,ae_uti,NCT00763815,pois,age10:arm_f_2_Lixisenatide,-0.091,1.007,incident_event
39,ae_uti,NCT00763815,pois,arm_f_2_Lixisenatide:sex,-0.101,2.559,incident_event
39,ae_uti,NCT00707031,pois,(Intercept),-9.201,2.883,incident_event
39,ae_uti,NCT00707031,pois,age10,0.097,0.487,incident_event
39,ae_uti,NCT00707031,pois,arm_f_2_Lixisenatide QD,-0.003,4.183,incident_event
39,ae_uti,NCT00707031,pois,sex,-1.165,1.032,incident_event
39,ae_uti,NCT00707031,pois,age10:arm_f_2_Lixisenatide QD,-0.016,0.713,incident_event
39,ae_uti,NCT00707031,pois,arm_f_2_Lixisenatide QD:sex,0.032,1.501,incident_event
39,ae_uti,NCT01648582,pois,(Intercept),-6.101,3.871,incident_event
39,ae_uti,NCT01648582,pois,age10,-0.484,0.738,incident_event
39,ae_uti,NCT01648582,pois,arm_f_2_Dulaglutide 0.75,-3.808,5.603,incident_event
39,ae_uti,NCT01648582,pois,arm_f_2_Dulaglutide 1.5,-3.374,5.819,incident_event
39,ae_uti,NCT01648582,pois,sex,-0.074,1.41,incident_event
39,ae_uti,NCT01648582,pois,age10:arm_f_2_Dulaglutide 0.75,0.827,1.007,incident_event
39,ae_uti,NCT01648582,pois,age10:arm_f_2_Dulaglutide 1.5,0.731,1.053,incident_event
39,ae_uti,NCT01648582,pois,arm_f_2_Dulaglutide 0.75:sex,-1.395,2.089,incident_event
39,ae_uti,NCT01648582,pois,arm_f_2_Dulaglutide 1.5:sex,-1.243,2.098,incident_event
39,ae_uti,NCT01768559,pois,(Intercept),-7.151,2.931,incident_event
39,ae_uti,NCT01768559,pois,age10,-0.154,0.497,incident_event
