trials,outcome,nct_id,nct_id2,models,row,col,r,outcome_method
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10580,arm_f_2_uaa10578:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577:sex,arm_f_2_uaa10578:sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,(Intercept),arm_f_2_uaa10580:sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10,arm_f_2_uaa10580:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577,arm_f_2_uaa10580:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578,arm_f_2_uaa10580:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10580,arm_f_2_uaa10580:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,sex,arm_f_2_uaa10580:sex,-1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10577,arm_f_2_uaa10580:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10578,arm_f_2_uaa10580:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,age10:arm_f_2_uaa10580,arm_f_2_uaa10580:sex,0,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10577:sex,arm_f_2_uaa10580:sex,1,incident_event
39,ae_sae,NCT01106677,NCT01106677,pois,arm_f_2_uaa10578:sex,arm_f_2_uaa10580:sex,1,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,(Intercept),age10,-0.978,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,(Intercept),arm_f_2_uaa10614,-0.768,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,age10,arm_f_2_uaa10614,0.752,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,(Intercept),sex,-0.086,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,age10,sex,-0.064,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,arm_f_2_uaa10614,sex,0.066,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,(Intercept),age10:arm_f_2_uaa10614,0.73,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,age10,age10:arm_f_2_uaa10614,-0.746,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,arm_f_2_uaa10614,age10:arm_f_2_uaa10614,-0.975,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,sex,age10:arm_f_2_uaa10614,0.048,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,(Intercept),arm_f_2_uaa10614:sex,0.063,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,age10,arm_f_2_uaa10614:sex,0.047,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,arm_f_2_uaa10614,arm_f_2_uaa10614:sex,-0.119,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,sex,arm_f_2_uaa10614:sex,-0.73,incident_event
39,ae_sae,NCT01137812,NCT01137812,pois,age10:arm_f_2_uaa10614,arm_f_2_uaa10614:sex,-0.041,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),age10,-0.957,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),arm_f_2_uaa10933,-0.552,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,arm_f_2_uaa10933,0.528,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),arm_f_2_uaa10934,-0.679,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,arm_f_2_uaa10934,0.65,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,arm_f_2_uaa10934,0.375,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),arm_f_2_uaa10935,-0.695,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,arm_f_2_uaa10935,0.665,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,arm_f_2_uaa10935,0.383,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,arm_f_2_uaa10935,0.472,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),arm_f_2_uaa10936,-0.643,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,arm_f_2_uaa10936,0.615,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,arm_f_2_uaa10936,0.355,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,arm_f_2_uaa10936,0.436,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10935,arm_f_2_uaa10936,0.446,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),sex,-0.354,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,sex,0.124,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,sex,0.195,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,sex,0.24,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10935,sex,0.246,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10936,sex,0.227,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),age10:arm_f_2_uaa10933,0.534,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,age10:arm_f_2_uaa10933,-0.558,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,age10:arm_f_2_uaa10933,-0.961,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,age10:arm_f_2_uaa10933,-0.363,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10935,age10:arm_f_2_uaa10933,-0.371,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10936,age10:arm_f_2_uaa10933,-0.343,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,sex,age10:arm_f_2_uaa10933,-0.069,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),age10:arm_f_2_uaa10934,0.663,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,age10:arm_f_2_uaa10934,-0.693,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,age10:arm_f_2_uaa10934,-0.366,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,age10:arm_f_2_uaa10934,-0.967,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10935,age10:arm_f_2_uaa10934,-0.461,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10936,age10:arm_f_2_uaa10934,-0.426,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,sex,age10:arm_f_2_uaa10934,-0.086,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10:arm_f_2_uaa10933,age10:arm_f_2_uaa10934,0.387,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),age10:arm_f_2_uaa10935,0.662,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,age10:arm_f_2_uaa10935,-0.691,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,age10:arm_f_2_uaa10935,-0.365,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,age10:arm_f_2_uaa10935,-0.449,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10935,age10:arm_f_2_uaa10935,-0.966,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10936,age10:arm_f_2_uaa10935,-0.425,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,sex,age10:arm_f_2_uaa10935,-0.086,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10:arm_f_2_uaa10933,age10:arm_f_2_uaa10935,0.386,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10:arm_f_2_uaa10934,age10:arm_f_2_uaa10935,0.479,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,(Intercept),age10:arm_f_2_uaa10936,0.602,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10,age10:arm_f_2_uaa10936,-0.629,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10933,age10:arm_f_2_uaa10936,-0.332,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10934,age10:arm_f_2_uaa10936,-0.409,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10935,age10:arm_f_2_uaa10936,-0.418,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,arm_f_2_uaa10936,age10:arm_f_2_uaa10936,-0.971,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,sex,age10:arm_f_2_uaa10936,-0.078,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10:arm_f_2_uaa10933,age10:arm_f_2_uaa10936,0.351,incident_event
39,ae_sae,NCT01809327,NCT01809327,pois,age10:arm_f_2_uaa10934,age10:arm_f_2_uaa10936,0.436,incident_event
